Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Unnamed: 7,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,
2014,5,5/16/14 10:43,,5/16/14,9:00 PM,"10 Hours, 17 Minutes",,San Diego Gas & Electric Co,WECC,California,Electricity Usage - Wild Fires,3900,1400000,
,,,,,,,,,,"British Columbia & Alberta,",Electrical System Separation,,,
2014,5,5/26/14 12:31,,5/26/14,1:18 PM,"0 Hours, 47 Minutes",,Peak Reliability,WECC,Canada,(Islanding),Unknown,Unknown,
2014,6,6/3/14,3:32 PM,6/3/14,3:59 PM,"0 Hours, 27 Minutes",,Peak Reliability,WECC,"Alberta, Canada",Electrical System Islanding,338,N/A,
,,,,,,,,,,,Severe Weather -,,,
2014,6,6/5/14,3:00 AM,6/7/14 23:45,,"68 Hours, 45 Minutes",,Memphis Light Gas and Water Division,SERC,"Shelby County, Tennessee",Thunderstorms,494,38500,
,,,,,,,,,,,Severe Weather -,,,
2014,6,6/5/14,1:06 PM,6/5/14,1:07 PM,"0 Hours,",1 Minutes,Tennessee Valley Authority,SERC,West Tennessee,Thunderstorms,Unknown,56475,
2014,6,6/6/14,1:00 PM,,ongoing,,ongoing,"Luminant Energy Company, LLC",ERCOT,Texas,Fuel Supply Emergency - Coal,Unknown,Unknown,
,,,,,,,,,,,Severe Weather -,,,
2014,6,6/7/14 23:00,,6/8/14,5:30 AM,"6 Hours, 30 Minutes",,Southern Company,SERC,"North and Central , Alabama",Thunderstorms,217,65000,
2014,6,6/9/14 11:07,,6/9/14 11:30,,"0 Hours, 23 Minutes",,Peak Reliability,WECC,"Alberta, Canada",Electrical System Islanding,Unknown,Unknown,
,,,,,,,,,,,Severe Weather -,,,
2014,6,6/10/14,9:50 PM,6/11/14,2:30 PM,"16 Hours, 40 Minutes",,American Electric Power,RFC,West Virginia,Thunderstorms,Unknown,66383,
,,,,,,,,,,,Severe Weather -,,,
2014,6,6/15/14 0:00,,6/15/14,1:00 AM,"1 Hours,",0 Minutes,Xcel Energy,MRO,Central Minnesota,Thunderstorms,Unknown,55951,
,,,,,,,,,,,Severe Weather -,,,
2014,6,6/18/14,5:00 PM,6/20/14,3:00 PM,"46 Hours,",0 Minutes,Detroit Edison Co,RFC,Southeast Michigan,Thunderstorms,Unknown,138802,
2014,6,6/27/14,1:21 PM,,ongoing,,ongoing,We Energies,MRO,Wisconsin,Fuel Supply Emergency - Coal,Unknown,Unknown,
,,,,,,,,,,,Severe Weather -,,,
2014,6,6/30/14,5:55 PM,7/1/14,2:53 AM,"8 Hours, 58 Minutes",,We Energies,MRO,Southeast,Wisconsin,Thunderstorms,424,
,,,,,,,,,,,Severe Weather -,,,
2014,6,6/30/14,8:00 PM,7/2/14,6:30 PM,"46 Hours, 30 Minutes",,Exelon Corporation/ComEd,RFC,Illinois,Thunderstorms,Unknown,420000,
,,,,,,,,,,,Severe Weather -,,,120000
2014,6,6/30/14 23:20,,7/1/14,5:00 PM,"17 Hours, 40 Minutes",,Northern Indiana Public Service Company,RFC,North Central Indiana,Thunderstorms,Unknown,127000,
,,,,,,,,,,,Severe Weather -,,,
2014,7,7/1/14,3:30 AM,,ongoing,,ongoing,Consumers Energy Co,RFC,Southwest Michigan,Thunderstorms,Unknown,51000,
,,,,,,,,,,,Severe Weather -,,,
2014,7,7/1/14,4:00 AM,7/3/14 23:30,,"67 Hours, 30 Minutes",,Detroit Edison Co,RFC,Southeast Michigan,Thunderstorms,Unknown,140000,
,,,,,,,,,,,Severe Weather -,,,
