Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected
September,2014-09-17,13:30:00,2014-09-17,14:00:00,Michigan,RFC,Suspected Physical Attack - Suspcious Activity,Unknown,Unknown
September,2014-09-19,14:20:00,2014-09-23,13:10:00,"Estacada, Oregon",WECC,Electrical System Separation (Islanding),1,123
September,2014-09-22,11:00:00,2014-09-22,11:01:00,Northeast Minnesota,MRO,Fuel Supply Emergency - Coal,1000,140000
September,2014-09-23,01:13:00,2014-09-23,03:00:00,New York,NPCC,Physical Attack - Suspcious Activity,,
September,2014-09-21,13:30:00,Unknown,Unknown,New York,NPCC,Physical Attack - Suspcious Activity,Unknown,Unknown
September,2014-09-24,11:30:00,2014-09-24,15:43:00,Washington,WECC,Physical Attack - Vandalism,Unknown,Unknown
October,2014-10-02,15:00:00,2014-10-02,15:01:00,"Cave Junction, Oregon",WECC,Suspected Physical Attack - Vandalism,Unknown,Unknown
October,2014-10-02,22:15:00,Unknown,Unknown,Arkansas,SERC,Severe Weather - Thunderstorms,Unknown,67300
October,2014-10-02,16:00:00,2014-10-07,10:00:00,Texas,TRE,Severe Weather - Thunderstorms,Unknown,500000
October,2014-10-06,10:52:00,2014-10-07,00:52:00,"Houston, Texas",TRE,Severe Weather - Thunderstorms,292,129237
October,2014-10-07,12:00:00,2014-10-07,12:01:00,Maryland,RFC,Suspected Physical Attack - Vandalism,Unknown,Unknown
October,2014-10-08,16:47:00,2014-10-08,18:29:00,Rio Grande Valley Texas,TRE,Public Appeal to Reduce Electricity Usage; Load Shed of 100 MW,Unknown,Unknown
October,2014-10-08,16:49:00,2014-10-08,18:23:00,Rio Grande Valley Texas,TRE,Public Appeal to Reduce Electricity Usage; Load Shed of 100 MW,585,120000
October,2014-10-09,09:27:00,Unknown,Unknown,Rio Grande Valley Texas,TRE,Public Appeal to Reduce Electricity Usage,Unknown,2800
October,2014-10-13,12:45:00,2014-10-13,16:15:00,Louisiana,SERC,Severe Weather - Thunderstorms,Unknown,68600
October,2014-10-14,07:33:00,2014-10-14,07:34:00,Oregon,WECC,Suspected Physical Attack - Vandalism,Unknown,Unknown
October,2014-10-14,18:20:00,2014-10-14,18:28:00,Puerto Rico,,Voltage Reduction,Unknown,Unknown
October,2014-10-14,05:44:00,2014-10-14,17:50:00,"Alabama, Florida, Georgia",SERC,Severe Weather - Thunderstorms,191,57475
October,2014-10-15,07:46:00,2014-10-15,07:47:00,Oregon,WECC,Suspected Physical Attack - Vandalism,Unknown,Unknown
October,2014-10-16,09:12:00,2014-10-17,15:00:00,"Garden City, Kansas",MRO,Suspected Physical Attack - Vandalism,Unknown,Unknown
October,2014-10-16,13:25:00,2014-10-16,17:26:00,Manitoba,MRO,Suspected Physical Attack,129,Unknown
October,2014-10-20,00:00:00,Unknown,Unknown,"Howard County, Texas",MRO,Suspected Physical Attack - Vandalism,Unknown,Unknown
October,2014-10-21,08:25:00,2014-10-21,10:08:00,"Carmel, Indiana",MRO,Suspected Cyber Attack,Unknown,Unknown
October,2014-10-22,22:46:00,2014-10-22,22:47:00,"New Hampshire, Maine, Massachusetts, Rhode Island, Connecticut, Vermont",NPCC,Severe Weather,Unknown,66650
October,2014-10-24,18:16:00,2014-10-25,13:51:00,"Enfield, Connecticut ",NPCC,Suspected Physical Attack - Vandalism,Unknown,Unknown
October,2014-10-24,16:00:00,2014-10-24,17:50:00,"Howard County, Texas",MRO,Suspected Physical Attack - Vandalism,Unknown,Unknown
October,2014-10-25,16:00:00,2014-10-25,22:00:00,"Greater Portland and Salem, Oregon",WECC,Severe Weather - Wind,216,78000
October,2014-10-25,18:00:00,Unknown,Unknown,"King County, Thurston County and Kitsap County,  Washington",WECC,Severe Weather - Wind,154,96000
November,2014-11-01,01:00:00,2014-11-01,01:01:00,"Portland, Oregon",WECC,Suspected Physical Attack - Vandalism,Unknown,Unknown
November,2014-11-02,13:46:00,Unknown,Unknown,"Massachusetts, Maine, Vermont, New Hampshire, Rhode Island, Connecticut",NPCC,Severe Weather - Winter Storm,Unknown,63719
November,2014-11-11,18:00:00,2014-11-14,15:00:00,Washington,WECC,Severe Weather - Wind,132,68000
November,2014-11-12,02:59:00,2014-11-12,03:00:00,Unknown,SERC,Suspected Physical Attack - Vandalism,Unknown,Unknown
November,2014-11-13,07:07:00,2014-11-13,07:08:00,"Howard County,Texas",MRO,Suspected Physical Attack - Vandalism,Unknown,Unknown
November,2014-11-14,09:50:00,2014-11-14,13:18:00,"Estacada, Oregon",WECC,Electrical System Islanding,1,123
November,2014-11-19,14:44:00,2014-11-19,14:45:00,"Victorville, California",WECC,Suspected Physical Attack - Vandalism,Unknown,Unknown
November,2014-11-21,20:29:00,2014-11-23,00:16:00,"Twin Falls, Idaho",WECC,Suspected Physical Attack - Vandalism,Unknown,Unknown
November,2014-11-21,11:26:00,2014-11-23,17:20:00,"Sand Springs - Fort Rock, Oregon",WECC,Suspected Physical Attack - Vandalism,Unknown,Unknown
November,2014-11-24,00:00:00,Unknown,Unknown,"Nebraska, Kansas, Texas, Arkansas, Louisiana, New Mexico",SPP,Fuel Supply Emergency - Coal,Unknown,Unknown
November,2014-11-24,12:00:00,2014-11-27,13:00:00,Michigan,RFC,Severe Weather - Wind,Unknown,186154
November,2014-11-26,17:50:00,2014-11-28,07:00:00,"New Hampshire, Massachusetts, Maine, Rhode Island, Connecticut, Vermont",NPCC,Severe Weather - Winter Storm,Unknown,79530
December,2014-12-01,10:44:00,2014-12-01,10:45:00,"Fayetteville, North Carolina",SERC,Suspected Physical Attack - Vandalism,Unknown,Unknown
December,2014-12-03,12:15:00,2014-12-03,12:16:00,Maine,NPCC,Suspected Physical Attack - Vandalism,Unknown,Unknown
December,2014-12-11,06:40:00,Unknown,Unknown,Northern California,WECC,Severe Weather- High Winds,Unknown,Unknown
December,2014-12-11,07:21:00,2014-12-11,21:53:00,"San Francisco, California",WECC,Distribution Interruption - Unknown Cause,225,75000
December,2014-12-11,23:15:00,Unknown,Unknown,Northern California,WECC,Severe Weather- High Winds,Unknown,Unknown
December,2014-12-11,16:05:00,2014-12-11,21:00:00,"Portland, Oregon",WECC,Severe Weather- High Winds,250,85470
December,2014-12-11,17:00:00,2014-12-12,10:00:00,"Kitsap, Thurston, Whatcom counties Washington",WECC,Severe Weather- High Winds,116,264000
December,2014-12-17,11:00:00,2014-12-17,12:15:00,Washington,WECC,Suspected Physical Attack,Unknown,Unknown
December,2014-12-30,15:50:00,2014-12-31,11:00:00,"New Hampshire, Massachusetts, Maine, Rhode Island, Connecticut, Vermont",NPCC,Suspected Cyber Attack,Unknown,Unknown
December,2014-12-30,13:08:00,2015-01-01,16:50:00,Northern California,WECC,Severe Weather- High Winds,127,84500
