Data Year,Utility Number,Utility Name,Short Form,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2014,965,Atlantic Municipal Utilities,,IA,.,.,.,.,.,1266,271,2,.,1539,.,.,.,.,.,2561,554,.,.,3115,3827,825,2,.,4654,15280,24322,10621,.,50223,.,.,.,.,.,.,.,.,.,.
2014,998,City of Augusta - (KS),,KS,2115,149,11,.,2275,0,0,0,.,0,.,.,.,.,.,1762,255,11,.,2028,3877,404,22,.,4303,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1002,City of Aurelia - (IA),Y,IA,444,61,15,.,520,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1009,City of Austin - (MN),,MN,11879,578,.,.,12457,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11879,578,.,.,12457,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1015,Austin Energy,,TX,107047,.,.,.,107047,286980,48016,144,.,335140,0,0,0,.,0,0,0,0,0,0,394027,48016,144,0,442187,3108123,5450596,2781583,.,11340302,350000,.,.,.,350000,3,71,29,.,103
2014,1028,Town of Avilla - (IN),Y,IN,968,92,6,0,1066,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1036,Town of Ayden - (NC),,NC,3524,391,1,.,3916,.,.,.,.,.,.,.,.,.,.,.,113,.,.,113,3524,504,1,.,4029,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1046,City of Aztec - (NM),Y,NM,2692,486,.,.,3178,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1050,City of Azusa,,CA,4593,917,.,.,5510,.,.,.,.,.,.,.,.,.,.,9574,1141,.,.,10715,14167,2058,.,.,16225,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1062,BARC Electric Coop Inc,,VA,4086,106,.,.,4192,7766,671,.,.,8437,.,.,.,.,.,.,.,.,.,.,11852,777,.,.,12629,128746,52493,.,.,181239,11852,777,.,.,12629,0,0,.,.,0
2014,1149,Baldwin County El Member Corp,,AL,.,.,.,.,.,62921,6540,.,.,69461,.,.,.,.,.,.,.,.,.,.,62921,6540,.,.,69461,833798,437291,.,.,1271089,62921,6540,.,.,69461,.,.,.,.,.
2014,1167,Baltimore Gas & Electric Co,,MD,169312,29367,.,.,198679,968376,84206,.,.,1052582,.,.,.,.,.,27382,23643,.,.,51025,1165070,137216,.,.,1302286,9276530,9352119,.,.,18628649,386000,.,.,.,386000,317482,.,.,.,317482
2014,1169,Bailey County Elec Coop Assn,,TX,461,95,1150,.,1706,.,.,.,.,.,.,.,.,.,.,2985,682,3565,.,7232,3446,777,4715,.,8938,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1170,Bamberg Board of Public Works,Y,SC,1421,467,6,.,1894,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1175,"Bandera Electric Coop, Inc",,TX,.,.,.,.,0,28661,4687,55,.,33403,.,.,.,.,.,.,.,.,.,.,28661,4687,55,.,33403,425916,130513,20874,.,577303,28661,4687,55,.,33403,.,.,.,.,.
2014,1176,City of Bandon - (OR),,OR,2406,302,3,.,2711,.,.,.,.,.,.,.,.,.,.,1024,221,.,.,1245,3430,523,3,.,3956,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1179,Emera Maine,,ME,.,.,.,.,.,100998,18224,41,.,119263,.,.,.,.,.,29472,6880,184,.,36536,130470,25104,225,.,155799,657663,555558,163199,.,1376420,.,.,.,.,.,.,.,.,.,.
2014,1181,City of Bangor - (WI),,WI,300,4,7,0,311,0,0,0,0,0,0,0,0,0,0,1113,447,0,0,1560,1413,451,7,0,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1196,Village of Baraga - (MI),,MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,221,0,0,868,647,221,0,0,868,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
2014,1208,Town of Bargersville - (IN),Y,IN,3128,354,29,0,3511,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1233,City of Barnesville - (MN),,MN,595,29,.,.,624,.,.,.,.,.,.,.,.,.,.,572,109,.,.,681,1167,138,.,.,1305,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1251,Barron Electric Coop,,WI,17762,203,129,.,18094,.,.,11,.,11,.,.,.,.,.,.,.,.,.,.,17762,203,140,.,18105,.,.,10961,.,10961,17762,203,129,.,18094,6714,.,.,.,6714
2014,1273,"Bartlett Electric Coop, Inc",,TX,10328,705,0,0,11033,0,0,0,0,0,0,0,0,0,0,7,159,0,0,166,10335,864,0,0,11199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1279,Barry Electric Coop,,MO,.,.,.,.,.,8465,1290,.,.,9755,.,.,.,.,.,.,.,2,.,2,8465,1290,2,.,9757,115995,50583,.,.,166578,8465,1290,.,.,9755,.,.,.,.,.
2014,1283,Bartholomew County Rural E M C,,IN,.,.,.,.,.,10574,645,9,.,11228,.,.,.,.,.,.,.,.,.,.,10574,645,9,.,11228,160051,39580,216083,.,415714,10574,645,9,.,11228,.,.,.,.,.
2014,1300,City of Bartow - (FL),,FL,940,324,86,.,1350,.,.,.,.,.,.,.,.,.,.,9201,1108,198,.,10507,10141,1432,284,.,11857,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1301,"Barton County Elec Coop, Inc",,MO,5015,1352,.,.,6367,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5015,1352,.,.,6367,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1307,Basin Electric Power Coop,,ND,.,.,.,.,.,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1,.,.,1142685,.,1142685,.,.,.,.,.,.,.,.,.,.
2014,1307,Basin Electric Power Coop,,SD,.,.,.,.,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,1,.,4787,.,.,4787,.,.,.,.,.,.,.,.,.,.
2014,1326,Village of Bartley - (NE),Y,NE,188,12,0,0,200,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.
2014,1343,Bath Electric Gas & Water,Y,NY,921,48,.,.,969,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1367,"Bayfield Electric Coop, Inc",,MI,.,.,.,.,.,66,.,.,.,66,.,.,.,.,.,.,.,.,.,.,66,.,.,.,66,160,.,.,.,160,.,.,.,.,.,.,.,.,.,.
2014,1367,"Bayfield Electric Coop, Inc",,WI,.,.,.,.,.,9970,66,.,.,10036,.,.,.,.,.,.,.,.,.,0,9970,66,.,.,10036,73209,9015,.,.,82224,.,.,.,.,.,.,.,.,.,.
2014,1417,"Beartooth Electric Coop, Inc",,MT,5040,353,1,.,5394,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5040,353,1,.,5394,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1417,"Beartooth Electric Coop, Inc",,WY,380,35,29,.,444,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,380,35,29,.,444,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1456,Town of Bedford - (VA),,VA,5725,859,2,0,6586,0,0,0,.,0,0,0,0,0,0,0,21,27,.,48,5725,880,29,0,6634,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1494,Town of Belhaven - (NC),Y,NC,.,6,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1523,Town of Belmont - (MA),,MA,10347,900,32,.,11279,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10347,900,32,.,11279,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1529,"Beltrami Electric Coop, Inc",,MN,27837,1311,14,0,29162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27837,1311,14,0,29162,.,.,.,.,.,19117,1311,14,.,20442,.,.,.,.,.
2014,1571,Town of Benson - (NC),Y,NC,.,.,7,.,7,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.
2014,1573,City of Benson - (MN),,MN,1667,209,.,.,1876,.,.,.,.,.,.,.,.,.,.,112,122,62,.,296,1779,331,62,.,2172,.,.,.,.,.,.,.,2,.,2,.,.,.,.,.
2014,1578,Benton County,,TN,0,0,0,0,0,8459,1685,3,0,10147,0,0,0,0,0,0,0,0,0,0,8459,1685,3,0,10147,118286,53526.7,30881,0,202693.7,0,0,0,0,0,0,0,0,0,0
2014,1579,PUD No 1 of Benton County,,WA,45845,3624,.,.,49469,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45845,3624,.,.,49469,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1581,City of Benton - (AR),,AR,9368,34,.,.,9402,.,.,.,.,.,.,.,.,.,.,1918,1643,22,.,3583,11286,1677,22,.,12985,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1582,City of Benton - (KY),,KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1821,660,1,0,2482,1821,660,1,0,2482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1591,"Big Country Electric Coop, Inc",,TX,.,.,.,.,.,8388,3757,682,.,12827,0,0,0,.,0,4,0,25,.,29,8392,3757,707,.,12856,77555,161641,21741,.,260937,8388,3757,682,.,12827,.,.,.,.,.
2014,1601,City of Beresford,,SD,.,.,.,.,.,913,232,16,.,1161,0,0,0,.,0,0,0,0,.,0,913,232,16,.,1161,9584,4926,14274,.,28784,0,0,0,.,0,0,0,0,.,0
2014,1604,Village of Bergen - (NY),Y,NY,560,80,12,3,655,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1613,Berkeley Electric Coop Inc,,SC,9142,1107,.,.,10249,66703,6244,.,.,72947,.,.,.,.,.,8795,.,.,.,8795,84640,7351,.,.,91991,850053,84923,.,.,934976,.,.,.,.,.,.,.,.,.,.
2014,1615,Town of Berlin - (MD),Y,MD,51,43,.,.,94,.,2,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1686,.,.,1686,.,.,.,.,.,.,.,.,.,.
2014,1618,Borough of Berlin - (PA),Y,PA,502,.,.,.,502,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1640,City of Bessemer Utilities,,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9272,1773,1,0,11046,9272,1773,1,0,11046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1671,Big Flat Electric Coop Inc,Y,MT,1679,201,35,.,1915,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1675,Big Horn Rural Electric Co,,MT,39,31,1,.,71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,31,1,.,71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1675,Big Horn Rural Electric Co,,WY,2937,446,272,.,3655,.,.,.,.,.,.,.,.,.,.,11,2,.,.,13,2948,448,272,.,3668,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
