Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Unnamed: 7,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,
2016,10,10/28/2016,1:29 PM,10/28/2016,1:38 PM,"0 Hours,",9 Minutes,Pacific Gas & Electric Co,WECC,California: Plumas County;,electrical system-Islanding,4,482
,,,,,,,,,,,Cyber event that could,,
,,,,,,,,,,"California: Stanislaus County,",potentially impact electric power,,
,,,,,,,,,,"San Joaquin County, Alameda",system adequacy or reliability-,,
2016,11,11/09/2016 11:59 AM,11/09/2016,6:15 PM,,"6 Hours, 16 Minutes",,Modesto Irrigation District,WECC,"County, Tuolumne County;",Cyber Attack,0,0
"Table B.2 Major Disturbances and Unusual Occurrences, 2016",,,,,,,,,,,,,
,,,,,,,,,,,,,Number of
Restoration Date and,,,,,,,,,NERC,,,Customers,
Year,Month,Event Date and Time,Time,,,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),Affected
,,,,,,,,,,,Fuel supply emergencies that,,
,,,,,,,,,,,could impact electric power,,
,,,,,,,,,,,system adequacy or reliability-,,
2016,12,12/15/2016,6:30 AM,.,.,". Hours,",. Minutes,California Department of Water Resources,WECC,California: Merced County;,Fuel Supply Deficiency,Unknown,Unknown
,,,,,,,,,,,Fuel supply emergencies that,,
,,,,,,,,,,,could impact electric power,,
,,,,,,,,,,,system adequacy or reliability-,,
2016,12,12/28/2016,4:03 AM,12/31/2016,6:00 AM,"73 Hours, 57 Minutes",,California Department of Water Resources,WECC,California:,Fuel Supply Deficiency,0,0
,,,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,,,"than 50,000 customers for 1",,
,,,,,,,,,,,hour or more-Weather or,,
2016,12,12/30/2016,2:30 AM,12/30/2016,7:00 PM,"16 Hours, 30 Minutes",,ISO New England,NPCC,Maine:,Natural Disaster,Unknown,85263
"Note: Customers affected are estimates and are preliminary. Source: Form OE-417, 'Electric Emergency Incident and Disturbance Report.'",,,,,,,,,,,,,
