"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","OD1","REM"
"99773599999","2018-10-04T14:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","350,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0112,1","+9999,9","99999,9","5,99,0088,1,999","SYN056WHRI2 46/// /3511 10112 91340 333 91217 555 11011 22012="
"99773599999","2018-10-04T15:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","010,1,N,0113,1","99999,9,9,N","999999,9,9,9","+0109,1","+9999,9","99999,9","5,99,0139,1,999","SYN056WHRI2 46/// /0122 10109 91440 333 91227 555 11022 22024="
"99773599999","2018-10-04T16:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","020,1,N,0103,1","99999,9,9,N","999999,9,9,9","+0106,1","+9999,9","99999,9","5,99,0139,1,999","SYN056WHRI2 46/// /0220 10106 91534 333 91227 555 11020 22022="
"99773599999","2018-10-04T17:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","360,1,N,0103,1","99999,9,9,N","999999,9,9,9","+0104,1","+9999,9","99999,9","5,99,0124,1,999","SYN056WHRI2 46/// /3620 10104 91640 333 91224 555 11020 22022="
"99773599999","2018-10-04T18:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","020,1,N,0113,1","99999,9,9,N","999999,9,9,9","+0105,1","+9999,9","99999,9","5,99,0139,1,999","SYN056WHRI2 46/// /0222 10105 91740 333 91227 555 11023 22024="
"99773599999","2018-10-04T19:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","010,1,N,0098,1","99999,9,9,N","999999,9,9,9","+0105,1","+9999,9","99999,9","5,99,0129,1,999","SYN056WHRI2 46/// /0119 10105 91840 333 91225 555 11020 22021="
"99773599999","2018-10-04T20:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","010,1,N,0098,1","99999,9,9,N","999999,9,9,9","+0106,1","+9999,9","99999,9","5,99,0129,1,999","SYN056WHRI2 46/// /0119 10106 91940 333 91225 555 11020 22021="
"99773599999","2018-10-04T21:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","020,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0109,1","+9999,9","99999,9","5,99,0118,1,999","SYN056WHRI2 46/// /0218 10109 92040 333 91223 555 11019 22020="
"99773599999","2018-10-04T22:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","020,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0113,1","+9999,9","99999,9","5,99,0118,1,999","SYN056WHRI2 46/// /0218 10113 92140 333 91223 555 11018 22019="
"99773599999","2018-10-04T23:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","010,1,N,0103,1","99999,9,9,N","999999,9,9,9","+0113,1","+9999,9","99999,9","5,99,0118,1,999","SYN056WHRI2 46/// /0120 10113 92240 333 91223 555 11020 22021="
"99773599999","2018-10-05T00:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","020,1,N,0098,1","99999,9,9,N","999999,9,9,9","+0114,1","+9999,9","99999,9","5,99,0113,1,999","SYN056WHRI2 46/// /0219 10114 92350 333 91222 555 11019 22021="
"99773599999","2018-10-05T01:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","030,1,N,0103,1","99999,9,9,N","999999,9,9,9","+0114,1","+9999,9","99999,9","5,99,0118,1,999","SYN056WHRI2 46/// /0320 10114 90040 333 91223 555 11020 22021="
"99773599999","2018-10-05T02:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","040,1,N,0108,1","99999,9,9,N","999999,9,9,9","+0118,1","+9999,9","99999,9","5,99,0129,1,999","SYN056WHRI2 46/// /0421 10118 90140 333 91225 555 11021 22023="
"99773599999","2018-10-05T03:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","060,1,N,0098,1","99999,9,9,N","999999,9,9,9","+0124,1","+9999,9","99999,9","5,99,0113,1,999","SYN056WHRI2 46/// /0619 10124 90240 333 91222 555 11019 22020="
"99773599999","2018-10-05T04:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","070,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0132,1","+9999,9","99999,9","5,99,0103,1,999","SYN056WHRI2 46/// /0718 10132 90340 333 91220 555 11018 22019="
"99773599999","2018-10-05T05:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","090,1,N,0108,1","99999,9,9,N","999999,9,9,9","+0138,1","+9999,9","99999,9","5,99,0129,1,999","SYN056WHRI2 46/// /0921 10138 90440 333 91225 555 11022 22023="
"99773599999","2018-10-05T06:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","110,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0137,1","+9999,9","99999,9","5,99,0118,1,999","SYN056WHRI2 46/// /1118 10137 90540 333 91223 555 11019 22020="
"99773599999","2018-10-05T07:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","110,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0133,1","+9999,9","99999,9","5,99,0124,1,999","SYN056WHRI2 46/// /1118 10133 90640 333 91224 555 11018 22020="
"99773599999","2018-10-05T08:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","110,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0135,1","+9999,9","99999,9","5,99,0098,1,999","SYN056WHRI2 46/// /1115 10135 90740 333 91219 555 11016 22017="
"99773599999","2018-10-05T09:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","110,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0136,1","+9999,9","99999,9","5,99,0103,1,999","SYN056WHRI2 46/// /1116 10136 90840 333 91220 555 11017 22018="
"99773599999","2018-10-05T10:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","130,1,N,0098,1","99999,9,9,N","999999,9,9,9","+0137,1","+9999,9","99999,9","5,99,0113,1,999","SYN056WHRI2 46/// /1319 10137 90940 333 91222 555 11019 22020="
"99773599999","2018-10-05T11:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","140,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0138,1","+9999,9","99999,9","5,99,0113,1,999","SYN056WHRI2 46/// /1418 10138 91040 333 91222 555 11018 22019="
"99773599999","2018-10-05T12:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","140,1,N,0088,1","99999,9,9,N","999999,9,9,9","+0137,1","+9999,9","99999,9","5,99,0103,1,999","SYN056WHRI2 46/// /1417 10137 91140 333 91220 555 11017 22018="
"99773599999","2018-10-05T13:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","140,1,N,0103,1","99999,9,9,N","999999,9,9,9","+0133,1","+9999,9","99999,9","5,99,0124,1,999","SYN056WHRI2 46/// /1420 10133 91240 333 91224 555 11020 22022="
"99773599999","2018-10-05T14:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","140,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0133,1","+9999,9","99999,9","5,99,0088,1,999","SYN056WHRI2 46/// /1415 10133 91340 333 91217 555 11015 22016="
"99773599999","2018-10-05T15:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","140,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0135,1","+9999,9","99999,9","5,99,0082,1,999","SYN056WHRI2 46/// /1413 10135 91440 333 91216 555 11014 22014="
"99773599999","2018-10-05T16:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","140,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0140,1","+9999,9","99999,9","5,99,0077,1,999","SYN056WHRI2 46/// /1413 10140 91540 333 91215 555 11013 22014="
"99773599999","2018-10-05T17:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","170,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0143,1","+9999,9","99999,9","5,99,0072,1,999","SYN056WHRI2 46/// /1710 10143 91640 333 91214 555 11010 22011="
"99773599999","2018-10-05T18:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","170,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0146,1","+9999,9","99999,9","5,99,0051,1,999","SYN056WHRI2 46/// /1709 10146 91740 333 91210 555 11009 22009="
"99773599999","2018-10-05T19:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","190,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0148,1","+9999,9","99999,9","5,99,0041,1,999","SYN056WHRI2 46/// /1907 10148 91840 333 91208 555 11007 22007="
"99773599999","2018-10-05T20:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","200,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0155,1","+9999,9","99999,9","5,99,0026,1,999","SYN056WHRI2 46/// /2004 10155 91940 333 91205 555 11004 22004="
"99773599999","2018-10-05T21:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","200,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0161,1","+9999,9","99999,9","5,99,0036,1,999","SYN056WHRI2 46/// /2006 10161 92040 333 91207 555 11006 22006="
"99773599999","2018-10-05T22:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","240,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0165,1","+9999,9","99999,9","5,99,0046,1,999","SYN056WHRI2 46/// /2408 10165 92140 333 91209 555 11008 22008="
"99773599999","2018-10-05T23:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","240,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0162,1","+9999,9","99999,9","5,99,0026,1,999","SYN056WHRI2 46/// /2404 10162 92240 333 91205 555 11004 22004="
"99773599999","2018-10-06T00:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","210,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0161,1","+9999,9","99999,9","5,99,0026,1,999","SYN056WHRI2 46/// /2104 10161 92340 333 91205 555 11004 22005="
"99773599999","2018-10-06T01:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","260,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0160,1","+9999,9","99999,9","5,99,0041,1,999","SYN056WHRI2 46/// /2603 10160 90040 333 91208 555 11003 22004="
"99773599999","2018-10-06T02:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","170,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0158,1","+9999,9","99999,9","5,99,0170,1,999","SYN056WHRI2 46/// /1710 10158 90140 333 91233 555 11010 22011="
