"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","REM","EQD"
"99849799999","2018-11-26T11:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","340,1,N,0139,1","99999,9,9,N","999999,9,9,9","+0000,1","+9999,9","99999,9","SYN046FSTI2 46/// /3427 10000 91100 555 11027 22030=",
"99849799999","2018-11-26T12:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","340,1,N,0227,1","99999,9,9,N","999999,9,9,9","-0018,1","+9999,9","99999,9","SYN046FSTI2 46/// /3444 11018 91200 555 11044 22048=",
"99849799999","2018-11-26T13:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","330,1,N,0160,1","99999,9,9,N","999999,9,9,9","-0023,1","+9999,9","99999,9","SYN046FSTI2 46/// /3331 11023 91300 555 11031 22034=",
"99849799999","2018-11-26T14:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","300,1,N,0170,1","99999,9,9,N","999999,9,9,9","-0024,1","+9999,9","99999,9","SYN046FSTI2 46/// /3033 11024 91400 555 11033 22036=",
"99849799999","2018-11-26T15:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","330,1,N,0129,1","99999,9,9,N","999999,9,9,9","-0030,1","+9999,9","99999,9","SYN046FSTI2 46/// /3325 11030 91500 555 11026 22028=",
"99849799999","2018-11-26T16:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","340,1,N,0098,1","99999,9,9,N","999999,9,9,9","-0032,1","+9999,9","99999,9","SYN046FSTI2 46/// /3419 11032 91600 555 11019 22021=",
"99849799999","2018-11-26T17:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","290,1,N,0124,1","99999,9,9,N","999999,9,9,9","-0033,1","+9999,9","99999,9","SYN046FSTI2 46/// /2924 11033 91700 555 11024 22026=",
"99849799999","2018-11-26T18:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","270,1,N,0072,1","99999,9,9,N","999999,9,9,9","-0030,1","+9999,9","99999,9","SYN046FSTI2 46/// /2714 11030 91800 555 11014 22015=",
"99849799999","2018-11-26T19:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","310,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0028,1","+9999,9","99999,9","SYN046FSTI2 46/// /3106 11028 91900 555 11006 22007=",
"99849799999","2018-11-26T20:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","290,1,N,0072,1","99999,9,9,N","999999,9,9,9","-0027,1","+9999,9","99999,9","SYN046FSTI2 46/// /2914 11027 92000 555 11014 22015=",
