Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,RESIDENTIAL,Unnamed: 10,Unnamed: 11,COMMERCIAL,Unnamed: 13,Unnamed: 14,INDUSTRIAL,Unnamed: 16,Unnamed: 17,TRANSPORTATION,Unnamed: 19,Unnamed: 20,TOTAL,Unnamed: 22,Unnamed: 23
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA_CODE,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2015,10071,Kauai Island Utility Cooperative,A,Bundled,O,HI,Cooperative,,55512.6,161826,28658,39429.1,115373,4269,48006.9,154879,124,.,.,.,142948.6,432078,33051
2015,10144,Kennebunk Light & Power Dist,A,Bundled,O,ME,Municipal,ISNE,6050,48499,5792,4306,35247,962,2876,23075,6,0,0,0,13232,106821,6760
2015,10152,City of Kennett - (MO),A,Bundled,O,MO,Municipal,SWPP,5467.2,74193,4781,4545.6,60124,608,900.9,10286,315,.,.,.,10913.7,144603,5704
2015,10153,KEM Electric Coop Inc,A,Bundled,O,ND,Cooperative,SWPP,4372.4,38853,2651,2704.1,25484,711,1659.9,13286,400,.,.,.,8736.4,77623,3762
2015,10170,"Kiamichi Electric Coop, Inc",A,Bundled,O,OK,Cooperative,AECI,27936.3,240381,18739,8622.5,74309,2937,1865.5,29788,5,.,.,.,38424.3,344478,21681
2015,10171,Kentucky Utilities Co,A,Bundled,O,KY,Investor Owned,LGEE,576210,5995219,423952,495072,5400365,89031,418749,6883841,2969,0,0,0,1490031,18279425,515952
2015,10171,Kentucky Utilities Co,A,Bundled,O,TN,Investor Owned,LGEE,7,96,4,0,0,0,0,0,0,0,0,0,7,96,4
2015,10171,Kentucky Utilities Co,A,Bundled,O,VA,Investor Owned,LGEE,35686,373336,23715,24981,267613,4551,10721,125925,85,0,0,0,71388,766874,28351
2015,10179,Kenyon Municipal Utilities,A,Bundled,O,MN,Municipal,MISO,872,6564,831,669,5627,132,418,3789,2,.,.,.,1959,15980,965
2015,10210,Ketchikan Public Utilities,A,Bundled,O,AK,Municipal,,7032,68590,6397,7061,72370,1282,1994.2,22936,15,0,0,0,16087.2,163896,7694
2015,10226,City of Key West - (FL),A,Bundled,O,FL,Municipal,FMPP,44287,371698,25517,43335,379480,5650,.,.,.,.,.,.,87622,751178,31167
2015,10260,City of Kimball - (NE),A,Bundled,O,NE,Municipal,WACM,1548,9938,1445,1535,11946,455,0,0,0,.,.,.,3083,21884,1900
2015,10321,City of Kingman - (KS),A,Bundled,O,KS,Municipal,SWPP,1766,13463,1556,1106,8690,377,1745.3,17574,15,.,.,.,4617.3,39727,1948
2015,10324,City of Kings Mountain - (NC),A,Bundled,O,NC,Municipal,DUK,5174,49727,3734,4222,43535,746,3868,46795,23,.,.,.,13264,140057,4503
2015,10331,Kingsport Power Co,A,Bundled,O,TN,Investor Owned,PJM,56095.9,674371,41241,36044.9,431670,5904,55513.6,980953,164,0,0,0,147654.4,2086994,47309
2015,10345,City of Kinston - (NC),A,Bundled,O,NC,Municipal,CPLE,17927,126616,9684,17279,140838,1909,15352,184212,12,.,.,.,50558,451666,11605
2015,10370,City of Kirkwood - (MO),A,Bundled,O,MO,Municipal,MISO,9983,96742,8685,10150,100978,1250,901,7664,1,.,.,.,21034,205384,9936
2015,10375,"Kiwash Electric Coop, Inc",A,Bundled,O,OK,Cooperative,SWPP,7579,60786,5534,5049,47844,881,7643,149576,4,.,.,.,20271,258206,6419
2015,10376,Kissimmee Utility Authority,A,Bundled,O,FL,Municipal,FMPP,93741,785853,58298,53934,478851,9511,17098,174564,68,.,.,.,164773,1439268,67877
2015,10378,"Kit Carson Electric Coop, Inc",A,Bundled,O,NM,Cooperative,PNM,20433,135513,24676,14249,106239,3852,2786,23511,10,.,.,.,37468,265263,28538
2015,10393,PUD No 1 of Klickitat County,A,Bundled,O,WA,Political Subdivision,BPAT,14300,134233,10333,8843,107741,1926,5395,100040,249,.,.,.,28538,342014,12508
2015,10421,Knoxville Utilities Board,A,Bundled,O,TN,Municipal,TVA,245235,2457094,174523,232357,2313668,23423,40662,714299,35,0,0,0,518254,5485061,197981
2015,10433,Kodiak Electric Assn Inc,A,Bundled,O,AK,Cooperative,,5988,34841,4781,3784,22819,1053,13884,89559,104,.,.,.,23656,147219,5938
