,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..Part|,|Utility Characteristics..Service Type|,"|Utility Characteristics..""Data Type O = Observed I = Imputed""|",|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|Utility Characteristics.BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
10,2020,5585.0,Eastern Illinois Elec Coop,A,Bundled,O,IL,Cooperative,MISO,"24,900.0","173,647","11,192","6,089.0","45,499","2,313","2,203.0","21,002",15,.,.,.,"33,192.0","240,148","13,520"
11,2020,6458.0,Energy Harbor Corp.,B,Energy,O,IL,Retail Power Marketer,MISO,"1,663.7","23,246","2,430","6,351.9","187,577",146,"58,967.7","1,828,861",20,0.0,0,0,"66,983.3","2,039,684","2,596"
12,2020,7096.0,City of Geneva- (IL),A,Bundled,O,IL,Municipal,PJM,"8,853.0","81,337","8,694","12,514.0","126,306","1,574","13,389.0","153,979",61,.,.,.,"34,756.0","361,622","10,329"
13,2020,7279.0,"NextEra Energy Services, LLC",B,Energy,O,IL,Retail Power Marketer,MISO,0.0,0,0,"4,423.7","78,975",368,0.0,0,0,0.0,0,0,"4,423.7","78,975",368
14,2020,7554.0,Green Mountain Energy Company,B,Energy,O,IL,Retail Power Marketer,PJM,"12,958.8","108,285","15,478",12.5,110,2,0.0,0,0,0.0,0,0,"12,971.3","108,395","15,480"
15,2020,9750.0,"Jo-Carroll Energy, Inc",A,Bundled,O,IL,Cooperative,MISO,"25,953.7","155,519","17,514","12,520.7","92,932","2,944","8,244.0","87,500",70,.,.,.,"46,718.4","335,951","20,528"
16,2020,9750.0,"Jo-Carroll Energy, Inc",C,Delivery,O,IL,Cooperative,MISO,0.0,0,0,0.0,0,0,"1,398.2","189,828",1,0.0,0,0,"1,398.2","189,828",1
17,2020,12341.0,MidAmerican Energy Co,A,Bundled,O,IL,Investor Owned,MISO,"61,540.5","639,263","73,949","41,293.0","568,653","11,376","30,086.2","639,592",42,.,.,.,"132,919.7","1,847,508","85,367"
18,2020,12341.0,MidAmerican Energy Co,C,Delivery,O,IL,Investor Owned,MISO,19.4,418,76,768.0,"43,453",188,387.5,"29,247",5,.,.,.,"1,174.9","73,118",269
19,2020,12395.0,Menard Electric Coop,A,Bundled,O,IL,Cooperative,MISO,"17,980.2","115,683","9,104","3,908.4","27,444",581,"6,739.5","56,415","1,255",.,.,.,"28,628.1","199,542","10,940"
20,2020,13032.0,Mt Carmel Public Utility Co,A,Bundled,O,IL,Investor Owned,MISO,"7,033.0","47,330","4,356","2,174.0","14,386",815,"3,137.0","24,504",92,0.0,0,0,"12,344.0","86,220","5,263"
21,2020,13208.0,City of Naperville - (IL),A,Bundled,O,IL,Municipal,PJM,"70,482.8","525,365","54,483","74,783.6","669,464","6,467","7,241.9","63,025",8,.,.,.,"152,508.3","1,257,854","60,958"
22,2020,13292.0,Norris Electric Coop,A,Bundled,O,IL,Cooperative,MISO,"27,124.0","252,912","17,859","7,940.0","83,282","2,185","4,513.0","14,710",12,.,.,.,"39,577.0","350,904","20,056"
23,2020,13374.0,"Constellation NewEnergy, Inc",B,Energy,O,IL,Retail Power Marketer,PJM,"86,400.5","1,123,913","123,748","792,680.1","14,830,590","52,803","102,384.5","2,018,471",875,0.0,0,0,"981,465.1","17,972,974","177,426"
24,2020,13374.0,"Constellation NewEnergy, Inc",B,Energy,O,IL,Retail Power Marketer,MISO,"27,543.4","510,480","54,331","162,873.5","3,754,693","21,428","30,961.2","780,392",968,0.0,0,0,"221,378.1","5,045,565","76,727"
25,2020,14840.0,City of Peru - (IL),A,Bundled,O,IL,Municipal,MISO,"4,618.0","38,197","4,732","10,451.0","91,955","1,152","10,680.0","103,478",8,.,.,.,"25,749.0","233,630","5,892"
26,2020,16179.0,Rochelle Municipal Utilities,A,Bundled,O,IL,Municipal,PJM,"6,263.0","62,281","5,884","5,063.0","39,855",975,"23,298.0","276,230",40,.,.,.,"34,624.0","378,366","6,899"
27,2020,16196.0,Rock Energy Cooperative,A,Bundled,O,IL,Cooperative,MISO,"11,431.0","85,938","9,273","8,343.0","81,602","1,016","4,677.0","52,227",23,.,.,.,"24,451.0","219,767","10,312"
28,2020,16740.0,Scenic Rivers Energy Coop,A,Bundled,O,IL,Cooperative,MISO,26.6,218,12,.,.,.,.,.,.,.,.,.,26.6,218,12
29,2020,16840.0,"Calpine Energy Solutions, LLC",B,Energy,O,IL,Retail Power Marketer,MISO,0.0,0,0,"145,014.6","3,659,131",169,"10,816.7","270,831",14,0.0,0,0,"155,831.3","3,929,962",183
30,2020,17040.0,"Shelby Electric Coop, Inc",A,Bundled,O,IL,Cooperative,MISO,"21,013.3","125,139","9,713","3,504.0","29,412",158,"8,730.0","87,404",21,0.0,0,0,"33,247.3","241,955","9,892"
31,2020,17585.0,"Southeastern IL Elec Coop, Inc",A,Bundled,O,IL,Cooperative,MISO,"42,186.0","313,192","22,250","11,899.0","83,325","2,281","35,778.0","343,434",28,.,.,.,"89,863.0","739,951","24,559"
32,2020,17697.0,Southwestern Electric Coop Inc - (IL),A,Bundled,O,IL,Cooperative,MISO,"42,550.1","321,161","23,017","11,408.9","95,250",594,"4,171.9","13,660",7,.,.,.,"58,130.9","430,071","23,618"
33,2020,17710.0,"Spark Energy, LP",B,Energy,O,IL,Retail Power Marketer,MISO,"40,131.0","284,983","41,599","2,175.0","26,980","1,081",0.0,0,0,0.0,0,0,"42,306.0","311,963","42,680"
34,2020,17828.0,City of Springfield - (IL),A,Bundled,O,IL,Municipal,MISO,"72,426.3","616,209","59,975","129,028.6","977,949","11,473",.,.,.,.,.,.,"201,454.9","1,594,158","71,448"
