,Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 14
30,2015,6,06/02/2015,6:58 PM,06/02/2015,7:24 PM,"0 Hours, 26 Minutes",Pacific Gas & Electric Co,WECC,California,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational - System Operations,5,727,
31,2015,6,06/03/2015,3:00 PM,06/05/2015,5:00 PM,"50 Hours,0 Minutes",ERCOT,TRE,Texas,Public appeal to reduce the use of electricity - System Operations,Unknown,Unknown,
32,2015,6,06/07/2015,1:52 PM,06/07/2015,2:13 PM,"0 Hours, 21 Minutes",Tennessee Valley Authority,SERC,Tennessee,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident - System Operations,Unknown,Unknown,
33,2015,6,06/07/2015,1:54 PM,06/07/2015,2:13 PM,"0 Hours, 19 Minutes",Memphis Light Gas and Water Division,SERC,"Shelby County, Tennessee",Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident and System-wide voltage reductions of 3 percent or more - System Operations,926,Unknown,
34,2015,6,06/08/2015 12:00 AM,,,.,".. Hours,",. Minutes,California Department of Water Resources,WECC,"Fuel supply emergencies that could impact electric power system adequacy or reliability - Merced County, California",System Operations,176,Unknown
35,2015,6,06/23/2015,5:06 PM,06/26/2015,4:00 PM,"70 Hours, 54 Minutes",Delmarva Power & Light Company,RFC,"New Castle County, Delaware","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,65000,
36,2015,6,06/23/2015,5:30 PM,06/23/2015,7:00 PM,"1 Hours, 30 Minutes",Exelon Corporation / PECO,RFC,"Delaware County, PA; Chester County, PA","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,200000,
37,2015,6,06/23/2015,6:00 PM,06/30/2015,6:00 PM,"168 Hours,0 Minutes",Atlantic City Electric Co,RFC,"Gloucester County, Burlington County, Atlantic County, Cape May County, New Jersey","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,263000,
38,2015,6,06/23/2015,6:18 PM,06/23/2015,8:30 PM,"2 Hours, 12 Minutes",PJM Interconnection,RFC,New Jersey,"Load shedding of 100 Megawatts or more implemented under emergency operational policy and Loss of electric service to more than 50,000 customers for 1 hour or more - System Operations",198,156338,
39,2015,6,06/23/2015,6:26 PM,,.,".. Hours,",. Minutes,Public Service Electric & Gas,NPCC,"Loss of electric service to more than 50,000 customers for 1 New Jersey",hour or more - Severe Weather,90,73000
40,2015,6,06/23/2015,6:30 PM,06/24/2015,5:00 AM,"10 Hours, 30 Minutes",ISO New England,NPCC,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,62442,
