Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Number and Capacity,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Capacity by Technology Type (MW),Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Data Year,Utility Number,Utility Name,State,Number of Generators,Total Capacity in MWs,Capacity Back-up Only,Capacity Utility Owned,Estimated or Actual Data,Internal Combustion Engine,Combusiton Turbine,Steam Turbine,HydroElectric,Wind,Photovoltaic,Storage,Other,Total,Estimated or Actual Data
2014,4617,Cullman Power Board,AL,1,0.01,0,0,A,0,0,0,0,0,0.01,0,0,0.01,A
2014,4618,"Cullman Electric Coop, Inc",AL,13,0.43,0,0,A,0,0,0,0,0,0.43,0,0,0.43,A
2014,4624,Cumberland Elec Member Corp,TN,48,1.87,0,0,A,0,0,0,0,0,0.87,0,1,1.87,A
2014,4683,City of Cuyahoga Falls - (OH),OH,3,0.2,.,.,A,.,.,.,.,0.1,0.1,.,.,0.2,A
2014,4720,Dakota Energy Coop Inc,SD,4,0.2,.,.,E,.,.,.,.,0.1,0.1,.,.,0.2,E
2014,4744,Dalton Utilities,GA,4,3,.,.,A,.,.,.,.,.,3,.,.,3,A
2014,4920,City of Dayton - (TN),TN,1,0.01,0,0,A,0,0,0,0,0,0.01,0,0,0.01,A
2014,4958,Decatur Utilities,AL,2,0.2,0,0,A,0,0,0,0,0,0.2,0,0,0.2,A
2014,5027,Delmarva Power,DE,1752,21.8,0,0,A,.,.,.,.,0.1,21.7,.,.,21.8,A
2014,5027,Delmarva Power,MD,707,13.3,0,0,A,.,.,.,.,0.1,13.2,.,.,13.3,A
2014,5063,City of Denton - (TX),TX,8,0.1,.,.,A,.,.,.,.,.,0.1,.,.,0.1,A
2014,5070,Delaware Electric Cooperative,DE,1,0.4,0,0.4,A,0.4,.,.,.,.,.,.,.,0.4,A
2014,5086,Delta Montrose Electric Assn,CO,2,0.1,.,.,A,.,.,.,.,.,0.1,.,.,0.1,A
2014,5109,DTE Electric Company,MI,1217,20.7,.,7.4,E,2.1,0.6,.,.,0.5,16,1,0.5,20.7,E
2014,5148,City of Dickson,TN,24,0.65,0,0,A,0,0,0,0,0,0.65,0,0,0.65,A
2014,5399,Duck River Elec Member Corp,TN,29,0.53,0,0,A,0,0,0,0,0,0.53,0,0,0.53,A
2014,5416,"Duke Energy Carolinas, LLC",NC,11,5.4,5.4,5.4,A,5.4,.,.,.,.,.,.,.,5.4,A
2014,5416,"Duke Energy Carolinas, LLC",SC,1,0.5,0.5,0.5,A,0.5,.,.,.,.,.,.,.,0.5,A
2014,5551,City of Eagle River - (WI),WI,1,0.1,.,.,A,.,0,0,0,0,0.1,0,.,0.1,A
2014,5574,East Central Energy,MN,1,0.15,0,0,A,0,0,0,0,0,0,0.15,0,0.15,A
2014,5575,City of East Grand Forks - (MN),MN,2,1.5,1.5,1.5,A,1.5,.,.,.,.,.,.,.,1.5,A
2014,5609,Eastern Maine Electric Coop,ME,15,0.1,.,0,E,.,.,.,.,0.1,.,.,.,0.1,E
2014,5763,City of Elizabethton - (TN),TN,10,0.1,0,0,A,0,0,0,0,0,0.1,0,0,0.1,A
2014,5862,"Empire Electric Assn, Inc",CO,3,0.3,0,0.1,E,.,.,.,0.2,.,0.1,.,.,0.3,E
2014,5961,Town of Erwin - (TN),TN,3,0.01,0,0,A,0,0,0,0,0,0.01,0,0,0.01,A
2014,6008,City of Etowah,TN,2,0.01,0,0,A,0,0,0,0,0,0.01,0,0,0.01,A
2014,6022,City of Eugene - (OR),OR,37,2.9,.,.,E,0.8,.,.,.,.,2.1,.,.,2.9,E
2014,6043,City of Evansville,WI,3,0.1,.,.,A,.,0,0,0,0,0.1,0,.,0.1,A
