Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,RESIDENTIAL,Unnamed: 8,Unnamed: 9,COMMERCIAL,Unnamed: 11,Unnamed: 12,INDUSTRIAL,Unnamed: 14,Unnamed: 15,TRANSPORTATION,Unnamed: 17,Unnamed: 18,TOTAL,Unnamed: 20,Unnamed: 21
,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Facility Number,Facility Name,Utility Number,Utility Name,STATE,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2014,58151,Central Utility Plant - Texas A&M,58113,"Texas A&M, Utilities & Energy Services",TX,ERCO,0,0,0,1374,15786,20,405,4558,18,0,0,0,1779,20344,38
2014,10566,Chambers Cogeneration LP,14932,US Operating Services Company,NJ,PJM,0,0,0,0,0,0,13582,124630,1,0,0,0,13582,124630,1
2014,55187,Channelview Cogeneration Plant,56380,EIF Channelview Cogeneration LLC,TX,ERCO,0,0,0,0,0,0,98193,2566680,1,0,0,0,98193,2566680,1
2014,59755,Chester Power Partners,59522,Chester Power Partners LLC,VT,ISNE,0,0,0,14,59,1,0,0,0,0,0,0,14,59,1
2014,57011,Chuckawalla Valley State Prison,56302,SunE CPA CDC1 LLC,CA,CISO,0,0,0,220,2005,1,0,0,0,0,0,0,220,2005,1
2014,57645,City & County of Denver at Denver Int'l,56974,"Denver Airport Solar, LLC",CO,PSCO,0,0,0,0,0,0,246,6732,1,0,0,0,246,6732,1
2014,57681,City of Boulder WWTP,57005,"SunE NLB-2, LLC",CO,PSCO,0,0,0,0,0,0,50,1422,1,0,0,0,50,1422,1
2014,57682,City of Madera WWTP,57006,"SunE GIL1, LLC",CA,CISO,0,0,0,0,0,0,288,2275,1,0,0,0,288,2275,1
2014,59329,City of Soledad Water Reclamation,59129,"Foundation CA Fund VII Manager, LLC",CA,CISO,0,0,0,0,0,0,25,340,1,0,0,0,25,340,1
2014,10741,Clear Lake Cogeneration Ltd,3775,Clear Lake Cogeneration LP,TX,ERCO,0,0,0,0,0,0,4683,135331,1,0,0,0,4683,135331,1
2014,10635,Corona Cogen,56466,Juniper Generation  LLC,CA,CISO,0,0,0,0,0,0,400,1311,1,0,0,0,400,1311,1
2014,55206,Corpus Christi Energy Center,4383,Corpus Christi Cogeneration LLC,TX,ERCO,0,0,0,0,0,0,20608,503660,1,0,0,0,20608,503660,1
2014,59746,DSH (CA) - Coalinga State Hospital,59512,"Team-Solar, Inc.",CA,CISO,0,0,0,237,1801,1,0,0,0,0,0,0,237,1801,1
2014,59779,Davis Monthan AFB (AZ) West Airfield,59544,"SunE DM, LLC",AZ,TEPC,0,0,0,1573,32978,1,0,0,0,0,0,0,1573,32978,1
2014,57827,Dinuba Wastewater Treatment Plant,58661,"Sustainable Power Group, LLC",CA,CISO,.,.,.,305,1934,1,.,.,.,.,.,.,305,1934,1
2014,10613,Domtar - Woodland Mill,5232,Woodland Pulp LLC,ME,NBSO,0,0,0,134,1483,1,0,0,0,0,0,0,134,1483,1
