|Utility Characteristics..Data Year|,|Utility Characteristics..Facility Number|,|Utility Characteristics..Facility Name|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..STATE|,|Utility Characteristics..BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
2019,10298,Bayou Cogen Plant,327,Air Liquide Large Industries U S LP,TX,ERCO,0.0,0,0,0.0,0,0,"7,095.0","262,760",1,0.0,0,0,"7,095.0","262,760",1
2019,55327,Baytown Energy Center,2838,Baytown Energy Center LLC,TX,ERCO,0.0,0,0,0.0,0,0,"51,876.0","1,768,941",1,0.0,0,0,"51,876.0","1,768,941",1
2019,62074,"Bd of Educ of Queen Anne's Cnty, Cnty HS",60947,Tesla Inc.,MD,PJM,0.0,0,0,134.0,"2,087",1,0.0,0,0,0.0,0,0,134.0,"2,087",1
2019,59546,Beaver Solar LLC,59287,Laurel Capital Partners,PA,PJM,0.0,0,0,0.0,0,0,103.0,"1,282",1,0.0,0,0,103.0,"1,282",1
2019,62084,Becker Solar 2 CSG,60970,SunShare Management,MN,MISO,147.0,"1,023",227,0.0,0,0,0.0,0,0,0.0,0,0,147.0,"1,023",227
2019,62085,Becker Solar 3 CSG,60970,SunShare Management,MN,MISO,147.0,998,238,0.0,0,0,0.0,0,0,0.0,0,0,147.0,998,238
2019,62086,Becker Solar 4 CSG,60970,SunShare Management,MN,MISO,148.0,"1,078",246,0.0,0,0,0.0,0,0,0.0,0,0,148.0,"1,078",246
2019,62087,Becker Solar 5 CSG,60970,SunShare Management,MN,MISO,85.0,668,136,42.0,398,1,0.0,0,0,0.0,0,0,127.0,"1,066",137
2019,62040,Becker Solar CSG,60970,SunShare Management,MN,MISO,149.0,"1,035",240,0.0,0,0,0.0,0,0,0.0,0,0,149.0,"1,035",240
2019,63262,Becton Canaan,63058,"DG Northeast 1, LLC",CT,ISNE,0.0,0,0,185.0,"2,215",1,0.0,0,0,0.0,0,0,185.0,"2,215",1
2019,60653,Belchertown,60281,"Altus Power America Management, LLC",MA,ISNE,141.0,759,85,109.0,729,1,0.0,0,0,0.0,0,0,250.0,"1,488",86
