|Utility Characteristics..Data Year|,|Utility Characteristics..Facility Number|,|Utility Characteristics..Facility Name|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..STATE|,|Utility Characteristics..BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
2019,62157,Breesport Road Community Solar Farm,62706,"NY Baldwin I, LLC",NY,NYIS,33.0,344,170,0.0,0,0,0.0,0,0,0.0,0,0,33.0,344,170
2019,60451,Brookside,63249,Terraform Arcadia,RI,ISNE,0.0,0,0,210.0,"1,401",1,0.0,0,0,0.0,0,0,210.0,"1,401",1
2019,60507,Broome County,60947,Tesla Inc.,NY,NYIS,0.0,0,0,177.0,"2,483",1,0.0,0,0,0.0,0,0,177.0,"2,483",1
2019,58037,Buckeye Union HS District 201,57408,Constellation Solar Arizona LLC,AZ,AZPS,0.0,0,0,895.0,"7,211",1,0.0,0,0,0.0,0,0,895.0,"7,211",1
2019,62712,Burlington Coat Factory Solar,62155,"DG Northeast Solar II, LLC",NJ,PJM,0.0,0,0,"1,361.0","4,568",1,0.0,0,0,0.0,0,0,"1,361.0","4,568",1
2019,58618,Butler Plaza,58570,CF Gainesville Owner One LLC,FL,GVL,0.0,0,0,447.0,"1,238",1,0.0,0,0,0.0,0,0,447.0,"1,238",1
2019,52147,C P Kelco San Diego Plant,3221,CPKelco U S Inc,CA,CISO,0.0,0,0,0.0,0,0,6.0,72,1,0.0,0,0,6.0,72,1
2019,60428,CA Dept of Public Health at Richmond,58540,California PV Energy LLC,CA,CISO,0.0,0,0,420.0,"4,205",1,0.0,0,0,0.0,0,0,420.0,"4,205",1
2019,62613,CBP Solar,62067,EnterSolar,NY,NYIS,313.0,"1,709",765,0.0,0,0,0.0,0,0,0.0,0,0,313.0,"1,709",765
2019,58440,CBS Studio Center,59413,Crestmark Bank,CA,LDWP,0.0,0,0,"1,465.0","8,762",2,0.0,0,0,0.0,0,0,"1,465.0","8,762",2
2019,60036,CCBC-Catonsville,58491,"Constellation Solar Holding, LLC",MD,PJM,0.0,0,0,223.0,"2,787",1,0.0,0,0,0.0,0,0,223.0,"2,787",1
2019,59248,CCMUA,59063,"Camden Solar Center, LLC",NJ,PJM,0.0,0,0,88.0,"1,804",1,0.0,0,0,0.0,0,0,88.0,"1,804",1
2019,61620,CDCR (CA) - Corcoran State Prison,61225,"SunE Corcoran SP Owner, LLC",CA,CISO,0.0,0,0,969.0,"9,688",1,0.0,0,0,0.0,0,0,969.0,"9,688",1
2019,59748,CDCR (CA) - Pleasant Valley State Prison,59512,"Team-Solar, Inc.",CA,CISO,0.0,0,0,303.0,"3,025",1,0.0,0,0,0.0,0,0,303.0,"3,025",1
2019,61619,CDCR (CA) - Solano State Prison,61224,"SunE Solano SP Owner, LLC",CA,CISO,0.0,0,0,279.0,"2,261",1,0.0,0,0,0.0,0,0,279.0,"2,261",1
2019,61621,CDCR (CA) - Wasco State Prison,61226,"SunE Wasco SP Owner, LLC",CA,CISO,0.0,0,0,346.0,"3,455",1,0.0,0,0,0.0,0,0,346.0,"3,455",1
2019,60201,CES Cherry Hill Solar,57365,Consolidated Edison Solutions Inc,NJ,PJM,0.0,0,0,0.0,0,0,244.0,"1,835",1,0.0,0,0,244.0,"1,835",1
2019,60029,CES VMT Solar,57365,Consolidated Edison Solutions Inc,MD,PJM,0.0,0,0,0.0,0,0,165.0,"1,539",1,0.0,0,0,165.0,"1,539",1
2019,60225,CMEEC - Bozrah,60947,Tesla Inc.,CT,ISNE,0.0,0,0,441.0,"2,387",1,0.0,0,0,0.0,0,0,441.0,"2,387",1
2019,60608,CMEEC - Navy NE Trident,60947,Tesla Inc.,CT,ISNE,0.0,0,0,238.0,"1,396",1,0.0,0,0,0.0,0,0,238.0,"1,396",1
2019,60609,CMEEC - Norwich Stott St Solar Hybrid,60947,Tesla Inc.,CT,ISNE,0.0,0,0,759.0,"4,738",1,0.0,0,0,0.0,0,0,759.0,"4,738",1
2019,60607,CMEEC - Polaris Park Solar Hybrid,60947,Tesla Inc.,CT,ISNE,0.0,0,0,770.0,"5,220",1,0.0,0,0,0.0,0,0,770.0,"5,220",1
2019,60605,CMEEC - Rogers Rd Solar,60947,Tesla Inc.,CT,ISNE,0.0,0,0,287.0,"1,617",1,0.0,0,0,0.0,0,0,287.0,"1,617",1
2019,54323,CNN Center,18452,Turner Properties Inc,GA,SOCO,0.0,0,0,802.0,"10,150",21,0.0,0,0,0.0,0,0,802.0,"10,150",21
2019,59130,CSD 2 - Heritage High,59622,"Ahana Renewables, LLC",CA,CISO,0.0,0,0,501.0,"2,002",1,0.0,0,0,0.0,0,0,501.0,"2,002",1
2019,59129,CSD 2- Freedom High,59622,"Ahana Renewables, LLC",CA,CISO,0.0,0,0,372.0,"1,483",1,0.0,0,0,0.0,0,0,372.0,"1,483",1
2019,56813,CSU Fresno Solar Project,56028,MMA Fresno Power LP,CA,CISO,0.0,0,0,296.0,"1,485",1,0.0,0,0,0.0,0,0,296.0,"1,485",1
2019,62028,CSU Long Beach Lots 7 & 14,61601,"Solar Star California XLVII, LLC",CA,CISO,0.0,0,0,"1,439.0","7,289",1,0.0,0,0,0.0,0,0,"1,439.0","7,289",1
2019,58481,CSU Pueblo,58467,"SSA Solar of CO 1, LLC",CO,WACM,0.0,0,0,107.0,"1,801",1,0.0,0,0,0.0,0,0,107.0,"1,801",1
2019,60979,CSUF Nutwood Solar,60630,"Solar Star California XLVIII, LLC",CA,CISO,0.0,0,0,571.0,"3,048",1,0.0,0,0,0.0,0,0,571.0,"3,048",1
2019,60978,CSUF State College,60630,"Solar Star California XLVIII, LLC",CA,CISO,0.0,0,0,309.0,"1,650",1,0.0,0,0,0.0,0,0,309.0,"1,650",1
2019,58386,CU Solar Plant,58373,CU Solar LLC,OH,PJM,0.0,0,0,244.0,"2,115",1,0.0,0,0,0.0,0,0,244.0,"2,115",1
2019,59283,California PV Energy at ISD WWTP,58540,California PV Energy LLC,CA,CISO,0.0,0,0,0.0,0,0,256.0,"1,965",1,0.0,0,0,256.0,"1,965",1
2019,55308,Calvert City,57295,DTE Calvert City LLC,KY,TVA,0.0,0,0,0.0,0,0,"7,022.0","128,106",3,0.0,0,0,"7,022.0","128,106",3
2019,60452,Calverton,63249,Terraform Arcadia,NY,NYIS,0.0,0,0,578.0,"2,625",1,0.0,0,0,0.0,0,0,578.0,"2,625",1
2019,61604,Camden CSD Solar Array,60571,AEP Onsite Partners,NY,NYIS,0.0,0,0,206.0,"2,255",1,0.0,0,0,0.0,0,0,206.0,"2,255",1
2019,60685,Canyon Del Oro High School Solar,60404,"Constellation Solar Arizona 2, LLC",AZ,TEPC,0.0,0,0,294.0,"2,912",1,0.0,0,0,0.0,0,0,294.0,"2,912",1
2019,59297,Carrier Clinic,59100,"Sunlight General Solar Fund II, LLC",NJ,PJM,0.0,0,0,155.0,"1,938",1,0.0,0,0,0.0,0,0,155.0,"1,938",1
2019,62763,Carver CSG,62670,"Carver MA 2, LLC",MA,ISNE,139.0,"1,446",61,0.0,0,0,0.0,0,0,0.0,0,0,139.0,"1,446",61
2019,60353,Cecil County CCVT HS,60150,"SunE DB42, LLC",MD,PJM,0.0,0,0,242.0,"3,400",1,0.0,0,0,0.0,0,0,242.0,"3,400",1
2019,61376,Cedar Creek PV,61012,AES Distributed Energy,NY,NYIS,0.0,0,0,513.0,"3,041",1,0.0,0,0,0.0,0,0,513.0,"3,041",1
2019,60757,Cedarville CSG,60281,"Altus Power America Management, LLC",MA,ISNE,296.0,"1,774",183,279.0,"2,647",3,0.0,0,0,0.0,0,0,575.0,"4,421",186
2019,59630,CentraState Medical Center PV Facility,62060,CleanCapital,NJ,PJM,0.0,0,0,547.0,"7,991",1,0.0,0,0,0.0,0,0,547.0,"7,991",1
2019,63439,Central CA Fuel Cell 1,61939,"Clearway Energy, Inc",CA,CISO,0.0,0,0,0.0,0,0,"1,319.0","17,721",1,0.0,0,0,"1,319.0","17,721",1
2019,58151,Central Utility Plant - Texas A&M,58113,"Texas A&M, Utilities & Energy Services",TX,ERCO,0.0,0,0,"3,403.0","43,631",30,959.0,"12,288",26,0.0,0,0,"4,362.0","55,919",56
2019,10566,Chambers Cogeneration LP,14932,US Operating Services Company,NJ,PJM,0.0,0,0,0.0,0,0,"6,783.0","58,500",1,0.0,0,0,"6,783.0","58,500",1
2019,55187,Channelview Cogeneration Plant,56380,EIF Channelview Cogeneration LLC,TX,ERCO,0.0,0,0,0.0,0,0,"63,107.0","2,241,148",1,0.0,0,0,"63,107.0","2,241,148",1
2019,60465,Chesapeake College,60947,Tesla Inc.,MD,PJM,0.0,0,0,115.0,"2,450",1,0.0,0,0,0.0,0,0,115.0,"2,450",1
