,Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 14
54,2014,4,4/3/14,2:45 PM,4/9/14 11:53,,"141 Hours,8 Minutes",We Energies,MRO,Wisconsin,Fuel Supply Emergency - Coal,Unknown,Unknown,
55,2014,4,4/4/14,3:30 AM,4/4/14,8:15 AM,"4 Hours, 45 Minutes","Entergy Services, Inc.",SERC,Central Arkansas,Severe Weather - Wind,Unknown,57200,
56,2014,4,4/8/14 11:09,,4/8/14 11:20,,"0 Hours, 11 Minutes",Puerto Rico Electric Power Authority,,Puerto Rico,Voltage Reduction,Unknown,Unknown,
57,2014,4,4/12/14,6:15 PM,4/14/14,9:00 AM,"38 Hours, 45 Minutes",Consumers Energy,RFC,"Western and Central Michigan,nan","Thunderstorms,Severe Weather -",Unknown,50000,
58,2014,4,4/12/14,8:00 PM,4/15/14,7:30 PM,"71 Hours, 30 Minutes",Detroit Edison Company,RFC,Michigan,Severe Weather,Unknown,164000,
59,2014,4,4/23/14,7:45 PM,4/23/14,8:37 PM,"0 Hours, 52 Minutes",MISO / Entergy Transmission,SERC,"Baton Rouge, Louisiana,nan","Megawatts,Load shedding of 100",163,28000,
60,2014,4,4/24/14,3:02 PM,4/24/14,5:13 PM,"2 Hours, 11 Minutes",Peak Reliability,WECC,"Alberta, Canada,nan","(Islanding),Electrical System Separation",Unknown,Unknown,
61,2014,4,4/27/14,9:15 AM,,ongoing,nanongoing,Peak Reliability,WECC,"Alberta, Canada,nan","(Islanding),Electrical System Separation",9750,4000000,
62,2014,4,4/29/14,9:37 AM,5/1/14,9:00 AM,"47 Hours, 23 Minutes",Tennessee Valley Authority,SERC,"Northern Alabama,Northeastern Mississippi,","Thunderstorms,Severe Weather -",Unknown,57000,
63,2014,4,4/29/14 23:30,,4/29/14 12:30,,"-11 Hours,0 Minutes",Southern Company,SERC,"Mississippi, Alabama,nan","Thunderstorms,Severe Weather -",355,106648,
64,2014,4,4/30/14,3:50 AM,4/30/14,2:00 PM,"10 Hours, 10 Minutes",Southern Company,SERC,"Alabama, Florida, Georgia,nan","Thunderstorms,Severe Weather -",296,89000,
65,2014,5,5/9/14,6:00 PM,5/11/14,1:00 PM,"43 Hours,0 Minutes",Vectren Energy Delivery of Indiana,RFC,Indiana,Severe Weather - Heavy Winds,Unknown,56000,
66,2014,5,5/14/14,3:34 PM,,ongoing,nanongoing,San Diego Gas & Electric Company,WECC,"California,San Diego & Orange Counties,","Electricity Usage - Wild Fires,Public Appeal to Reduce",,,
67,2014,5,5/15/14 10:43,,,ongoing,nanongoing,San Diego Gas & Electric Co,WECC,"California,San Diego & Orange Counties,","Electricity Usage - Wild Fires,Public Appeal to Reduce",3300,1400000,
68,2014,5,5/16/14 10:43,,5/16/14,9:00 PM,"10 Hours, 17 Minutes",San Diego Gas & Electric Co,WECC,"California,San Diego & Orange Counties,","Electricity Usage - Wild Fires,Public Appeal to Reduce",3900,1400000,
69,2014,5,5/26/14 12:31,,5/26/14,1:18 PM,"0 Hours, 47 Minutes",Peak Reliability,WECC,"Canada,British Columbia & Alberta,","(Islanding),Electrical System Separation",Unknown,Unknown,
70,2014,6,6/3/14,3:32 PM,6/3/14,3:59 PM,"0 Hours, 27 Minutes",Peak Reliability,WECC,"Alberta, Canada",Electrical System Islanding,338,,
71,2014,6,6/5/14,3:00 AM,6/7/14 23:45,,"68 Hours, 45 Minutes",Memphis Light Gas and Water Division,SERC,"Shelby County, Tennessee,nan","Thunderstorms,Severe Weather -",494,38500,
72,2014,6,6/5/14,1:06 PM,6/5/14,1:07 PM,"0 Hours,1 Minutes",Tennessee Valley Authority,SERC,"West Tennessee,nan","Thunderstorms,Severe Weather -",Unknown,56475,
73,2014,6,6/6/14,1:00 PM,,ongoing,nanongoing,"Luminant Energy Company, LLC",ERCOT,Texas,Fuel Supply Emergency - Coal,Unknown,Unknown,
74,2014,6,6/7/14 23:00,,6/8/14,5:30 AM,"6 Hours, 30 Minutes",Southern Company,SERC,"North and Central , Alabama,nan","Thunderstorms,Severe Weather -",217,65000,
75,2014,6,6/9/14 11:07,,6/9/14 11:30,,"0 Hours, 23 Minutes",Peak Reliability,WECC,"Alberta, Canada",Electrical System Islanding,Unknown,Unknown,
76,2014,6,6/10/14,9:50 PM,6/11/14,2:30 PM,"16 Hours, 40 Minutes",American Electric Power,RFC,"West Virginia,nan","Thunderstorms,Severe Weather -",Unknown,66383,
77,2014,6,6/15/14 0:00,,6/15/14,1:00 AM,"1 Hours,0 Minutes",Xcel Energy,MRO,"Central Minnesota,nan","Thunderstorms,Severe Weather -",Unknown,55951,
78,2014,6,6/18/14,5:00 PM,6/20/14,3:00 PM,"46 Hours,0 Minutes",Detroit Edison Co,RFC,"Southeast Michigan,nan","Thunderstorms,Severe Weather -",Unknown,138802,
79,2014,6,6/27/14,1:21 PM,,ongoing,nanongoing,We Energies,MRO,Wisconsin,Fuel Supply Emergency - Coal,Unknown,Unknown,
80,2014,6,6/30/14,5:55 PM,7/1/14,2:53 AM,"8 Hours, 58 Minutes",We Energies,MRO,"Southeast,nan","Wisconsin,Severe Weather -",Thunderstorms,424,
81,2014,6,6/30/14,8:00 PM,7/2/14,6:30 PM,"46 Hours, 30 Minutes",Exelon Corporation/ComEd,RFC,"Illinois,nan","Thunderstorms,Severe Weather -",Unknown,420000,
