Data Year,Utility Number,Utility Name,Ownership Code,Ownership,Monthly,Short Form,Advanced Metering,Demand Response,Distribution Systems,Dynamic Pricing,Energy Efficiency,Mergers,Net Metering,Non Net Metering Distributed,Operational Data,Reliablity,Sales to Ultimate Customers,Service Territory,Utility Data
2017,13037,City of Mt Pleasant - (UT),M,Municipal,,X,X,,,,,,,,,,,X,
2017,13038,City of Mt Pleasant - (IA),M,Municipal,,,X,,X,,X,,X,,X,,X,X,X
2017,13039,City of Mt Pleasant - (TN),M,Municipal,,,X,,X,,,,,X,X,,X,X,X
2017,13040,City of Mount Vernon - (MO),M,Municipal,,,X,,X,,,,X,,X,,X,X,X
2017,13044,City of Mountain Iron - (MN),M,Municipal,,X,X,,,,,,,,,,,X,
2017,13048,City of Mountain Lake - (MN),M,Municipal,,X,X,,,,,,,,,,,X,
2017,13050,"Mountain Parks Electric, Inc",C,Cooperative,,,X,,X,X,,,X,,X,,X,X,X
2017,13057,City of Mountain View - (MO),M,Municipal,,X,,,,,,,,,,,,X,
2017,13058,"Mountain View Elec Assn, Inc",C,Cooperative,,,X,,X,X,X,,X,,X,X,X,X,X
2017,13073,"Mt Wheeler Power, Inc",C,Cooperative,X,,X,,X,,,,X,X,X,,X,X,X
2017,13090,Village of Mullen - (NE),M,Municipal,,X,,,,,,,,,,,,X,
2017,13095,City of Mulvane - (KS),M,Municipal,,,X,,X,,,,,,X,,X,X,X
2017,13100,Municipal Electric Authority,A,Municipal Mktg Authority,,,,,,,,,,,X,,,,X
2017,13119,City of Murfreesboro,M,Municipal,,,X,,X,X,,,,X,X,X,X,X,X
2017,13137,City of Murray - (UT),M,Municipal,,,X,,X,,,,X,,X,X,X,X,X
2017,13138,City of Murray - (KY),M,Municipal,,,X,,X,X,,,,X,X,,X,X,X
2017,13143,Board of Water Electric & Communications,M,Municipal,,,X,,X,,X,,X,,X,X,X,X,X
2017,13144,City of Muscle Shoals,M,Municipal,,,X,,X,X,,,,X,X,,X,X,X
2017,13145,Village of Muscoda - (WI),M,Municipal,,,X,,X,X,,,X,,X,X,X,X,X
2017,13149,City of Needles - (CA),M,Municipal,,X,,,,,,,,,,,,X,
2017,13190,"N W Electric Power Coop, Inc",C,Cooperative,,,,,,,,,,,X,,,,X
2017,13196,Northern Plains Electric Coop,C,Cooperative,X,,X,,X,,,,,,X,X,X,X,X
2017,13201,"Naknek Electric Assn, Inc",C,Cooperative,,X,,,,,,,,,,,,X,
2017,13205,"New Enterprise R E C, Inc",C,Cooperative,,X,X,,,,,,,,,,,X,
2017,13206,Nantucket Electric Co,I,Investor Owned,X,,X,,X,,,,X,,X,X,X,X,X
2017,13208,City of Naperville - (IL),M,Municipal,,,X,,X,,,,X,,X,X,X,X,X
2017,13209,City of Napoleon - (OH),M,Municipal,,,X,,X,,,,X,,X,X,X,X,X
2017,13211,Napakiak Ircinraq Power Co,I,Investor Owned,,X,,,,,,,,,,,,X,
2017,13214,The Narragansett Electric Co,I,Investor Owned,X,,X,,X,,X,,X,X,X,X,X,X,X
2017,13216,Nashville Electric Service,M,Municipal,X,,X,,X,X,,,,X,X,X,X,X,X
2017,13219,City of Nashwauk - (MN),M,Municipal,,X,,,,,,,,,,,,X,
2017,13227,Natchez Trace Elec Power Assn,C,Cooperative,,,X,,X,,,,,X,X,X,X,X,X
2017,13228,City of Natchitoches,M,Municipal,,,X,,X,,,,,,X,,X,X,X
2017,13233,City of Neligh - (NE),M,Municipal,,,X,,X,,,,,X,X,,X,X,X
2017,13286,New Hampton Village Precinct,M,Municipal,,X,,,,,,,,,,,,X,
2017,13292,Norris Electric Coop,C,Cooperative,,,X,,X,,,,X,,X,,X,X,X
2017,13314,Navajo Tribal Utility Authority,S,State,X,,X,,X,,,,,,X,X,X,X,X
2017,13318,"Navopache Electric Coop, Inc",C,Cooperative,,,X,,X,X,,,X,X,X,,X,X,X
2017,13332,"Navarro County Elec Coop, Inc",C,Cooperative,,,X,,X,,,,X,,X,,X,X,X
2017,13334,City of Nebraska City,M,Municipal,,,X,,X,,,,X,X,X,,X,X,X
2017,13337,Nebraska Public Power District,P,Political Subdivision,X,,X,X,X,X,X,,X,,X,X,X,X,X
2017,13352,City of Negaunee,M,Municipal,,,X,,X,,,,X,,X,,X,X,X
2017,13355,New England Hydro-Tran Elec Co,T,Transmission,,,,,,,,,,,X,,,,X
2017,13356,New England Hydro-Trans Corp,T,Transmission,,,,,,,,,,,X,,,,X
2017,13374,"Constellation NewEnergy, Inc",R,Retail Power Marketer,X,,,,,,,,,,X,,X,,X
2017,13375,City of Nelson - (NE),M,Municipal,,X,,,,,,,,,,,,X,
2017,13380,City of Neodesha - (KS),M,Municipal,,,X,,X,,,,,,X,,X,X,X
2017,13382,City of Neola - (IA),M,Municipal,,X,X,,,,,,,,,,,X,
2017,13386,"Nemaha-Marshall E C A, Inc",C,Cooperative,,,X,,X,,,,X,,X,X,X,X,X
2017,13387,"Nespelem Valley Elec Coop, Inc",C,Cooperative,,X,X,,,,,,,,,,,X,
2017,13388,Nephi City Corporation,M,Municipal,,X,X,,,,,,,,,,,X,
2017,13402,Nevada Irrigation District,P,Political Subdivision,,,,,,,,,,,X,,,,X
2017,13407,Nevada Power Co,I,Investor Owned,X,,X,X,X,X,X,,X,,X,X,X,X,X
2017,13412,City of New Albany - (MS),M,Municipal,,,X,,X,X,,,,X,X,,X,X,X
2017,13416,City of New Bern - (NC),M,Municipal,,,X,,X,,,,,,X,X,X,X,X
2017,13418,City of New Braunfels - (TX),M,Municipal,,,X,,X,,,,X,,X,X,X,X,X
2017,13420,Village of New Bremen - (OH),M,Municipal,,X,,,,,,,,,,,,X,
2017,13423,Town of New Carlisle- (IN),M,Municipal,,X,X,,,,,,,,,,,X,
2017,13424,New Castle Municipal Serv Comm,M,Municipal,,,X,,X,,,,X,,X,X,X,X,X
2017,13433,New England Power Company,I,Investor Owned,,,,,,,,,,,X,,,,X
2017,13437,City of Newbern,M,Municipal,,,X,,X,X,,,,,X,,X,X,X
2017,13438,Village of New Glarus - (WI),M,Municipal,,,X,,X,X,,,X,X,X,,X,X,X
2017,13441,New Hampshire Elec Coop Inc,C,Cooperative,X,,X,X,X,,X,,X,,X,X,X,X,X
2017,13444,City of New Hampton - (IA),M,Municipal,,,X,,X,,,,,,X,,X,X,X
