"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","OD1","REM"
"99849999999","2021-03-05T10:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","030,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0002,1","-0060,1","99999,9",,,"5,99,0051,1,999","SYN062CNII2 46/// /0304 11002 21060 90945 333 91210 555 11004 22004="
"99849999999","2021-03-05T11:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","010,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0004,1","-0058,1","99999,9",,,"5,99,0036,1,999","SYN062CNII2 46/// /0104 11004 21058 91045 333 91207 555 11004 22004="
"99849999999","2021-03-05T12:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","290,1,N,0015,1","99999,9,9,N","999999,9,9,9","-0007,1","-0052,1","99999,9",,,"5,99,0031,1,999","SYN062CNII2 46/// /2903 11007 21052 91145 333 91206 555 11003 22003="
"99849999999","2021-03-05T13:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0007,1","-0045,1","99999,9",,,"5,99,0026,1,999","SYN062CNII2 46/// /0000 11007 21045 91245 333 91205 555 11001 22001="
"99849999999","2021-03-05T14:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","260,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0012,1","-0043,1","99999,9",,,"5,99,0021,1,999","SYN062CNII2 46/// /2602 10012 21043 91345 333 91204 555 11002 22002="
"99849999999","2021-03-05T15:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","310,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0020,1","-0040,1","99999,9",,,"5,99,0026,1,999","SYN062CNII2 46/// /3104 10020 21040 91500 333 91205 555 11004 22004="
"99849999999","2021-03-05T16:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","090,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0026,1","-0031,1","99999,9",,,"5,99,0026,1,999","SYN062CNII2 46/// /0904 10026 21031 91545 333 91205 555 11004 22005="
"99849999999","2021-03-05T17:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","090,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0026,1","-0026,1","99999,9",,,"5,99,0031,1,999","SYN062CNII2 46/// /0903 10026 21026 91645 333 91206 555 11003 22003="
"99849999999","2021-03-05T18:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","110,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0040,1","-0016,1","99999,9",,,"5,99,0036,1,999","SYN062CNII2 46/// /1103 10040 21016 91745 333 91207 555 11003 22003="
"99849999999","2021-03-05T19:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","060,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0039,1","-0028,1","99999,9",,,"5,99,0031,1,999","SYN062CNII2 46/// /0605 10039 21028 91845 333 91206 555 11005 22005="
