Data Year,Utility Number,Utility Name,State,Ownership,SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically,SAIDI (minutes per year),SAIFI (times per year),CAIDI With MED,SAIDI (minutes per year),SAIFI (times per year),CAIDI Without MED,Number of Customers,Inactive Accounts Included,Momentary Interruptions,Highest Dist. Voltage,Outages Recorded Automatically
2023,14401,City of Palo Alto - (CA),CA,Municipal,171.91,1.56,110.19872,.,.,.,.,.,.,30172,12,Y,.,.,.,.,.,.,.,,,.,
2023,14424,"Panola-Harrison Elec Coop, Inc",LA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,67.3,0.101,666.33663,.,.,.,9955,N,F,7.2,N
2023,14424,"Panola-Harrison Elec Coop, Inc",TX,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,39.36,0.088,447.27273,.,.,.,10699,N,F,7.2,N
2023,14455,City of Paris - (TN),TN,Municipal,1723,9.57,180.0418,373,5.29,70.510397,1723,9.57,180.0418,22442,12.5,Y,.,.,.,.,.,.,.,,,.,
2023,14468,People's Cooperative Services,MN,Cooperative,89.19,1.09,81.825688,69.42,1,69.42,78.74,0.676,116.47929,23726,13.8,Y,.,.,.,.,.,.,.,,,.,
2023,14534,City of Pasadena - (CA),CA,Municipal,18.147,0.216,84.013889,18.147,0.216,84.013889,18.147,0.216,84.013889,66549,17.2,Y,.,.,.,.,.,.,.,,,.,
2023,14563,Pearl River Valley El Pwr Assn,MS,Cooperative,191.074,2.558,74.696638,191.074,2.558,74.696638,182.671,2.396,76.239983,52966,25,N,.,.,.,.,.,.,.,,,.,
2023,14606,"Peace River Electric Coop, Inc",FL,Cooperative,146.4,1.575,92.952381,132.5,1.559,84.990378,139,1.503,92.481703,62285,25,Y,.,.,.,.,.,.,.,,,.,
2023,14610,Orlando Utilities Comm,FL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,58.6,0.66,88.787879,54.7,0.65,84.153846,278394,N,L,34.5,Y
2023,14624,PUD No 2 of Grant County,WA,Political Subdivision,.,.,.,.,.,.,.,.,.,.,.,,74.552,0.476,156.62185,.,.,.,57363,N,F,13.2,N
2023,14626,"Pedernales Electric Coop, Inc",TX,Cooperative,274.426,1.193,230.03018,75.655,0.853,88.692849,262.52,0.941,278.97981,403721,25,Y,.,.,.,.,.,.,.,,,.,
2023,14668,Peninsula Light Company,WA,Cooperative,179.5,1.339,134.05527,106,0.88,120.45455,.,.,.,35002,12.5,N,.,.,.,.,.,.,.,,,.,
2023,14711,Pennsylvania Electric Co,PA,Investor Owned,491.07,2.048,239.78027,230.13,1.608,143.11567,420.61,1.611,261.08628,585139,34.5,Y,.,.,.,.,.,.,.,,,.,
2023,14715,PPL Electric Utilities Corp,PA,Investor Owned,149.7,0.8,187.125,91.5,0.642,142.52336,148.1,0.742,199.59569,1456541,12,Y,.,.,.,.,.,.,.,,,.,
2023,14716,Pennsylvania Power Co,PA,Investor Owned,706,1.509,467.85951,118.54,0.86,137.83721,631.4,1.02,619.01961,171259,23,Y,.,.,.,.,.,.,.,,,.,
2023,14717,Pee Dee Electric Member Corp,NC,Cooperative,212.48,2.256,94.184397,128.635,1.708,75.313232,173.287,2.013,86.083954,21640,24.9,Y,.,.,.,.,.,.,.,,,.,
2023,14724,Pennyrile Rural Electric Coop,KY,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,1544.52,4.081,378.46606,285.82,2.813,101.60683,49829,N,L,25,Y
2023,14775,People's Electric Cooperative,OK,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,353.8,3,117.93333,304,2.7,112.59259,23367,N,F,25,Y
2023,14839,City of Peru - (IN),IN,Municipal,61.55,0.65,94.692308,22.1,0.26,85,52.46,0.53,98.981132,10552,12.5,N,.,.,.,.,.,.,.,,,.,
2023,14864,Petit Jean Electric Coop Corp,AR,Cooperative,836.13,2.432,343.80345,177.76,1.326,134.05732,836.13,2.432,343.80345,20681,24.9,Y,.,.,.,.,.,.,.,,,.,
2023,14940,PECO Energy Co,PA,Investor Owned,126,0.88,143.18182,79,0.76,103.94737,126,0.88,143.18182,1685774,34,Y,.,.,.,.,.,.,.,,,.,
2023,15016,Pickwick Electric Coop,TN,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,745.56,.,.,75.54,.,.,21164,N,L,25,N
2023,15023,Piedmont Electric Member Corp,NC,Cooperative,212.088,1.864,113.78112,167.814,1.768,94.917421,164.124,1.162,141.24269,34105,12.5,N,.,.,.,.,.,.,.,,,.,
2023,15045,Pike County Light & Power Co,PA,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,144,1.52,94.736842,54,0.62,87.096774,5333,N,F,34.5,N
2023,15048,Electrical Dist No2 Pinal County,AZ,Political Subdivision,177.69,.,.,140.18,.,.,160.16,.,.,6302,.,Y,.,.,.,.,.,.,.,,,.,
2023,15054,"Pioneer Rural Elec Coop, Inc - (OH)",OH,Cooperative,170,1.77,96.045198,94.8,1.3,72.923077,145.4,1.19,122.18487,17578,12,N,.,.,.,.,.,.,.,,,.,
2023,15073,"Pioneer Electric Coop, Inc - (KS)",KS,Cooperative,156.48,.,.,130.42,.,.,156.48,.,.,16565,13.2,Y,.,.,.,.,.,.,.,,,.,
2023,15095,City of Piqua - (OH),OH,Municipal,50.194,0.703,71.399716,21.335,0.44,48.488636,21.335,0.44,48.488636,10848,13,N,.,.,.,.,.,.,.,,,.,
2023,15138,"Platte-Clay Electric Coop, Inc",MO,Cooperative,87.76,1.193,73.562448,64.18,0.764,84.005236,80.89,0.908,89.085903,24922,12.5,Y,.,.,.,.,.,.,.,,,.,
2023,15159,City of Plymouth - (WI),WI,Municipal,28.48,0.38,74.947368,0,0,.,0,0,.,8720,12.5,Y,.,.,.,.,.,.,.,,,.,
2023,15175,Pointe Coupee Elec Member Corp,LA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,3.59,0.01,359,.,.,.,10675,N,O,13.2,N
2023,15202,City of Ponca City - (OK),OK,Municipal,85.781,0.941,91.159405,85.781,0.941,91.159405,.,.,.,15891,12.5,Y,.,.,.,.,.,.,.,,,.,
2023,15229,City of Poplar Bluff - (MO),MO,Municipal,.,.,.,.,.,.,.,.,.,.,.,,57.309,0.695,82.458993,.,.,.,9611,N,L,69,N
2023,15248,Portland General Electric Co,OR,Investor Owned,109,0.65,167.69231,109,0.65,167.69231,99,0.57,173.68421,931537,35,Y,.,.,.,.,.,.,.,,,.,
