,Data Year,Utility Number,Utility Name,Short Form,State,County
218,2023,17631,Southern Illinois Elec Coop,Y,IL,Alexander
219,2023,17631,Southern Illinois Elec Coop,Y,IL,Jackson
220,2023,17631,Southern Illinois Elec Coop,Y,IL,Johnson
221,2023,17631,Southern Illinois Elec Coop,Y,IL,Massac
222,2023,17631,Southern Illinois Elec Coop,Y,IL,Pope
223,2023,17631,Southern Illinois Elec Coop,Y,IL,Pulaski
224,2023,17631,Southern Illinois Elec Coop,Y,IL,Union
225,2023,17631,Southern Illinois Elec Coop,Y,IL,Williamson
226,2023,17697,Southwestern Electric Coop Inc - (IL),,IL,Bond
227,2023,17697,Southwestern Electric Coop Inc - (IL),,IL,Clay
228,2023,17697,Southwestern Electric Coop Inc - (IL),,IL,Clinton
229,2023,17697,Southwestern Electric Coop Inc - (IL),,IL,Effingham
230,2023,17697,Southwestern Electric Coop Inc - (IL),,IL,Fayette
231,2023,17697,Southwestern Electric Coop Inc - (IL),,IL,Macoupin
232,2023,17697,Southwestern Electric Coop Inc - (IL),,IL,Madison
233,2023,17697,Southwestern Electric Coop Inc - (IL),,IL,Marion
234,2023,17697,Southwestern Electric Coop Inc - (IL),,IL,Montgomery
235,2023,17697,Southwestern Electric Coop Inc - (IL),,IL,Shelby
236,2023,17697,Southwestern Electric Coop Inc - (IL),,IL,St Clair
237,2023,17828,City of Springfield - (IL),,IL,Sangamon
238,2023,17838,"Spoon River Electric Coop, Inc",Y,IL,Fulton
239,2023,17838,"Spoon River Electric Coop, Inc",Y,IL,Knox
240,2023,17838,"Spoon River Electric Coop, Inc",Y,IL,McDonough
241,2023,17838,"Spoon River Electric Coop, Inc",Y,IL,Peoria
242,2023,17838,"Spoon River Electric Coop, Inc",Y,IL,Schuyler
243,2023,17860,City of St Charles - (IL),,IL,DuPage
244,2023,17860,City of St Charles - (IL),,IL,Kane
245,2023,18277,City of Sullivan - (IL),Y,IL,Moultrie
246,2023,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Clay
247,2023,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Clinton
248,2023,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Franklin
249,2023,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Hamilton
250,2023,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Jefferson
251,2023,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Marion
252,2023,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Perry
253,2023,18955,"Tri-County Electric Coop, Inc (IL)",,IL,St Clair
254,2023,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Washington
255,2023,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Wayne
256,2023,19528,University of Illinois,,IL,Champaign
257,2023,19528,University of Illinois,,IL,Cook
258,2023,20180,City of Waterloo - (IL),Y,IL,Monroe
259,2023,20222,Wayne-White Counties Elec Coop,,IL,Clay
260,2023,20222,Wayne-White Counties Elec Coop,,IL,Edwards
261,2023,20222,Wayne-White Counties Elec Coop,,IL,Franklin
