Utility Characteristics,,,,,,Number of,,,,,Types of Program,,,,,,,,,,,,,,,,,,,
,,,,,,Customers Enrolled,,,,,Time of Use Pricing,,,,Real Time Pricing,,,,Variable Peak Pricing,,,,Critical Peak Pricing,,,,Critical Peak Rebate,,,
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation
2020,5027,Delmarva Power,,MD,PJM,"175,733",0,0,0,"175,733",,,,,,,,,,,,,,,,,Y,,,
2020,5063,City of Denton - (TX),,TX,ERCO,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2020,5070,Delaware Electric Cooperative,,DE,PJM,.,"1,158",.,.,"1,158",,Y,,,,,,,,,,,,Y,,,,,,
2020,5078,"Denton County Elec Coop, Inc",,TX,ERCO,"1,573",167,66,.,"1,806",Y,Y,Y,,,,,,,,,,,,,,,,,
2020,5086,Delta Montrose Electric Assn,,CO,WACM,"1,782",37,.,.,"1,819",Y,Y,,,,,,,,,,,,,,,,,,
2020,5109,DTE Electric Company,,MI,MISO,"16,193",3,.,.,"16,196",Y,Y,Y,,,,,,,,,,Y,Y,,,,,,
2020,5111,City of Detroit Lakes - (MN),Y,MN,MISO,.,1,.,.,1,,,,,,,,,,,,,,,,,,,,
2020,5148,City of Dickson,,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2020,5325,City of Douglas,,GA,SOCO,.,2,.,.,2,,Y,,,,,,,,,,,,,,,,,,
2020,5327,Douglas Electric Coop - (OR),Y,OR,BPAT,.,2,.,.,2,,,,,,,,,,,,,,,,,,,,
2020,5399,Duck River Elec Member Corp,,TN,TVA,3,0,4,0,7,Y,,Y,,,,,,,,,,,,,,,,,
2020,5416,"Duke Energy Carolinas, LLC",,NC,DUK,"4,126","16,822","1,088",.,"22,036",Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2020,5416,"Duke Energy Carolinas, LLC",,SC,DUK,319,"5,041",480,.,"5,840",Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2020,5438,"Duncan Valley Elec Coop, Inc",Y,AZ,WALC,.,1,.,.,1,,,,,,,,,,,,,,,,,,,,
2020,5480,Town of Danvers,,MA,ISNE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,5487,Duquesne Light Co,,PA,PJM,.,111,31,.,142,,,,,,Y,Y,,,,,,,,,,,,,
2020,5509,City of Dyersburg,,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2020,5535,Egyptian Electric Coop Assn,,IL,MISO,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,5551,City of Eagle River - (WI),,WI,MISO,1,11,.,.,12,Y,Y,,,,,,,,,,,,,,,,,,
2020,5578,East Mississippi Elec Pwr Assn,,MS,TVA,0,77,0,0,77,,Y,,,,,,,,,,,,,,,,,,
2020,5582,City of East Point - (GA),,GA,SOCO,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,5585,Eastern Illinois Elec Coop,,IL,MISO,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,5605,Eastern Iowa Light & Power Coop,,IA,MISO,"21,612","2,153",16,.,"23,781",Y,Y,Y,,,,,,,,,,,,,,,,,
2020,5632,Eau Claire Electric Coop,Y,WI,MISO,"10,730",759,8,.,"11,497",,,,,,,,,,,,,,,,,,,,
2020,5661,City of Edmond - (OK),,OK,SWPP,.,17,.,.,17,,Y,,,,,,,,,,,,,,,,,,
2020,5701,El Paso Electric Co,,NM,EPE,21,76,9,0,106,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,5701,El Paso Electric Co,,TX,EPE,18,732,38,0,788,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,5763,City of Elizabethton - (TN),,TN,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,5773,City of Elk River,,MN,MISO,14,3,.,.,17,Y,Y,,,,,,,,,,,,,,,,,,
2020,5860,Empire District Electric Co,,MO,SWPP,.,.,3,.,3,,,Y,,,,,,,,,,,,,,,,Y,
2020,5961,Town of Erwin - (TN),,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2020,5964,"Escambia River Elec Coop, Inc",Y,FL,AEC,11,.,.,.,11,,,,,,,,,,,,,,,,,,,,
2020,5997,Town of Estes Park,Y,CO,PSCO,305,31,.,.,336,,,,,,,,,,,,,,,,,,,,
2020,6008,City of Etowah,,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2020,6043,City of Evansville,,WI,MISO,80,32,1,.,113,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,6112,"Farmers Electric Coop, Inc - (IA)",Y,IA,MISO,.,.,1,.,1,,,,,,,,,,,,,,,,,,,,
2020,6182,"Farmers Electric Coop, Inc - (TX)",,TX,ERCO,.,4,.,.,4,,,,,,Y,,,,,,,,,,,,,,
2020,6205,City of Farmington - (MO),,MO,MISO,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,6234,City of Fayetteville,,TN,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2020,6235,Fayetteville Public Works Commission,,NC,CPLE,"73,404","9,626",30,0,"83,060",Y,Y,,,,,,,,,,,,Y,Y,,,,,
2020,6342,First Electric Coop Corp,,AR,MISO,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,6369,Fishers Island Utility Co Inc,,NY,ISNE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,6374,Fitchburg Gas & Elec Light Co,,MA,ISNE,.,.,29,.,29,,,Y,,,,,,,,,,,,,,,,,
2020,6395,Flathead Electric Coop Inc,,MT,BPAT,"56,430",0,94,.,"56,524",Y,,Y,,,,,,,,,,,,,,,,,
2020,6411,Flint Electric Membership Corp,,GA,SOCO,0,262,.,0,262,,Y,,,,,,,,,,,,Y,,,,,,
2020,6422,City of Florence - (AL),,AL,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
