Utility Characteristics,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,BA Code,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2020,AR,20963,Woodruff Electric Coop Corp,MISO,AC,0.074,1.838,.,.,1.912,8,6,.,.,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.003,.,.,.,0.003,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.077,1.838,0.000,0.000,1.915,9,6,0,0,15,0.000,0.000,0.000,0.000,0.000
2020,AR,99999,Adjustment 2020,MISO,,-1.665,-1.093,-0.445,.,-3.203,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1.665,-1.093,-0.445,.,-3.203,.,.,.,.,.,.,.,.,.,.
2020,AR,99999,Adjustment 2020,SWPP,,-0.989,.,.,.,-0.989,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.989,.,.,.,-0.989,.,.,.,.,.,.,.,.,.,.
2020,AZ,176,Ajo Improvement Co,AZPS,AC,0.033,0.033,.,.,0.066,4,3,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.739,0.075,.,.,0.814,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.033,0.033,0.000,0.000,0.066,4,3,0,0,7,0.739,0.075,0.000,0.000,0.814
2020,AZ,803,Arizona Public Service Co,AZPS,DC,955.791,302.828,.,.,"1,258.619","116,183","1,774",.,.,"117,957",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.057,0.125,.,.,0.182,24,12,.,.,36,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,955.848,302.953,0.000,0.000,"1,258.801","116,207","1,786",0,0,"117,993",0.000,0.000,0.000,0.000,0.000
2020,AZ,12351,City of Mesa - (AZ),WALC,DC,0.217,0.712,.,.,0.929,51,23,.,.,74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.217,0.712,0.000,0.000,0.929,51,23,0,0,74,0.000,0.000,0.000,0.000,0.000
2020,AZ,12919,Morenci Water and Electric,WALC,AC,.,0.033,.,.,0.033,.,3,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.961,.,.,0.961,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.033,0.000,0.000,0.033,0,3,0,0,3,0.000,0.961,0.000,0.000,0.961
2020,AZ,13318,"Navopache Electric Coop, Inc",PNM,AC,2.369,0.442,.,.,2.811,313,30,.,.,343,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,892.468",350.194,.,.,"3,242.662",0.006,.,.,.,0.006,5,.,.,.,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.375,0.442,0.000,0.000,2.817,318,30,0,0,348,"2,892.468",350.194,0.000,0.000,"3,242.662"
2020,AZ,16572,Salt River Project,SRP,AC,169.650,88.202,6.630,.,264.482,"26,323",688,3,.,"27,014",6.384,0.242,0.000,.,6.626,"1,175",4,0,.,"1,179",4.717,6.036,0.000,.,10.753,"1,732",83,0,.,"1,815","18,708.000","31,044.000",0.000,.,"49,752.000",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,174.367,94.238,6.630,0.000,275.235,"28,055",771,3,0,"28,829","18,708.000","31,044.000",0.000,0.000,"49,752.000"
2020,AZ,18280,Sulphur Springs Valley E C Inc,WALC,AC,8.500,4.000,.,.,12.500,"1,137",307,.,.,"1,444",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.100,.,.,.,0.100,37,.,.,.,37,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,8.600,4.000,0.000,0.000,12.600,"1,174",307,0,0,"1,481",0.000,0.000,0.000,0.000,0.000
