Data Year,Utility Number,Utility Name,State,Distribution Circuits,Circuits with Voltage Optimization
2020,8934,"Howell-Oregon Elec Coop, Inc",MO,79,66
2020,8973,Town of Hudson - (MA),MA,12,10
2020,9023,City of Humboldt,TN,16,0
2020,9087,Town of Huntersville - (NC),NC,10,0
2020,9094,City of Huntsville - (AL),AL,275,0
2020,9096,City of Lafayette - (LA),LA,89,.
2020,9124,Hustisford Utilities,WI,3,0
2020,9130,Hutchinson Utilities Comm,MN,13,13
2020,9187,City of Idaho Falls - (ID),ID,42,0
2020,9191,Idaho Power Co,ID,613,376
2020,9191,Idaho Power Co,OR,67,19
2020,9216,Imperial Irrigation District,CA,326,0
2020,9230,City of Independence - (IA),IA,8,8
2020,9231,City of Independence - (MO),MO,66,34
2020,9246,"Indian Electric Coop, Inc",OK,64,.
2020,9273,Indianapolis Power & Light Co,IN,429,393
2020,9292,Inter County Energy Coop Corp,KY,44,.
2020,9324,Indiana Michigan Power Co,IN,655,60
2020,9324,Indiana Michigan Power Co,MI,143,9
2020,9331,Intercounty Electric Coop Assn,MO,102,0
2020,9336,Intermountain Rural Elec Assn,CO,319,0
2020,9417,Interstate Power and Light Co,IA,"1,482",0
2020,9425,Iowa Lakes Electric Coop,IA,158,22
2020,9431,Irwin Electric Membership Corp,GA,37,0
2020,9475,Itasca-Mantrap Co-op Electrical Assn,MN,43,0
2020,9575,Jackson Energy Coop Corp - (KY),KY,113,0
2020,9576,Jackson County Rural E M C - (IN),IN,36,0
2020,9590,"Jackson Electric Coop, Inc - (TX)",TX,34,.
2020,9601,Jackson Electric Member Corp - (GA),GA,238,0
2020,9605,Jackson Purchase Energy Corporation,KY,91,84
2020,9612,City of Jackson - (TN),TN,122,116
2020,9613,City of Lebanon - (IN),IN,20,10
2020,9616,Beaches Energy Services,FL,30,30
2020,9617,JEA,FL,378,378
2020,9645,Jamestown Board of Public Util,NY,51,51
2020,9665,Jasper County Rural E M C,IN,37,37
2020,9667,City of Jasper - (IN),IN,16,16
2020,9668,"Jasper-Newton Elec Coop, Inc",TX,63,0
2020,9682,"Jefferson Davis Elec Coop, Inc",LA,46,46
2020,9689,Jefferson Electric Member Corp,GA,58,0
2020,9690,Jefferson Utilities,WI,4,4
2020,9697,City of Jellico,KY,1,0
2020,9697,City of Jellico,TN,2,0
2020,9699,"Jemez Mountains Elec Coop, Inc",NM,56,.
2020,9726,Jersey Central Power & Lt Co,NJ,"1,421","1,421"
2020,9739,Joe Wheeler Elec Member Corp,AL,90,75
2020,9750,"Jo-Carroll Energy, Inc",IL,90,2
2020,9777,Johnson City - (TN),TN,138,0
2020,9778,Johnson County Rural E M C,IN,42,0
