Data Year,Utility Number,Utility Name,Ownership,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2021,690,City of Bardstown - (KY),Municipal,,KY,LGEE,.,.,.,.,0,"3,427","1,245",18,.,"4,690",.,.,.,.,.,.,.,.,.,.,"3,427","1,245",18,0,"4,690","44,532","54,743","87,041",.,"186,316",.,.,.,.,.,.,.,.,.,.
2021,691,City of Anoka,Municipal,,MN,MISO,"11,148","1,321",17,.,"12,486",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"11,148","1,321",17,0,"12,486",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,694,Anza Electric Coop Inc,Cooperative,Y,CA,WALC,0,0,0,.,0,933,0,0,.,933,.,.,.,.,.,.,.,.,.,.,933,0,0,0,933,"18,851",0,0,.,"18,851",.,.,.,.,.,.,.,.,.,.
2021,695,City of Ansley - (NE),Municipal,Y,NE,SWPP,262,81,0,.,343,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,262,81,0,0,343,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,700,City of Anthon - (IA),Municipal,Y,IA,SWPP,313,51,.,.,364,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,313,51,0,0,364,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,701,City of Anthony - (KS),Municipal,Y,KS,SWPP,"1,584",333,9,.,"1,926",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,584",333,9,0,"1,926",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,719,Town of Apex- (NC),Municipal,,NC,CPLE,"24,452","1,815",.,.,"26,267",0,0,.,.,0,.,.,.,.,.,368,.,.,.,368,"24,820","1,815",0,0,"26,635",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,723,City of Aplington,Municipal,Y,IA,MISO,482,66,.,.,548,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,482,66,0,0,548,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,727,Appalachian Electric Coop,Cooperative,,TN,TVA,0,0,0,0,0,"41,697","7,119",7,0,"48,823",0,0,0,0,0,0,0,0,0,0,"41,697","7,119",7,0,"48,823","631,326","244,643","80,561",0,"956,530",0,0,0,0,0,0,0,0,0,0
2021,733,Appalachian Power Co,Investor Owned,,VA,PJM,"65,098","16,173",652,0,"81,923","393,092","66,228","1,408",0,"460,728",0,0,0,0,0,786,328,163,0,"1,277","458,976","82,729","2,223",0,"543,928","5,300,368","2,697,702","1,513,359",0,"9,511,429","393,092","66,228","1,408",0,"460,728","4,012",0,0,0,"4,012"
2021,733,Appalachian Power Co,Investor Owned,,WV,PJM,"182,006","39,565","1,527",0,"223,098","174,524","30,558",782,0,"205,864",0,0,0,0,0,699,428,239,0,"1,366","357,229","70,551","2,548",0,"430,328","2,305,993","1,379,765","651,073",0,"4,336,831","174,524","30,558",782,0,"205,864","1,543",0,0,0,"1,543"
2021,750,Arab Electric Coop Inc,Cooperative,,AL,TVA,0,0,0,0,0,"12,867","2,607",1,0,"15,475",0,0,0,0,0,429,171,0,0,600,"13,296","2,778",1,0,"16,075","190,459","96,665","3,222",0,"290,346",0,0,0,0,0,0,0,0,0,0
2021,752,City of Arapahoe - (NE),Municipal,Y,NE,SWPP,509,163,26,.,698,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,509,163,26,0,698,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,765,City of Arcadia - (WI),Municipal,Y,WI,MISO,"1,348",199,61,.,"1,608",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,348",199,61,0,"1,608",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,768,City of Arcanum - (OH),Municipal,Y,OH,PJM,"1,480",135,27,.,"1,642",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,480",135,27,0,"1,642",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,789,Town of Argos,Municipal,Y,IN,MISO,836,136,.,.,972,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,836,136,0,0,972,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,792,City of Argyle - (WI),Municipal,Y,WI,MISO,405,89,6,.,500,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,405,89,6,0,500,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,803,Arizona Public Service Co,Investor Owned,,AZ,AZPS,"53,148","10,302",406,0,"63,856","1,179,606","130,810","2,858",0,"1,313,274",.,.,.,.,.,.,.,.,.,.,"1,232,754","141,112","3,264",0,"1,377,130","14,523,919","10,326,256","776,516",0,"25,626,691",.,.,.,.,.,.,.,.,.,.
2021,814,Entergy Arkansas LLC,Investor Owned,,AR,MISO,82,11,4,.,97,"707,736","136,669","29,010",.,"873,415",.,.,.,.,.,81,289,"1,443",1,"1,814","707,899","136,969","30,457",1,"875,326","7,207,355","5,108,937","7,343,424",.,"19,659,716",.,.,.,.,.,.,.,.,.,.
2021,817,Arkansas Valley Elec Coop Corp,Cooperative,,AR,SWPP,.,.,.,.,.,"52,575","4,078",44,0,"56,697",.,.,.,.,.,.,.,.,.,.,"52,575","4,078",44,0,"56,697","724,439","175,711","273,437",0,"1,173,587","52,575","4,078",44,0,"56,697",.,.,.,.,.
2021,817,Arkansas Valley Elec Coop Corp,Cooperative,,OK,SWPP,.,.,.,.,.,"4,177",523,0,0,"4,700",.,.,.,.,.,.,.,.,.,.,"4,177",523,0,0,"4,700","57,831","31,161",0,0,"88,992","4,177",523,0,0,"4,700",.,.,.,.,.
2021,828,City of Arlington - (MN),Municipal,Y,MN,MISO,970,108,0,.,"1,078",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.,970,108,0,0,"1,078",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.
