|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Number of.Customers Enrolled.Residential|,|Number of.Customers Enrolled.Commercial|,|Number of.Customers Enrolled.Industrial|,|Number of.Customers Enrolled.Transportation|,|Number of.Customers Enrolled.Total|,|Types of Program.Time of Use Pricing.Residential|,|Types of Program.Time of Use Pricing.Commercial|,|Types of Program.Time of Use Pricing.Industrial|,|Types of Program.Time of Use Pricing.Transportation|,|Types of Program.Real Time Pricing.Residential|,|Types of Program.Real Time Pricing.Commercial|,|Types of Program.Real Time Pricing.Industrial|,|Types of Program.Real Time Pricing.Transportation|,|Types of Program.Variable Peak Pricing.Residential|,|Types of Program.Variable Peak Pricing.Commercial|,|Types of Program.Variable Peak Pricing.Industrial|,|Types of Program.Variable Peak Pricing.Transportation|,|Types of Program.Critical Peak Pricing.Residential|,|Types of Program.Critical Peak Pricing.Commercial|,|Types of Program.Critical Peak Pricing.Industrial|,|Types of Program.Critical Peak Pricing.Transportation|,|Types of Program.Critical Peak Rebate.Residential|,|Types of Program.Critical Peak Rebate.Commercial|,|Types of Program.Critical Peak Rebate.Industrial|,|Types of Program.Critical Peak Rebate.Transportation|
2021,7174,Gibson Electric Members Corp,,KY,TVA,0,78,0,0,78,,Y,,,,,,,,,,,,,,,,,,
2021,7174,Gibson Electric Members Corp,,TN,TVA,0,374,2,0,376,,Y,Y,,,,,,,,,,,,,,,,,
2021,7264,"Glades Electric Coop, Inc",,FL,SEC,3,2,23,.,28,Y,Y,Y,,,,,,,,,,,Y,Y,,,Y,,
2021,7270,City of Glasgow - (KY),,KY,TVA,"5,670","1,808",0,0,"7,478",Y,Y,,,,,,,,,,,,,,,,,,
2021,7279,"NextEra Energy Services, LLC",,DE,PJM,.,1,.,.,1,,,,,,Y,,,,,,,,,,,,,,
2021,7279,"NextEra Energy Services, LLC",,IL,MISO,.,1,.,.,1,,,,,,Y,,,,,,,,,,,,,,
2021,7279,"NextEra Energy Services, LLC",,NJ,PJM,.,1,.,.,1,,,,,,Y,,,,,,,,,,,,,,
2021,7279,"NextEra Energy Services, LLC",,OH,PJM,.,2,.,.,2,,,,,,Y,,,,,,,,,,,,,,
2021,7279,"NextEra Energy Services, LLC",,PA,PJM,.,1,.,.,1,,,,,,Y,,,,,,,,,,,,,,
2021,7279,"NextEra Energy Services, LLC",,TX,ERCO,"5,299",27,.,.,"5,326",Y,,,,Y,Y,,,,,,,,,,,,,,
2021,7294,City of Glendale - (CA),,CA,LDWP,79,303,12,.,394,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,7411,City of Gothenburg - (NE),Y,NE,SWPP,.,.,4,.,4,,,,,,,,,,,,,,,,,,,,
2021,7483,City of Grand Haven - (MI),,MI,MISO,.,.,53,.,53,,,Y,,,,,,,,,,,,,,,,,
2021,7489,Grand Rapids Public Util Comm,Y,MN,MISO,.,1,.,.,1,,,,,,,,,,,,,,,,,,,,
2021,7490,Grand River Dam Authority,,OK,SWPP,.,.,1,.,1,,,Y,,,,,,,,,,,,,,,,,
2021,7496,Town of Granite Falls - (NC),Y,NC,DUK,0,7,2,0,9,,,,,,,,,,,,,,,,,,,,
2021,7558,Grayson Rural Electric Coop Corp,,KY,PJM,.,26,.,.,26,,Y,,,,,,,,,,,,,,,,,,
2021,7563,Grand Valley Power,,CO,PSCO,4,28,1,.,33,Y,Y,,,,,,,,,,,,,Y,,,,,
2021,7601,Green Mountain Power Corp,,VT,ISNE,"5,572","3,732",72,0,"9,376",Y,Y,Y,,,,,,,,,,Y,Y,Y,,,,,
2021,7625,City of Greeneville - (TN),,TN,TVA,0,0,7,0,7,,,Y,,,,,,,,,,,,,,,,,
2021,7634,City of Greenville - (TX),,TX,ERCO,.,90,.,.,90,,Y,,,,,,,,,,,,,,,,Y,,
2021,7715,Town of Groton - (MA),Y,MA,ISNE,186,0,.,.,186,,,,,,,,,,,,,,,,,,,,
2021,7752,Guadalupe Valley Elec Coop Inc,,TX,ERCO,2,.,2,.,4,Y,,,,,,Y,,,,,,,,,,,,,
2021,7787,Gunnison County Elec Assn.,Y,CO,WACM,47,.,.,.,47,,,,,,,,,,,,,,,,,,,,
2021,7801,Gulf Power Co,,FL,SOCO,"20,010",859,75,.,"20,944",,Y,Y,,,Y,Y,,,,,,Y,,,,,,,
2021,7826,City of Gunnison - (CO),Y,CO,WACM,37,1,.,.,38,,,,,,,,,,,,,,,,,,,,
2021,7827,Guntersville Electric Board,,AL,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2021,8000,NineStar Connect,,IN,MISO,"15,739",.,.,.,"15,739",Y,,,,,,,,,,,,,,,,,,,
2021,8122,Harlan Municipal Utilities - (IA),Y,IA,MISO,.,3,1,.,4,,,,,,,,,,,,,,,,,,,,
2021,8179,Harrison County Rural E M C,,IN,MISO,164,.,.,.,164,Y,,,,,,,,,,,,,,,,,,,
2021,8212,Hartford Electric,,WI,MISO,6,58,8,0,72,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,8226,City of Hartselle,,AL,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2021,8287,Hawaii Electric Light Co Inc,,HI,NA,616,41,1,.,658,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,8319,Heartland Power Coop,,IA,MISO,8,50,8,.,66,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,8333,Haywood Electric Member Corp,,NC,DUK,35,16,1,.,52,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,8348,City of Healdsburg - (CA),Y,CA,CISO,86,11,0,0,97,,,,,,,,,,,,,,,,,,,,
2021,8447,Hendricks County Rural E M C,,IN,MISO,"34,540",905,4,.,"35,449",Y,Y,,,,,,,,,,,,,Y,,,,,
2021,8566,High Plains Power Inc,,WY,WACM,446,7,0,0,453,Y,Y,,,,,,,,,,,,,,,,,,
2021,8570,Highline Electric Assn,,CO,WACM,7,.,.,.,7,Y,,,,,,,,,,,,,,,,,,,
2021,8571,Town of High Point,,NC,DUK,0,181,21,0,202,,Y,Y,,,,,,,,,,,Y,Y,,,Y,Y,
2021,8699,Inland Power & Light Company,,WA,BPAT,0,0,163,0,163,,,Y,,,,,,,,,,,,,,,,,
2021,8723,City of Holland,,MI,MISO,40,.,.,.,40,Y,,,,,,,,,,,,,,,,,,,
2021,8764,"Holston Electric Coop, Inc",,TN,TVA,0,0,6,0,6,,,Y,,,,,,,,,,,,,,,,,
2021,8773,"Holy Cross Electric Assn, Inc",,CO,PSCO,62,62,0,0,124,Y,Y,,,,,,,,,,,,,,,,,,
2021,8846,City of Hopkinsville,,KY,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2021,8911,Howard Electric Coop,Y,MO,AECI,"3,529",.,.,.,"3,529",,,,,,,,,,,,,,,,,,,,
2021,9023,City of Humboldt,,TN,TVA,0,1,2,0,3,,Y,Y,,,,,,,,,,,,,,,,,
2021,9087,Town of Huntersville - (NC),,NC,DUK,.,.,2,.,2,,,Y,,,,,,,,,,,,,,,,,
2021,9094,City of Huntsville - (AL),,AL,TVA,0,9,6,0,15,,Y,Y,,,,,,,,,,,,,,,,,
2021,9124,Hustisford Utilities,,WI,MISO,6,8,0,0,14,Y,Y,,,,,,,,,,,,,,,,,,
2021,9191,Idaho Power Co,,ID,IPCO,986,285,115,0,"1,386",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,9191,Idaho Power Co,,OR,IPCO,4,7,7,0,18,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,9209,Illinois Rural Electric Coop,Y,IL,PJM,.,284,.,.,284,,,,,,,,,,,,,,,,,,,,
2021,9273,Indianapolis Power & Light Co,,IN,MISO,165,7,.,.,172,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,9275,Indianola Municipal Utilities,Y,IA,MISO,27,.,.,.,27,,,,,,,,,,,,,,,,,,,,
2021,9324,Indiana Michigan Power Co,,IN,PJM,"14,033","2,357",57,0,"16,447",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,9324,Indiana Michigan Power Co,,MI,PJM,"5,765",469,84,0,"6,318",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,9336,CORE Electric Cooperative,,CO,PSCO,94,65,43,.,202,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,9417,Interstate Power and Light Co,,IA,MISO,"15,439","5,842",312,.,"21,593",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,9475,Itasca-Mantrap Co-op Electrical Assn,,MN,MISO,2,.,2,.,4,Y,,Y,,,,,,,,,,,,,,,,,
2021,9576,Jackson County Rural E M C - (IN),,IN,MISO,24,1,.,.,25,Y,Y,,,,,,,,,,,,,,,,,,
2021,9601,Jackson Electric Member Corp - (GA),,GA,SOCO,711,354,.,.,"1,065",Y,Y,,,,,,,,,,,,,,,,,,
2021,9612,City of Jackson - (TN),,TN,TVA,0,2,12,0,14,,Y,Y,,,,,,,,,,,,,,,,,
2021,9617,JEA,,FL,JEA,.,206,46,.,252,,Y,Y,,,,,,,,,,,,,,,,,
2021,9682,"Jefferson Davis Elec Coop, Inc",,LA,MISO,.,16,.,.,16,,Y,,,,,,,,,,,,,,,,,,
2021,9690,Jefferson Utilities,,WI,MISO,0,21,1,0,22,,Y,Y,,,,,,,,,,,,,,,,,
2021,9697,City of Jellico,,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2021,9699,"Jemez Mountains Elec Coop, Inc",,NM,WALC,252,29,.,.,281,Y,Y,,,,,,,,,,,,,,,,,,
2021,9726,Jersey Central Power & Lt Co,,NJ,PJM,"13,943",315,101,1,"14,360",Y,Y,Y,,Y,Y,Y,Y,,,,,,,,,,,,
2021,9739,Joe Wheeler Elec Member Corp,,AL,TVA,0,1,19,0,20,,Y,Y,,,,,,,,,,,,,,,,,
2021,9750,"Jo-Carroll Energy, Inc",,IL,MISO,.,.,13,.,13,,,Y,,,,,,,,,,,,,,,,,
2021,9777,Johnson City - (TN),,TN,TVA,0,7,10,0,17,,Y,Y,,,,,,,,,,,,,,,,,
2021,9778,Johnson County Rural E M C,,IN,MISO,"4,634",37,2,.,"4,673",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,9936,Juneau Utility Comm,,WI,MISO,0,31,2,0,33,,Y,Y,,,,,,,,,,,,,,,,,
2021,10000,Evergy Metro,,KS,SWPP,"1,583",.,.,.,"1,583",Y,,,,,,,,,,,,,,,,,,,
2021,10000,Evergy Metro,,MO,SWPP,"2,939",3,.,.,"2,942",Y,,,,,Y,,,,,,,,,,,,,,
2021,10005,"Evergy Kansas South, Inc",,KS,SWPP,263,267,34,.,564,Y,Y,Y,,,,,,,,,,,,,,,Y,Y,
2021,10019,FreeState Electric Coop,,KS,SWPP,566,5,.,.,571,Y,Y,,,,,,,,,,,,,,,,,,
2021,10056,City of Kaukauna,,WI,MISO,11,69,14,0,94,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,10171,Kentucky Utilities Co,,KY,LGEE,101,"4,652",797,.,"5,550",Y,Y,Y,,,,,,,,,,,,Y,,,,Y,
2021,10171,Kentucky Utilities Co,,VA,LGEE,.,185,16,.,201,,Y,Y,,,,,,,,,,,,Y,,,,Y,
2021,10331,Kingsport Power Co,,TN,PJM,29,5,0,0,34,Y,Y,,,,,,,,,,,,,,,,,,
2021,10376,Kissimmee Utility Authority,,FL,FMPP,0,51,0,0,51,,Y,,,,,,,,,,,,,,,,,,
2021,10378,"Kit Carson Electric Coop, Inc",,NM,PNM,314,71,.,.,385,Y,Y,,,,,,,,,,,,,,,,,,
2021,10421,Knoxville Utilities Board,,TN,TVA,25,192,10,0,227,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,10448,Kosciusko County Rural E M C,,IN,MISO,.,.,3,.,3,,,Y,,,,,,,,,,,,,,,,,
2021,10539,"La Plata Electric Assn, Inc",,CO,WACM,"4,347",342,13,0,"4,702",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,10550,McCook Public Power District,Y,NE,SWPP,.,.,2,.,2,,,,,,,,,,,,,,,,,,,,
2021,10599,"Lake Region Electric Coop, Inc - (OK)",,OK,AECI,0,3,1,0,4,,Y,Y,,,,,,,,,,,,,,,,,
2021,10605,Lake Mills Light & Water,,WI,MISO,3,12,0,0,15,Y,Y,,,,,,,,,,,,,,,,,,
2021,10618,Lake Region Electric Cooperative - (MN),,MN,MISO,5,.,.,.,5,Y,,,,,,,,,,,,,,,,,,,
2021,10623,City of Lakeland - (FL),,FL,FMPP,"1,788",55,19,0,"1,862",Y,Y,Y,Y,,,,,,,,,,,,,,,,
2021,10669,Town of Landis - (NC),Y,NC,DUK,.,.,1,.,1,,,,,,,,,,,,,,,,,,,,
2021,10702,Borough of Lansdale,Y,PA,PJM,.,2,1,.,3,,,,,,,,,,,,,,,,,,,,
2021,10768,"Laurens Electric Coop, Inc",,SC,DUK,5,40,.,.,45,Y,Y,,,,,,,,,,,,,,,,,,
2021,10770,City of Laurinburg - (NC),Y,NC,CPLE,17,.,.,.,17,,,,,,,,,,,,,,,,,,,,
2021,10799,City of Lawrenceburg,,TN,TVA,0,0,8,0,8,,,Y,,,,,,,,,,,,,,,,,
2021,10814,City of Le Sueur - (MN),Y,MN,MISO,.,.,10,.,10,,,,,,,,,,,,,,,,,,,,
2021,10906,City of Lenoir - (TN),,TN,TVA,0,1,0,0,1,,Y,,,,,,,,,,,,,,,,,,
2021,10960,City of Lewisburg - (TN),,TN,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2021,10962,Lewis County Rural E C A,Y,MO,AECI,1,2,.,.,3,,,,,,,,,,,,,,,,,,,,
2021,10968,City of Lexington - (TN),,TN,TVA,0,1,1,0,2,,Y,Y,,,,,,,,,,,,,,,,,
2021,11018,Lincoln Electric System,,NE,SWPP,.,6,.,.,6,,Y,,,,,,,,,,,,,,,,,,
2021,11053,Linn County REC,,IA,MISO,22,163,7,.,192,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,11085,Town of Littleton - (MA),,MA,ISNE,.,.,42,.,42,,,Y,,,,,,,,,,,,,,,,,
2021,11124,City of Lodi - (CA),,CA,CISO,0,0,23,.,23,,,Y,,,,,,,,,,,,,,,,,
2021,11125,City of Lodi - (WI),,WI,MISO,10,6,0,0,16,Y,Y,,,,,,,,,,,,,,,,,,
2021,11171,Long Island Power Authority,,NY,NYIS,"25,229",291,.,.,"25,520",,,,,,,,,,,,,,,,,Y,Y,,
2021,11187,City of Longmont,,CO,PSCO,.,.,12,.,12,,,,,,,,,,,,,,,Y,,,,,
2021,11200,"Lorain-Medina R E C, Inc",,OH,PJM,"15,050","1,555",12,.,"16,617",Y,Y,Y,Y,,,,,,,,,,,,,,,,
2021,11208,Los Angeles Department of Water & Power,,CA,LDWP,"10,794","21,774","1,388",.,"33,956",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,11222,Loudon Utilities Board,,TN,TVA,0,2,6,0,8,,Y,Y,,,,,,,,,,,,,,,,,
2021,11241,Entergy Louisiana LLC,,LA,MISO,.,1,7,.,8,,Y,Y,,,,,,,,,,,,,,,,,
2021,11247,Louisville Electric System,,MS,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2021,11249,Louisville Gas & Electric Co,,KY,LGEE,146,"3,009",339,0,"3,494",Y,Y,Y,,,,,,,,,,,,Y,,,,Y,
2021,11251,Loup River Public Power Dist,,NE,SWPP,.,.,1,.,1,,,Y,,,,Y,,,,,,,,,,,,,
2021,11292,City of Lubbock - (TX),,TX,ERCO,.,11,.,.,11,,Y,,,,,,,,,,,,,,,,,,
2021,11292,City of Lubbock - (TX),,TX,SWPP,.,5,.,.,5,,Y,,,,,,,,,,,,,,,,,,
2021,11479,Madison Gas & Electric Co,,WI,MISO,638,"4,336",20,0,"4,994",Y,Y,Y,Y,,,,,,,,,,,,,,,,
2021,11515,Town of Maiden - (NC),Y,NC,DUK,.,2,11,.,13,,,,,,,,,,,,,,,,,,,,
2021,11571,Manitowoc Public Utilities,,WI,MISO,5,11,81,.,97,Y,Y,Y,,,,Y,,,,,,,,,,,,,
2021,11714,Marshall-De Kalb Electric Coop,,AL,TVA,0,1,0,0,1,,Y,,,,,,,,,,,,,,,,,,
2021,11740,City of Marshfield - (WI),,WI,MISO,0,0,53,0,53,,,Y,,,,,,,,,,,,,,,,,
2021,11770,City of Martinsville - (VA),Y,VA,PJM,.,3,.,.,3,,,,,,,,,,,,,,,,,,,,
2021,11788,Consumers Energy,,IA,MISO,188,21,3,.,212,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,11789,Maryville Utilities,,TN,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2021,11811,Town of Massena - (NY),,NY,NYIS,.,.,1,.,1,,,Y,,,,,,,,,,,,,,,,,
2021,11843,Maui Electric Co Ltd,,HI,NA,281,47,.,.,328,Y,Y,,,,,,,,,,,,,,,,,,
2021,11871,City of Mayfield Plant Board,,KY,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2021,11895,Village of Mazomanie - (WI),Y,WI,MISO,.,.,12,.,12,,,,,,,,,,,,,,,,,,,,
2021,11910,McLeod Cooperative Power Assn,Y,MN,MISO,.,.,2,.,2,,,,,,,,,,,,,,,,,,,,
2021,12199,Montana-Dakota Utilities Co,,MT,SWPP,0,0,8,0,8,,,Y,,,,,,,,,,,,,,,,,
2021,12199,Montana-Dakota Utilities Co,,ND,MISO,4,337,8,0,349,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,12199,Montana-Dakota Utilities Co,,SD,MISO,0,24,0,0,24,,Y,,,,,,,,,,,,,,,,,,
2021,12199,Montana-Dakota Utilities Co,,WY,WACM,.,10,.,.,10,,Y,,,,,,,,,,,,,,,,,,
2021,12208,City of McPherson - (KS),,KS,SWPP,.,14,2,.,16,,Y,Y,,,,,,,,,,,,,,,,,
2021,12260,Mecklenburg Electric Cooperative,,VA,PJM,.,43,1,.,44,,Y,Y,,,,,,,,,,,,,,,,,
2021,12265,City of Medford - (WI),Y,WI,MISO,1,26,6,.,33,,,,,,,,,,,,,,,,,,,,
2021,12293,City of Memphis - (TN),,TN,TVA,73,24,11,0,108,Y,Y,Y,Y,,,,,,,,,,,,,,,,
2021,12298,City of Menasha - (WI),,WI,MISO,29,120,8,0,157,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,12330,Meriwether Lewis Electric Coop,,TN,TVA,0,1,2,0,3,,Y,Y,,,,,,,,,,,,,,,,,
2021,12341,MidAmerican Energy Co,,IA,MISO,24,"1,121",152,.,"1,297",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,12341,MidAmerican Energy Co,,IL,MISO,9,183,50,.,242,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,12341,MidAmerican Energy Co,,SD,MISO,.,21,1,.,22,,Y,Y,,,,,,,,,,,,,,,,,
2021,12377,Midwest Energy Cooperative,,MI,PJM,39,17,.,.,56,Y,Y,,,,,,,,,,,,,,,,,,
2021,12377,Midwest Energy Cooperative,,OH,PJM,1,.,.,.,1,Y,,,,,,,,,,,,,,,,,,,
2021,12390,Metropolitan Edison Co,,PA,PJM,77,0,210,0,287,Y,,,,,,Y,,,,,,,,,,,,,
2021,12450,Midland Power Coop,,IA,MISO,.,9,8,.,17,,,,,,,,,,,,,,Y,Y,,,,,
2021,12470,Middle Tennessee E M C,,TN,TVA,0,4,17,0,21,,Y,Y,,,,,,,,,,,,,,,,,
2021,12472,Middle Georgia El Member Corp,Y,GA,SOCO,.,.,171,.,171,,,,,,,,,,,,,,,,,,,,
2021,12515,"Midwest Electric, Inc",,OH,PJM,0,29,2,0,31,,,,,,,,,,,,,,Y,Y,,,Y,Y,
2021,12532,City of Milan,,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2021,12539,Midwest Electric Member Corp,,NE,WACM,0,29,"2,074",0,"2,103",,Y,Y,,,,,,,,,,,,,,,,,
2021,12540,City of Milford - (DE),,DE,PJM,.,.,11,.,11,,,Y,,,,,,,,,,,,,,,,,
2021,12546,Mille Lacs Energy Cooperative,,MN,MISO,.,.,23,.,23,,,Y,,,,,,,,,,,,Y,,,,,
2021,12642,Maquoketa Valley Rrl Elec Coop,,IA,MISO,"10,706","5,923",.,.,"16,629",Y,Y,,,,,,,,,,,,,,,,,,
2021,12647,"ALLETE, Inc.",,MN,MISO,309,.,.,.,309,Y,,,,,,,,,,,,Y,,,,,,,
2021,12651,Minnesota Valley Electric Coop,,MN,MISO,217,.,.,.,217,Y,,,,,,,,,,,,Y,,,,,,,
2021,12685,Entergy Mississippi LLC,,MS,MISO,.,.,63,.,63,,,Y,,,,,,,,,,,,,,,,,
2021,12686,Mississippi Power Co,,MS,SOCO,0,0,5,0,5,,,Y,,,,,,,,,,,,,,,,,
2021,12698,Evergy Missouri West,,MO,SWPP,"3,157",3,.,.,"3,160",Y,Y,,,,Y,,,,,,,,,,,,,,
2021,12745,Modesto Irrigation District,,CA,BANC,0,10,136,0,146,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2021,12860,Morgan County Rural Elec Assn,,CO,WACM,18,.,.,.,18,Y,,,,,,,,,,,,,,,,,,,
2021,12866,Moon Lake Electric Assn Inc,,UT,WACM,.,1,1,.,2,,Y,Y,,,,,,,,,,,,,,,,,
2021,12929,South Central Indiana REMC,,IN,MISO,9,0,0,0,9,Y,,,,,,,,,,,,,,,,,,,
2021,12988,City of Morristown - (TN),,TN,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2021,13027,"Mountain Electric Coop, Inc",,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2021,13036,Village of Mt. Horeb - (WI),,WI,MISO,25,8,0,0,33,Y,Y,,,,,,,,,,,,,,,,,,
2021,13037,City of Mt Pleasant - (UT),Y,UT,PACE,.,.,6,.,6,,,,,,,,,,,,,,,,,,,,
2021,13050,"Mountain Parks Electric, Inc",,CO,WACM,431,5,6,0,442,Y,Y,Y,,,,,,,Y,Y,,,Y,Y,,,,,
2021,13058,"Mountain View Elec Assn, Inc",,CO,WACM,31,.,.,.,31,Y,,,,,,,,,,,,,,,,,,,
2021,13138,City of Murray - (KY),,KY,TVA,0,1,1,0,2,,Y,Y,,,,,,,,,,,,,,,,,
2021,13144,City of Muscle Shoals,,AL,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2021,13145,Village of Muscoda - (WI),,WI,MISO,2,9,3,0,14,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,13216,Nashville Electric Service,,TN,TVA,0,18,23,0,41,,Y,Y,,,,,,,,,,,,,,,,,
2021,13318,"Navopache Electric Coop, Inc",,AZ,TEPC,"6,602",140,.,.,"6,742",Y,Y,,,,,,,,,,,,,,,,,,
2021,13337,Nebraska Public Power District,,NE,SWPP,24,31,18,0,73,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,13374,"Constellation NewEnergy, Inc",,CA,CISO,0,"5,233",219,.,"5,452",,,,,,Y,Y,,,,,,,,,,,,,
2021,13374,"Constellation NewEnergy, Inc",,CT,ISNE,52,"2,640",75,.,"2,767",,,,,Y,Y,Y,,,,,,,,,,,,,
2021,13374,"Constellation NewEnergy, Inc",,DC,PJM,7,529,.,.,536,,,,,Y,Y,,,,,,,,,,,,,,
2021,13374,"Constellation NewEnergy, Inc",,DE,PJM,45,"1,560",8,.,"1,613",,,,,Y,Y,Y,,,,,,,,,,,,,
2021,13374,"Constellation NewEnergy, Inc",,IL,PJM,31,"12,777",336,.,"13,144",,Y,Y,,Y,Y,Y,,,,,,,,,,,,,
2021,13374,"Constellation NewEnergy, Inc",,MA,ISNE,353,"13,496",126,.,"13,975",,,,,Y,Y,Y,,,,,,,,,,,,,
2021,13374,"Constellation NewEnergy, Inc",,MD,PJM,780,"12,556",195,.,"13,531",,,,,Y,Y,Y,,,,,,,,,,,,,
2021,13374,"Constellation NewEnergy, Inc",,ME,ISNE,13,"1,732",14,.,"1,759",,,,,Y,Y,Y,,,,,,,,,,,,,
2021,13374,"Constellation NewEnergy, Inc",,MI,MISO,.,747,98,.,845,,,,,,Y,Y,,,,,,,,,,,,,
2021,13374,"Constellation NewEnergy, Inc",,NH,ISNE,17,"4,983",25,.,"5,025",,,,,Y,Y,Y,,,,,,,,,,,,,
2021,13374,"Constellation NewEnergy, Inc",,NJ,PJM,"3,243","15,107",66,.,"18,416",,,,,Y,Y,Y,,,,,,,,,,,,,
2021,13374,"Constellation NewEnergy, Inc",,NY,NYIS,951,"14,988",444,.,"16,383",,,,,Y,Y,Y,,,,,,,,,,,,,
2021,13374,"Constellation NewEnergy, Inc",,OH,PJM,50,"13,444",182,.,"13,676",,,,,Y,Y,Y,,,,,,,,,,,,,
2021,13374,"Constellation NewEnergy, Inc",,OR,PGE,.,53,6,.,59,,,,,,Y,Y,,,,,,,,,,,,,
2021,13374,"Constellation NewEnergy, Inc",,PA,PJM,304,"25,910",176,.,"26,390",,,,,Y,Y,Y,,,,,,,,,,,,,
2021,13374,"Constellation NewEnergy, Inc",,RI,ISNE,12,"2,895",14,.,"2,921",,,,,Y,Y,Y,,,,,,,,,,,,,
2021,13374,"Constellation NewEnergy, Inc",,TX,ERCO,19,"9,207",208,.,"9,434",,,,,Y,Y,Y,,,,,,,,,,,,,
2021,13374,"Constellation NewEnergy, Inc",,VA,PJM,.,1,.,.,1,,,,,,Y,,,,,,,,,,,,,,
2021,13407,Nevada Power Co,,NV,NEVP,"6,458","3,558","1,496",0,"11,512",Y,Y,Y,Y,,,,,,,,,,,,,,,,
2021,13412,City of New Albany - (MS),,MS,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2021,13424,New Castle Municipal Serv Comm,Y,DE,PJM,0,11,.,.,11,,,,,,,,,,,,,,,,,,,,
2021,13437,City of Newbern,,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2021,13438,Village of New Glarus - (WI),,WI,MISO,0,2,0,0,2,,Y,,,,,,,,,,,,,,,,,,
2021,13441,New Hampshire Elec Coop Inc,,NH,ISNE,57,.,.,.,57,Y,,,,,,,,,,,,,,,,,,,
2021,13448,City of New Holstein - (WI),,WI,MISO,21,17,0,0,38,Y,Y,,,,,,,,,,,,,,,,,,
2021,13467,New London Electric&Water Util,,WI,MISO,0,38,5,0,43,,Y,Y,,,,,,,,,,,,,,,,,
2021,13480,New Prague Utilities Comm,Y,MN,MISO,1,.,.,.,1,,,,,,,,,,,,,,,,,,,,
2021,13481,City of New Richmond,,WI,MISO,33,24,0,0,57,Y,Y,,,,,,,,,,,,,,,,,,
2021,13511,New York State Elec & Gas Corp,,NY,NYIS,"130,172","4,826",428,.,"135,426",Y,Y,Y,,,Y,Y,,,Y,Y,,,,,,,,,
2021,13550,City of Newport,,TN,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2021,13561,City of Newton - (NC),Y,NC,DUK,.,4,3,.,7,,,,,,,,,,,,,,,,,,,,
2021,13573,Niagara Mohawk Power Corp.,,NY,NYIS,.,296,121,.,417,,,,,,Y,Y,,,,,,,,,,,,,
2021,13640,Northern Virginia Elec Coop,,VA,PJM,0,21,0,0,21,,,,,,Y,,,,,,,,,,,,,,
2021,13647,Noble County R E M C,,IN,PJM,5,1,.,.,6,Y,Y,,,,,,,,,,,,,,,,,,
2021,13669,North Alabama Electric Coop,,AL,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2021,13676,"North Arkansas Elec Coop, Inc",,AR,MISO,.,27,.,.,27,,,,,,,,,,Y,,,,,,,,,,
