,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..Part|,|Utility Characteristics..Service Type|,"|Utility Characteristics..""Data Type O = Observed I = Imputed""|",|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|Utility Characteristics.BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
106,2017,59820.0,"Mansfield Power and Gas, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,0,0,0,230.1,4413,9,0,0,0,0,0,0,230.1,4413,9
107,2017,59847.0,Sustainable Star LLC,B,Energy,O,IL,Retail Power Marketer,PJM,0,0,0,0,0,0,3809.9,77513,57,0,0,0,3809.9,77513,57
108,2017,59848.0,"ResCom Energy, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,4.4,27,10,0,0,0,0,0,0,0,0,0,4.4,27,10
109,2017,59931.0,"MidAmerican Energy Services, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,10264.4,149423,13488,87578.7,1429758,5371,84064.8,1493782,155,0,0,0,181907.9,3072963,19014
110,2017,59931.0,"MidAmerican Energy Services, LLC",B,Energy,O,IL,Retail Power Marketer,MISO,410,7815,1623,17901.9,335417,2009,28432.9,564087,41,0,0,0,46744.8,907319,3673
111,2017,59958.0,"Mega Energy of Illinois, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,5437.8,61629,7670,2090,37783,131,0,0,0,0,0,0,7527.8,99412,7801
112,2017,60219.0,"LifeEnergy, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,576.6,7034,1135,942.3,11987,61,0,0,0,0,0,0,1518.9,19021,1196
113,2017,60585.0,Aspirity Energy LLC,B,Energy,O,IL,Retail Power Marketer,PJM,2781.7,33196,6834,0,0,0,0,0,0,0,0,0,2781.7,33196,6834
114,2017,60696.0,"Vista Energy Marketing, L.P.",B,Energy,O,IL,Retail Power Marketer,MISO,244,2863,825,7,103,1,0,0,0,0,0,0,251,2966,826
115,2017,61092.0,"Stream Energy Illinois, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,35.6,516,864,0,0,0,0,0,0,0,0,0,35.6,516,864
116,2017,61131.0,Freepoint Energy Solutions LLC,B,Energy,O,IL,Retail Power Marketer,PJM,0,0,0,47,838,6,0,0,0,0,0,0,47,838,6
117,2017,99999.0,Adjustment 2017,A,Bundled,I,IL,,PJM,0,0,0,0,0,0,10539,438670,1,0,0,0,10539,438670,1
118,2017,99999.0,Adjustment 2017,A,Bundled,I,IL,,MISO,108555.8,781475,79846,61086.6,516187,9660,18220.9,198715,181,0,0,0,187863.3,1496377,89687
119,2017,99999.0,Adjustment 2017,B,Energy,I,IL,,PJM,89703.1,1178592,182389,-101834.6,-2482471,118997,822671.8,15513433,910,-10024.8,-206769,-1,800515.5,14002785,302295
120,2017,99999.0,Adjustment 2017,B,Energy,I,IL,,MISO,-107251,-1578552,-326659,-804946.9,-14767442,-1035,267042.3,4817383,-2056,-1734.7,-27600,-1,-646890.2,-11556211,-329751
