,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,Western Area Power Administration - Upper Great,,,reclosing).-Transmission,,,
2022,3,03/22/2022 12:06 AM,03/22/2022 4:29 AM,,"4 Hours, 23 Minutes",Plains Region - (NCR01036),MRO,South Dakota:,,Interruption,0,0
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,Louisiana: Mississippi:,"than 50,000 customers for 1",,,
2022,3,03/30/2022 3:45 PM,.,.,". Hours, . Minutes",Entergy Corp,SERC,Arkansas:,hour or more-Severe Weather,Unknown,,66448
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,Georgia: Alabama: Mississippi:,"than 50,000 customers for 1",,,
2022,3,03/31/2022 12:04 AM,03/31/2022 9:20 AM,,"9 Hours, 16 Minutes",Southern Company,SERC,Florida:,hour or more-Severe Weather,157,,22000
,,,,,,,,"Michigan: Huron County,",,,,
,,,,,,,,"Tuscola County, St. Clair",,,,
,,,,,,,,"County, Washtenaw County,",,,,
,,,,,,,,"Macomb County, Wayne",,,,
,,,,,,,,"County, Monroe County,",Loss of electric service to more,,,
,,,,,,,,"Oakland County, Livingston","than 50,000 customers for 1",,,
2022,3,03/31/2022 8:59 AM,04/01/2022 7:30 PM,"34 Hours, 31 Minutes",,Detroit Edison Co,RF,County;,hour or more-Severe Weather,,60,70000
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
