,Data Year,Utility Number,Utility Name,Short Form,State,County
141,2020,11790,City of Mascoutah - (IL),Y,IL,St Clair
142,2020,12070,McDonough Power Coop,Y,IL,Fulton
143,2020,12070,McDonough Power Coop,Y,IL,Hancock
144,2020,12070,McDonough Power Coop,Y,IL,Henderson
145,2020,12070,McDonough Power Coop,Y,IL,Knox
146,2020,12070,McDonough Power Coop,Y,IL,McDonough
147,2020,12070,McDonough Power Coop,Y,IL,Schuyler
148,2020,12070,McDonough Power Coop,Y,IL,Warren
149,2020,12167,City of McLeansboro - (IL),Y,IL,Hamilton
150,2020,12341,MidAmerican Energy Co,,IL,Henry
151,2020,12341,MidAmerican Energy Co,,IL,Mercer
152,2020,12341,MidAmerican Energy Co,,IL,Rock Island
153,2020,12388,City of Metropolis - (IL),Y,IL,Massac
154,2020,12395,Menard Electric Coop,,IL,Cass
155,2020,12395,Menard Electric Coop,,IL,Logan
156,2020,12395,Menard Electric Coop,,IL,Macon
157,2020,12395,Menard Electric Coop,,IL,Mason
158,2020,12395,Menard Electric Coop,,IL,Menard
159,2020,12395,Menard Electric Coop,,IL,Morgan
160,2020,12395,Menard Electric Coop,,IL,Sangamon
161,2020,12395,Menard Electric Coop,,IL,Tazewell
162,2020,12803,"Monroe County Elec Coop, Inc",Y,IL,Monroe
163,2020,12803,"Monroe County Elec Coop, Inc",Y,IL,Randolph
164,2020,12803,"Monroe County Elec Coop, Inc",Y,IL,St Clair
165,2020,13032,Mt Carmel Public Utility Co,,IL,Wabash
166,2020,13208,City of Naperville - (IL),,IL,DuPage
167,2020,13208,City of Naperville - (IL),,IL,Will
168,2020,13292,Norris Electric Coop,,IL,Clark
169,2020,13292,Norris Electric Coop,,IL,Clay
170,2020,13292,Norris Electric Coop,,IL,Crawford
171,2020,13292,Norris Electric Coop,,IL,Cumberland
172,2020,13292,Norris Electric Coop,,IL,Effingham
173,2020,13292,Norris Electric Coop,,IL,Jasper
174,2020,13292,Norris Electric Coop,,IL,Lawrence
175,2020,13292,Norris Electric Coop,,IL,Richland
176,2020,13292,Norris Electric Coop,,IL,Shelby
177,2020,13292,Norris Electric Coop,,IL,Wabash
178,2020,13560,City of Newton - (IL),Y,IL,Jasper
179,2020,13993,City of Oglesby - (IL),Y,IL,LaSalle
180,2020,14840,City of Peru - (IL),,IL,LaSalle
181,2020,15388,City of Princeton - (IL),Y,IL,Bureau
182,2020,15686,Village of Rantoul - (IL),Y,IL,Champaign
183,2020,15772,City of Red Bud - (IL),Y,IL,Randolph
184,2020,16092,Village of Riverton - (IL),Y,IL,Sangamon
185,2020,16179,Rochelle Municipal Utilities,,IL,Lee
186,2020,16179,Rochelle Municipal Utilities,,IL,Ogle
187,2020,16196,Rock Energy Cooperative,,IL,Boone
188,2020,16196,Rock Energy Cooperative,,IL,McHenry
189,2020,16196,Rock Energy Cooperative,,IL,Stephenson
190,2020,16196,Rock Energy Cooperative,,IL,Winnebago
191,2020,16198,City of Rock Falls - (IL),Y,IL,Whiteside
192,2020,16269,City of Roodhouse - (IL),Y,IL,Greene
193,2020,16420,Rural Electric Conven Coop,Y,IL,Christian
194,2020,16420,Rural Electric Conven Coop,Y,IL,Macoupin
195,2020,16420,Rural Electric Conven Coop,Y,IL,Montgomery
196,2020,16420,Rural Electric Conven Coop,Y,IL,Morgan
197,2020,16420,Rural Electric Conven Coop,Y,IL,Sangamon
198,2020,16740,Scenic Rivers Energy Coop,,IL,Jo Daviess
199,2020,16740,Scenic Rivers Energy Coop,,IL,Stephenson
200,2020,17040,"Shelby Electric Coop, Inc",,IL,Christian
201,2020,17040,"Shelby Electric Coop, Inc",,IL,Cumberland
202,2020,17040,"Shelby Electric Coop, Inc",,IL,Effingham
203,2020,17040,"Shelby Electric Coop, Inc",,IL,Fayette
204,2020,17040,"Shelby Electric Coop, Inc",,IL,Macon
205,2020,17040,"Shelby Electric Coop, Inc",,IL,Montgomery
206,2020,17040,"Shelby Electric Coop, Inc",,IL,Moultrie
207,2020,17040,"Shelby Electric Coop, Inc",,IL,Sangamon
208,2020,17040,"Shelby Electric Coop, Inc",,IL,Shelby
209,2020,17585,"Southeastern IL Elec Coop, Inc",,IL,Franklin
210,2020,17585,"Southeastern IL Elec Coop, Inc",,IL,Gallatin
211,2020,17585,"Southeastern IL Elec Coop, Inc",,IL,Hamilton
212,2020,17585,"Southeastern IL Elec Coop, Inc",,IL,Hardin
213,2020,17585,"Southeastern IL Elec Coop, Inc",,IL,Johnson
214,2020,17585,"Southeastern IL Elec Coop, Inc",,IL,Massac
215,2020,17585,"Southeastern IL Elec Coop, Inc",,IL,Pope
216,2020,17585,"Southeastern IL Elec Coop, Inc",,IL,Saline
217,2020,17585,"Southeastern IL Elec Coop, Inc",,IL,White
218,2020,17585,"Southeastern IL Elec Coop, Inc",,IL,Williamson
219,2020,17631,Southern Illinois Elec Coop,Y,IL,Alexander
220,2020,17631,Southern Illinois Elec Coop,Y,IL,Jackson
221,2020,17631,Southern Illinois Elec Coop,Y,IL,Johnson
222,2020,17631,Southern Illinois Elec Coop,Y,IL,Massac
223,2020,17631,Southern Illinois Elec Coop,Y,IL,Pope
224,2020,17631,Southern Illinois Elec Coop,Y,IL,Pulaski
225,2020,17631,Southern Illinois Elec Coop,Y,IL,Union
226,2020,17631,Southern Illinois Elec Coop,Y,IL,Williamson
227,2020,17697,Southwestern Electric Coop Inc - (IL),,IL,Bond
228,2020,17697,Southwestern Electric Coop Inc - (IL),,IL,Clay
229,2020,17697,Southwestern Electric Coop Inc - (IL),,IL,Clinton
230,2020,17697,Southwestern Electric Coop Inc - (IL),,IL,Effingham
231,2020,17697,Southwestern Electric Coop Inc - (IL),,IL,Fayette
232,2020,17697,Southwestern Electric Coop Inc - (IL),,IL,Macoupin
233,2020,17697,Southwestern Electric Coop Inc - (IL),,IL,Madison
234,2020,17697,Southwestern Electric Coop Inc - (IL),,IL,Marion
235,2020,17697,Southwestern Electric Coop Inc - (IL),,IL,Montgomery
236,2020,17697,Southwestern Electric Coop Inc - (IL),,IL,Shelby
237,2020,17697,Southwestern Electric Coop Inc - (IL),,IL,St Clair
238,2020,17828,City of Springfield - (IL),,IL,Sangamon
239,2020,17838,"Spoon River Electric Coop, Inc",Y,IL,Fulton
240,2020,17838,"Spoon River Electric Coop, Inc",Y,IL,Knox
241,2020,17838,"Spoon River Electric Coop, Inc",Y,IL,McDonough
242,2020,17838,"Spoon River Electric Coop, Inc",Y,IL,Peoria
243,2020,17838,"Spoon River Electric Coop, Inc",Y,IL,Schuyler
244,2020,17860,City of St Charles - (IL),,IL,DuPage
245,2020,17860,City of St Charles - (IL),,IL,Kane
246,2020,18277,City of Sullivan - (IL),Y,IL,Moultrie
247,2020,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Clay
248,2020,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Clinton
249,2020,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Franklin
250,2020,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Hamilton
251,2020,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Jefferson
252,2020,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Marion
253,2020,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Perry
254,2020,18955,"Tri-County Electric Coop, Inc (IL)",,IL,St Clair
255,2020,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Washington
256,2020,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Wayne
257,2020,20111,Warren County Rural E M C,Y,IL,Iroquois
258,2020,20111,Warren County Rural E M C,Y,IL,Vermilion
259,2020,20180,City of Waterloo - (IL),Y,IL,Monroe
260,2020,20222,Wayne-White Counties Elec Coop,,IL,Clay
261,2020,20222,Wayne-White Counties Elec Coop,,IL,Edwards
262,2020,20222,Wayne-White Counties Elec Coop,,IL,Franklin
263,2020,20222,Wayne-White Counties Elec Coop,,IL,Gallatin
264,2020,20222,Wayne-White Counties Elec Coop,,IL,Hamilton
265,2020,20222,Wayne-White Counties Elec Coop,,IL,Jefferson
266,2020,20222,Wayne-White Counties Elec Coop,,IL,Marion
267,2020,20222,Wayne-White Counties Elec Coop,,IL,Richland
268,2020,20222,Wayne-White Counties Elec Coop,,IL,Wabash
269,2020,20222,Wayne-White Counties Elec Coop,,IL,Wayne
270,2020,20222,Wayne-White Counties Elec Coop,,IL,White
271,2020,20824,Village of Winnetka - (IL),Y,IL,Cook
272,2020,29296,Western Illinois Elec Coop,Y,IL,Adams
273,2020,29296,Western Illinois Elec Coop,Y,IL,Hancock
274,2020,29296,Western Illinois Elec Coop,Y,IL,Henderson
275,2020,29296,Western Illinois Elec Coop,Y,IL,McDonough
276,2020,40367,Village of Ladd - (IL),Y,IL,Bureau
277,2020,56697,Ameren Illinois Company,,IL,Adams
278,2020,56697,Ameren Illinois Company,,IL,Alexander
279,2020,56697,Ameren Illinois Company,,IL,Bond
280,2020,56697,Ameren Illinois Company,,IL,Brown
281,2020,56697,Ameren Illinois Company,,IL,Bureau
282,2020,56697,Ameren Illinois Company,,IL,Calhoun
283,2020,56697,Ameren Illinois Company,,IL,Cass
284,2020,56697,Ameren Illinois Company,,IL,Champaign
285,2020,56697,Ameren Illinois Company,,IL,Christian
286,2020,56697,Ameren Illinois Company,,IL,Clark
287,2020,56697,Ameren Illinois Company,,IL,Clay
288,2020,56697,Ameren Illinois Company,,IL,Clinton
289,2020,56697,Ameren Illinois Company,,IL,Coles
290,2020,56697,Ameren Illinois Company,,IL,Crawford
291,2020,56697,Ameren Illinois Company,,IL,Cumberland
292,2020,56697,Ameren Illinois Company,,IL,DeWitt
293,2020,56697,Ameren Illinois Company,,IL,Douglas
294,2020,56697,Ameren Illinois Company,,IL,Edgar
295,2020,56697,Ameren Illinois Company,,IL,Edwards
296,2020,56697,Ameren Illinois Company,,IL,Effingham
297,2020,56697,Ameren Illinois Company,,IL,Fayette
298,2020,56697,Ameren Illinois Company,,IL,Ford
299,2020,56697,Ameren Illinois Company,,IL,Franklin
300,2020,56697,Ameren Illinois Company,,IL,Fulton
301,2020,56697,Ameren Illinois Company,,IL,Gallatin
302,2020,56697,Ameren Illinois Company,,IL,Greene
303,2020,56697,Ameren Illinois Company,,IL,Hancock
304,2020,56697,Ameren Illinois Company,,IL,Henderson
305,2020,56697,Ameren Illinois Company,,IL,Henry
306,2020,56697,Ameren Illinois Company,,IL,Iroquois
307,2020,56697,Ameren Illinois Company,,IL,Jackson
308,2020,56697,Ameren Illinois Company,,IL,Jasper
309,2020,56697,Ameren Illinois Company,,IL,Jefferson
310,2020,56697,Ameren Illinois Company,,IL,Jersey
311,2020,56697,Ameren Illinois Company,,IL,Johnson
312,2020,56697,Ameren Illinois Company,,IL,Kendall
313,2020,56697,Ameren Illinois Company,,IL,Knox
314,2020,56697,Ameren Illinois Company,,IL,LaSalle
315,2020,56697,Ameren Illinois Company,,IL,Lawrence
316,2020,56697,Ameren Illinois Company,,IL,Livingston
317,2020,56697,Ameren Illinois Company,,IL,Logan
318,2020,56697,Ameren Illinois Company,,IL,Macon
319,2020,56697,Ameren Illinois Company,,IL,Macoupin
320,2020,56697,Ameren Illinois Company,,IL,Madison
321,2020,56697,Ameren Illinois Company,,IL,Marion
322,2020,56697,Ameren Illinois Company,,IL,Marshall
323,2020,56697,Ameren Illinois Company,,IL,Mason
324,2020,56697,Ameren Illinois Company,,IL,Massac
325,2020,56697,Ameren Illinois Company,,IL,McDonough
326,2020,56697,Ameren Illinois Company,,IL,McLean
327,2020,56697,Ameren Illinois Company,,IL,Menard
328,2020,56697,Ameren Illinois Company,,IL,Mercer
329,2020,56697,Ameren Illinois Company,,IL,Monroe
330,2020,56697,Ameren Illinois Company,,IL,Montgomery
331,2020,56697,Ameren Illinois Company,,IL,Morgan
332,2020,56697,Ameren Illinois Company,,IL,Moultrie
333,2020,56697,Ameren Illinois Company,,IL,Peoria
334,2020,56697,Ameren Illinois Company,,IL,Perry
335,2020,56697,Ameren Illinois Company,,IL,Piatt
336,2020,56697,Ameren Illinois Company,,IL,Pike
337,2020,56697,Ameren Illinois Company,,IL,Pulaski
338,2020,56697,Ameren Illinois Company,,IL,Putnam
339,2020,56697,Ameren Illinois Company,,IL,Randolph
340,2020,56697,Ameren Illinois Company,,IL,Richland
341,2020,56697,Ameren Illinois Company,,IL,Saline
342,2020,56697,Ameren Illinois Company,,IL,Sangamon
343,2020,56697,Ameren Illinois Company,,IL,Schuyler
344,2020,56697,Ameren Illinois Company,,IL,Scott
345,2020,56697,Ameren Illinois Company,,IL,Shelby
346,2020,56697,Ameren Illinois Company,,IL,St Clair
347,2020,56697,Ameren Illinois Company,,IL,Stark
348,2020,56697,Ameren Illinois Company,,IL,Tazewell
349,2020,56697,Ameren Illinois Company,,IL,Union
350,2020,56697,Ameren Illinois Company,,IL,Vermilion
351,2020,56697,Ameren Illinois Company,,IL,Wabash
352,2020,56697,Ameren Illinois Company,,IL,Warren
353,2020,56697,Ameren Illinois Company,,IL,Washington
354,2020,56697,Ameren Illinois Company,,IL,Wayne
355,2020,56697,Ameren Illinois Company,,IL,White
356,2020,56697,Ameren Illinois Company,,IL,Williamson
357,2020,56697,Ameren Illinois Company,,IL,Woodford
