Utility Characteristics,,,,,IEEE Standard,,,,,,,,,,,,Other Standard,,,,,,,,,,
,,,,,All Events (With Major Event Days),,,Without Major Event Days,,,Loss of Supply Removed (With Major Event Days),,,.,,,All Events (With Major Event Days),,,Without Major Event Days,,,.,,,,
Data Year,Utility Number,Utility Name,State,Ownership,SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically,SAIDI (minutes per year),SAIFI (times per year),CAIDI With MED,SAIDI (minutes per year),SAIFI (times per year),CAIDI Without MED,Number of Customers,Inactive Accounts Included,Momentary Interruptions,Highest Dist. Voltage,Outages Recorded Automatically
2021,40051,Texas-New Mexico Power Co,TX,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,203.700,1.390,146.547,102.300,1.090,93.853,"256,355",N,F,25.0,N
2021,40165,"Dixie Escalante R E A, Inc",AZ,Cooperative,28.570,0.480,59.521,28.570,0.480,59.521,28.570,0.480,59.521,"2,862",12.5,Y,.,.,.,.,.,.,.,,,.,
2021,40165,"Dixie Escalante R E A, Inc",UT,Cooperative,4.870,0.050,97.400,4.870,0.050,97.400,4.870,0.050,97.400,"25,679",34.5,Y,.,.,.,.,.,.,.,,,.,
2021,40166,"Chickasaw Electric Coop, Inc",TN,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,3.997,2.866,1.395,3.997,2.866,1.395,"21,375",Y,L,25.0,N
2021,40228,Rappahannock Electric Coop,VA,Cooperative,457.710,2.140,213.883,159.230,1.540,103.396,457.490,2.080,219.947,"170,020",34.5,Y,.,.,.,.,.,.,.,,,.,
2021,40236,"Forked Deer Electric Coop, Inc",TN,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,194.400,3.280,59.268,38.400,1.650,23.273,"10,036",N,F,13.2,Y
2021,40302,North East Mississippi EPA,MS,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,1.947,0.649,3.000,1.596,0.600,2.660,"27,902",N,L,25.0,Y
2021,40304,Minnesota Valley Coop L&P Assn,MN,Cooperative,128.200,.,.,41.400,.,.,86.800,.,.,"5,367",.,Y,.,.,.,.,.,.,.,,,.,
2021,40438,Columbia River Peoples Ut Dist,OR,Political Subdivision,241.987,1.546,156.525,85.331,0.847,100.745,241.987,1.546,156.525,"20,201",12.5,N,.,.,.,.,.,.,.,,,.,
2021,40606,City of Grand Island - (NE),NE,Municipal,21.462,0.583,36.813,8.458,0.252,33.563,21.462,0.583,36.813,"26,420",13.8,N,.,.,.,.,.,.,.,,,.,
2021,44372,Oncor Electric Delivery Company LLC,TX,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,558.810,2.030,275.276,68.750,0.820,83.841,"3,717,866",N,F,25.0,Y
2021,54913,NSTAR Electric Company,MA,Investor Owned,640.818,1.098,583.623,75.837,0.732,103.602,639.834,1.064,601.348,"1,450,541",34.5,Y,.,.,.,.,.,.,.,,,.,
2021,55787,City of Moreno Valley - (CA),CA,Municipal,.,.,.,.,.,.,.,.,.,.,.,,12.680,0.130,97.538,12.680,0.130,97.538,"7,403",Y,F,12.0,N
2021,55937,Entergy Texas Inc.,TX,Investor Owned,999.900,3.309,302.176,280.100,2.024,138.389,653.500,2.490,262.450,"488,747",34.5,Y,.,.,.,.,.,.,.,,,.,
2021,55982,Heart of Texas Electric Coop,TX,Cooperative,845.636,2.216,381.605,426.554,1.932,220.784,831.356,1.686,493.094,"22,885",24.9,Y,.,.,.,.,.,.,.,,,.,
2021,56146,"Black Hills Colorado Electric, LLC",CO,Investor Owned,332.133,1.952,170.150,65.182,1.087,59.965,262.439,1.455,180.370,"99,535",35.0,Y,.,.,.,.,.,.,.,,,.,
2021,56697,Ameren Illinois Company,IL,Investor Owned,193.900,1.110,174.685,117.800,0.880,133.864,190.900,1.060,180.094,"1,251,487",69.0,Y,.,.,.,.,.,.,.,,,.,
2021,57483,Liberty Utilities,CA,Investor Owned,"1,007.090",4.597,219.075,701.720,3.862,181.699,761.040,2.973,255.984,"50,151",24.9,N,.,.,.,.,.,.,.,,,.,
2021,59013,PUD No 1 of Jefferson County,WA,Political Subdivision,951.600,3.241,293.613,391.600,1.991,196.685,.,.,.,"20,682",.,Y,.,.,.,.,.,.,.,,,.,
2021,60482,CKenergy Electric Cooperative,OK,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,423.060,4.097,103.261,305.260,3.930,77.674,"25,598",N,L,24.9,Y
2021,60631,Upper Michigan Energy Resources Corp.,MI,Investor Owned,779.000,2.150,362.326,239.000,1.500,159.333,779.000,2.150,362.326,"37,292",25.0,N,.,.,.,.,.,.,.,,,.,
2021,60839,Southern Pioneer Electric Company,KS,Cooperative,222.170,.,.,222.170,.,.,100.620,.,.,"17,002",13.8,Y,.,.,.,.,.,.,.,,,.,
"CAIDI = SAIDI / SAIFI.
MED- Major Event Days.
MINUS LOS- Minus Loss of Supply.
Momentary Interruptions: ""L"" = less than 1 minute, ""F"" = five minutes or less and ""O"" = other.",,,,,,,,,,,,,,,,,,,,,,,,,,,
