,Unnamed: 0,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
10,2019,1,01/29/2019 6:34 PM,01/29/2019 6:36 PM,,"0 Hours, 2 Minutes",Entergy Transmission Control Center - North,SERC,Louisiana: Washington Parish;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,,
11,2019,1,01/30/2019 4:23 AM,02/02/2019 9:00 AM,"76 Hours, 37 Minutes",,"Prairie Power, Inc.",SERC,Illinois: Scott County;,Fuel supply emergencies that could impact electric power system adequacy or reliability.- Fuel Supply Deficiency,,,
12,2019,1,01/30/2019 7:00 AM,01/30/2019 8:08 AM,,"1 Hours, 8 Minutes","Prairie Power, Inc.",SERC,Illinois: Pike County;,Fuel supply emergencies that could impact electric power system adequacy or reliability.- Severe Weather,,,
13,2019,1,01/30/2019 9:30 AM,01/31/2019 6:00 PM,"32 Hours, 30 Minutes",,Detroit Edison Co,RF,Michigan:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.- Severe Weather,,,
14,2019,2,02/05/2019 6:17 PM,02/05/2019 8:26 PM,,"2 Hours, 9 Minutes",Pacific Gas & Electric Co,WECC,California,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.-Severe nan,Weather,42,33200
15,2019,2,02/07/2019 7:39 AM,02/07/2019 7:40 AM,,"0 Hours, 1 Minutes",Entergy Transmission Control Center - North,SERC,Arkansas,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Severe Weather/Transmission nan",Interruption,3,3370
16,2019,2,02/07/2019 8:55 AM,02/09/2019 4:30 PM,"55 Hours, 35 Minutes",,Consumers Energy Co,RF,Michigan,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,233000,
17,2019,2,02/08/2019 6:30 PM,.,.,". Hours, . Minutes",Puget Sound Energy,WECC,Washington,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,50940,
18,2019,2,02/13/2019 2:48 AM,02/15/2019 12:28 AM,"45 Hours, 40 Minutes",,Pacific Gas & Electric Co,WECC,California,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",182,121000,
19,2019,2,02/23/2019 2:05 PM,.,.,". Hours, . Minutes",American Electric Power - (RFC Reliability Region),SERC,Virginia,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Severe Weather/Transmission nan",Interruption,,
20,2019,2,02/24/2019 11:21 AM,02/26/2019 5:29 PM,"54 Hours, 8 Minutes",American Electric Power - (RFC Reliability Region),RF,"Ohio, Virginia, West Virginia","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,,118781,
21,2019,2,02/24/2019 12:31 PM,02/24/2019 2:57 PM,"2 Hours, 26 Minutes",Ohio Edison Co,RF,Ohio,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,,157274,
22,2019,2,02/24/2019 2:33 PM,02/24/2019 6:03 PM,"3 Hours, 30 Minutes",Monongahela Power Co,RF,Pennsylvania,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,,94048,
23,2019,2,02/24/2019 6:00 PM,02/25/2019 10:00 PM,"28 Hours, 0 Minutes",Duquesne Light Co,RF,Pennsylvania,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,,132000,
24,2019,2,02/24/2019 6:47 PM,02/25/2019 1:55 PM,"19 Hours, 8 Minutes",West Penn Power Company,RF,Pennsylvania,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,,137216,
25,2019,2,02/24/2019 8:02 PM,02/25/2019 2:30 PM,"18 Hours, 28 Minutes",Consumers Energy Co,RF,Michigan,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,,115000,
26,2019,2,02/25/2019 7:45 AM,02/25/2019 6:40 PM,"10 Hours, 55 Minutes",ISO New England,NPCC,Massachusetts,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,0,0,
27,2019,2,02/25/2019 1:35 PM,02/26/2019 2:50 AM,"13 Hours, 15 Minutes",ISO New England,NPCC,"Vermont, Rhode Island","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,,72332,
28,2019,2,02/27/2019 11:25 AM,02/27/2019 5:39 PM,"6 Hours, 14 Minutes",MidAmerican Energy Co,MRO,Iowa,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,0,0,
29,2019,3,03/13/2019 5:50 AM,03/13/2019 10:30 AM,"4 Hours, 40 Minutes",Oncor Electric Delivery Company LLC,TRE,"County, Brown County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,,154124,
30,2019,3,03/13/2019 11:29 AM,03/14/2019 9:11 PM,"33 Hours, 42 Minutes",Public Service Company of Colorado,WECC,Colorado: Jefferson County;,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,58,58379,
31,2019,3,03/13/2019 3:00 PM,03/14/2019 12:00 AM,"9 Hours, 0 Minutes","Southwest Power Pool, Inc.",TRE,Texas: Kansas: Oklahoma:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather/Transmission nan",Interruption,,66000,
32,2019,3,03/13/2019 3:51 PM,03/16/2019 6:00 PM,"74 Hours, 9 Minutes",Southwestern Public Service,TRE,Texas:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather/Transmission nan",Interruption,50,54290,
33,2019,4,04/03/2019 5:15 AM,04/03/2019 12:39 PM,"7 Hours, 24 Minutes",California Department of Water Resources,WECC,California: Fresno County;,Fuel supply emergencies that could impact electric power system adequacy or reliability.- Fuel Supply Deficiency,,0,0,
34,2019,4,04/04/2019 10:13 AM,04/04/2019 12:08 PM,"1 Hours, 55 Minutes",Bonneville Power Administration,WECC,Montana:,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,0,0,
35,2019,4,04/07/2019 1:46 PM,04/08/2019 5:50 PM,"28 Hours, 4 Minutes",CenterPoint Energy,TRE,Texas:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",537,,231956,
36,2019,4,04/11/2019 7:48 PM,04/11/2019 8:00 PM,"0 Hours, 12 Minutes",Bonneville Power Administration,WECC,Oregon: Washington:,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,0,0,
37,2019,4,04/12/2019 11:20 AM,04/12/2019 12:46 PM,"1 Hours, 26 Minutes",Xcel Energy,MRO,Minnesota: Martin County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,0,0,
38,2019,4,04/13/2019 6:15 PM,04/13/2019 11:15 PM,"5 Hours, 0 Minutes",Entergy Corp,SERC,Louisiana:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,,60467,
39,2019,4,04/15/2019 4:35 AM,04/15/2019 2:40 PM,"10 Hours, 5 Minutes",Dominion Virginia Power,SERC,Virginia:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,,75290,
40,2019,4,04/18/2019 7:55 PM,04/19/2019 5:29 PM,"21 Hours, 34 Minutes",Southern Company,SERC,Florida:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",116,,34695,
41,2019,4,04/18/2019 8:08 PM,04/19/2019 11:00 AM,"14 Hours, 52 Minutes",Public Service Company of Colorado,WECC,Colorado: Clear Creek County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,0,0,
42,2019,4,04/25/2019 6:03 PM,04/25/2019 6:32 PM,"0 Hours, 29 Minutes",Salt River Project,WECC,Arizona: Maricopa County;,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.-Generation nan,Inadequacy,150,51366,
43,2019,4,04/26/2019 1:00 AM,04/26/2019 1:27 PM,"12 Hours, 27 Minutes",FirstEnergy Corp,RF,Pennsylvania:,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,7,5830,
44,2019,4,04/26/2019 3:16 PM,04/26/2019 3:17 PM,"0 Hours, 1 Minutes",ISO New England,NPCC,County[13];,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Severe Weather/Transmission nan",Interruption,0,0,
45,2019,4,04/26/2019 5:46 PM,04/27/2019 11:49 AM,"18 Hours, 3 Minutes",Duke Energy Carolinas,SERC,Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,,54071,
46,2019,4,04/28/2019 10:43 AM,04/29/2019 2:06 AM,"15 Hours, 23 Minutes",FirstEnergy Corp,RF,Ohio:,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,0,0,
47,2019,5,05/08/2019 9:22 AM,05/08/2019 9:56 AM,"0 Hours, 34 Minutes",PJM Interconnection,RF,Pennsylvania: Mercer County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,29,1,
48,2019,5,05/08/2019 3:50 PM,05/13/2019 12:00 AM,"104 Hours, 10 Minutes","Southwest Power Pool, Inc.",SPP RE,Louisiana: Texas:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather/Distribution nan",Interruption,,65844,
49,2019,5,05/09/2019 5:55 PM,05/11/2019 8:50 PM,"50 Hours, 55 Minutes",CenterPoint Energy,TRE,Texas: Harris County;,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,691,238015,
