Year,Month,Event date and time,Restoration date and time,Duration,Unnamed: 7,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,4,04/15/2018 7:30 AM,04/18/2018 7:30 AM,,"72 Hours, 0 Minutes",DTE Energy,RF,Michigan:,hour or more-Severe Weather,,Unknown,389591
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,4,04/15/2018 5:14 PM,04/15/2018 11:25 PM,,"6 Hours, 11 Minutes",Duke Energy Carolinas,SERC,North Carolina: South Carolina:,hour or more-Severe Weather,,Unknown,78100
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,5,05/04/2018 12:00 PM,05/06/2018 1:00 PM,,"49 Hours, 0 Minutes",DTE Energy,RF,Michigan:,hour or more-Severe Weather,,Unknown,300000
,,,,,,,,"Michigan: Calhoun County,",,,,
,,,,,,,,"Genesee County, Ingham",,,,
,,,,,,,,"County, Kent County, Macomb",,,,
,,,,,,,,"County, Midland County,",Loss of electric service to more,,,
,,,,,,,,"Saginaw County, Gratiot","than 50,000 customers for 1",,,
2018,5,05/04/2018 2:00 PM,05/05/2018 9:30 AM,"19 Hours, 30 Minutes",,Consumers Energy Co,RF,County;,hour or more-Severe Weather,,Unknown,90000
,,,,,,,,,,,3/26/2019 10:57:08 AM,
"Table B.2 Major Disturbances and Unusual Occurrences, 2018",,,,,,,,,,,,
,,,,,,,,,,,Number of,
Restoration Date and,,,,,,,NERC,,,,Customers,
Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),,Affected
,,,,,,,,,Loss of electric service to more,,,
,,,,,,Niagara Mohawk Power Corporation (dba National,,,"than 50,000 customers for 1",,,
2018,5,05/04/2018 8:10 PM,.,.,". Hours, . Minutes",Grid),NPCC,New York:,hour or more-Severe Weather,Unknown,,106150
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,5,05/04/2018 11:10 PM,05/05/2018 12:40 AM,,"1 Hours, 30 Minutes",ISO New England,NPCC,New Hampshire: Vermont:,hour or more-Severe Weather,Unknown,,56000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,Vermont: New Hampshire:,"than 50,000 customers for 1",,,
2018,5,05/05/2018 4:30 AM,05/05/2018 3:30 PM,,"11 Hours, 0 Minutes",ISO New England,NPCC,Maine:,hour or more-Severe Weather,Unknown,,31900
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,5,05/14/2018 7:08 PM,.,.,". Hours, . Minutes",Dominion Energy VA,SERC,Virginia:,hour or more-Severe Weather,Unknown,,112000
,,,,,,,,"Pennsylvania: Lehigh County,",,,,
,,,,,,,,"Schuylkill County, Cumberland",,,,
,,,,,,,,"County, Lancaster County,",,,,
,,,,,,,,"Northampton County, Berks",,,,
,,,,,,,,"County, Clinton County,",,,,
,,,,,,,,"Susquehanna County, Bucks",,,,
,,,,,,,,"County, Carbon County,",Loss of electric service to more,,,
,,,,,,,,"Chester County, Columbia","than 50,000 customers for 1",,,
2018,5,05/15/2018 2:50 PM,.,.,". Hours, . Minutes",PPL Electric Utilities Corp,RF,"County, Juniata County;",hour or more-Severe Weather,Unknown,,114000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"New York: Dutchess County,","than 50,000 customers for 1",,,
2018,5,05/15/2018 4:00 PM,.,.,". Hours, . Minutes",Central Hudson Gas & Electric,NPCC,"Ulster County, Orange County;",hour or more-Severe Weather,Unknown,,72000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,5,05/15/2018 5:15 PM,.,.,". Hours, . Minutes",New York State Electric & Gas,NPCC,New York:,hour or more-Severe Weather,Unknown,,49999
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,5,05/15/2018 5:25 PM,.,.,". Hours, . Minutes",Jersey Central Power & Lt Co,RF,New Jersey:,hour or more-Severe Weather,Unknown,,82372
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,5,05/15/2018 6:14 PM,05/15/2018 7:00 PM,,"0 Hours, 46 Minutes",Metropolitan Edison Co,RF,Pennsylvania:,hour or more-Severe Weather,Unknown,,52872
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,Connecticut: Massachusetts:,"than 50,000 customers for 1",,,
2018,5,05/15/2018 6:35 PM,05/18/2018 3:57 PM,"69 Hours, 22 Minutes",,ISO New England,NPCC,Rhode Island:,hour or more-Severe Weather,Unknown,,120000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,California: Contra Costa,"than 50,000 customers for 1",,,
2018,5,05/17/2018 1:11 AM,.,.,". Hours, . Minutes",Peak Reliability,WECC,County;,hour or more-Severe Weather,,70,70000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,hour or more-Transmission,,,
2018,5,05/17/2018 1:11 AM,05/18/2018 12:38 AM,"23 Hours, 27 Minutes",,Pacific Gas & Electric Co,WECC,California:,,Disruption,124,70000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,5,05/26/2018 6:40 PM,05/27/2018 11:50 PM,"29 Hours, 10 Minutes",,CenterPoint Energy,TRE,Texas: Harris County;,hour or more-Severe Weather,Unknown,,163932
