,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
45,2018,4,04/15/2018 5:14 PM,04/15/2018 11:25 PM,"nan6 Hours, 11 Minutes",Duke Energy Carolinas,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,78100
46,2018,5,05/04/2018 12:00 PM,05/06/2018 1:00 PM,"nan49 Hours, 0 Minutes",DTE Energy,RF,Michigan:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,300000
47,2018,5,05/04/2018 2:00 PM,05/05/2018 9:30 AM,"19 Hours, 30 Minutes",Consumers Energy Co,RF,"Michigan: Calhoun County, Genesee County, Ingham County, Kent County, Macomb County, Midland County, Saginaw County, Gratiot County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,90000
48,2018,5,05/04/2018 8:10 PM,.,".. Hours, . Minutes",Grid),NPCC,New York:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,106150
49,2018,5,05/04/2018 11:10 PM,05/05/2018 12:40 AM,"nan1 Hours, 30 Minutes",ISO New England,NPCC,New Hampshire: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,56000
50,2018,5,05/05/2018 4:30 AM,05/05/2018 3:30 PM,"nan11 Hours, 0 Minutes",ISO New England,NPCC,Vermont: New Hampshire: Maine:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,31900
51,2018,5,05/14/2018 7:08 PM,.,".. Hours, . Minutes",Dominion Energy VA,SERC,Virginia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,112000
52,2018,5,05/15/2018 2:50 PM,.,".. Hours, . Minutes",PPL Electric Utilities Corp,RF,"Pennsylvania: Lehigh County, Schuylkill County, Cumberland County, Lancaster County, Northampton County, Berks County, Clinton County, Susquehanna County, Bucks County, Carbon County, Chester County, Columbia County, Juniata County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,114000
53,2018,5,05/15/2018 4:00 PM,.,".. Hours, . Minutes",Central Hudson Gas & Electric,NPCC,"New York: Dutchess County, Ulster County, Orange County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,72000
54,2018,5,05/15/2018 5:15 PM,.,".. Hours, . Minutes",New York State Electric & Gas,NPCC,New York:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,49999
55,2018,5,05/15/2018 5:25 PM,.,".. Hours, . Minutes",Jersey Central Power & Lt Co,RF,New Jersey:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,82372
