,date,county,max_num_people_out,duration,customer_mins,wind_speed_mph
250,07/10/2021,St. Clair,2027.0,1095.0,955605.0,57.00
251,07/29/2021,St. Clair,2773.0,1335.0,93945.0,61.00
252,08/12/2021,St. Clair,4929.0,495.0,299580.0,58.00
253,08/23/2021,St. Clair,5202.0,975.0,727695.0,56.00
254,10/24/2021,St. Clair,41.0,570.0,6990.0,54.00
255,07/14/2021,Stephenson,1839.0,435.0,97050.0,61.00
256,08/10/2021,Stephenson,320.0,45.0,11760.0,52.00
257,12/15/2021,Stephenson,35.0,30.0,1050.0,61.00
258,06/18/2021,Tazewell,53.0,420.0,11460.0,52.00
259,06/19/2021,Tazewell,8615.0,1290.0,4278570.0,61.00
260,08/08/2021,Tazewell,460.0,1275.0,23250.0,52.00
261,08/24/2021,Tazewell,4.0,975.0,1395.0,52.00
262,10/24/2021,Tazewell,844.0,420.0,94110.0,52.00
263,12/10/2021,Tazewell,39.0,555.0,6615.0,61.00
264,02/14/2021,Union,117.0,285.0,24345.0, 
265,02/16/2021,Union,2.0,120.0,240.0, 
266,04/27/2021,Union,4694.0,165.0,313740.0,38.00
267,05/09/2021,Union,8.0,390.0,2745.0,35.00
268,10/11/2021,Union,4.0,15.0,60.0,39.00
269,05/06/2021,Vermilion,5360.0,285.0,482145.0,52.00
270,06/12/2021,Vermilion,91.0,255.0,4440.0,52.00
271,06/19/2021,Vermilion,256.0,795.0,79035.0,52.00
272,06/26/2021,Vermilion,646.0,1005.0,26985.0,52.00
273,12/10/2021,Vermilion,4.0,60.0,165.0, 
274,08/11/2021,Warren,393.0,1155.0,65235.0,56.00
275,08/25/2021,Warren,9.0,345.0,2205.0, 
276,10/24/2021,Washington,18.0,180.0,1860.0,52.00
277,02/14/2021,Wayne,16.0,120.0,1395.0, 
278,05/06/2021,Wayne,2.0,855.0,1710.0, 
279,07/10/2021,Wayne,70.0,180.0,5265.0,52.00
280,02/14/2021,White,1.0,3375.0,3375.0, 
281,07/08/2021,White,66.0,390.0,3315.0,52.00
282,08/11/2021,Whiteside,710.0,1155.0,274245.0,56.00
283,08/23/2021,Whiteside,301.0,285.0,35655.0,56.00
284,06/20/2021,Will,216.0,1335.0,49875.0,50.00
285,06/26/2021,Will,1295.0,1170.0,159660.0, 
286,07/29/2021,Will,1376.0,990.0,135660.0,50.00
287,08/10/2021,Will,2246.0,915.0,50775.0,50.00
288,08/11/2021,Will,5877.0,1275.0,1514340.0,56.00
