"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","REM","EQD"
"99725599999","2022-10-30T12:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0085,1","+0054,1","10175,1","8,1,012,1,+999,9","5,99,0010,1,999","SYN074CMTI2 46/// /0000 10085 20054 40175 58012 91200 333 91202 555 11000 22000=",
"99725599999","2022-10-30T13:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","170,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0096,1","+0059,1","10177,1",,"5,99,0021,1,999","SYN068CMTI2 46/// /1703 10096 20059 40177 91254 333 91204 555 11003 22003=",
"99725599999","2022-10-30T14:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","140,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0103,1","+0062,1","10175,1","6,1,005,1,+999,9","5,99,0015,1,999","SYN074CMTI2 46/// /1402 10103 20062 40175 56005 91400 333 91203 555 11002 22003=",
"99725599999","2022-10-30T15:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","110,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0120,1","+0068,1","10170,1","8,1,005,1,+999,9","5,99,0021,1,999","SYN074CMTI2 46/// /1102 10120 20068 40170 58005 91500 333 91204 555 11002 22002=",
"99725599999","2022-10-30T16:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","050,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0121,1","+0076,1","10167,1","8,1,009,1,+999,9","5,99,0021,1,999","SYN074CMTI2 46/// /0503 10121 20076 40167 58009 91600 333 91204 555 11003 22003=",
"99725599999","2022-10-30T17:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","030,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0128,1","+0082,1","10162,1","7,1,013,1,+999,9","5,99,0015,1,999","SYN074CMTI2 46/// /0302 10128 20082 40162 57013 91700 333 91203 555 11002 22003=",
"99725599999","2022-10-30T18:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","010,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0134,1","+0083,1","10148,1","8,1,022,1,+999,9","5,99,0031,1,999","SYN074CMTI2 46/// /0105 10134 20083 40148 58022 91800 333 91206 555 11005 22005=",
"99725599999","2022-10-30T19:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","010,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0129,1","+0092,1","10137,1","8,1,030,1,+999,9","5,99,0041,1,999","SYN074CMTI2 46/// /0106 10129 20092 40137 58030 91900 333 91208 555 11006 22006=",
"99725599999","2022-10-30T20:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","010,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0128,1","+0101,1","10130,1","6,1,032,1,+999,9","5,99,0041,1,999","SYN074CMTI2 46/// /0106 10128 20101 40130 56032 92000 333 91208 555 11006 22007=",
"99725599999","2022-10-30T21:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","010,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0130,1","+0109,1","10127,1","6,1,021,1,+999,9","5,99,0036,1,999","SYN074CMTI2 46/// /0106 10130 20109 40127 56021 92100 333 91207 555 11006 22006=",
"99725599999","2022-10-30T22:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","040,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0128,1","+0108,1","10128,1","6,1,009,1,+999,9","5,99,0021,1,999","SYN074CMTI2 46/// /0403 10128 20108 40128 56009 92200 333 91204 555 11003 22003=",
"99725599999","2022-10-30T23:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","040,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0123,1","+0116,1","10123,1","8,1,007,1,+999,9","5,99,0021,1,999","SYN074CMTI2 46/// /0403 10123 20116 40123 58007 92300 333 91204 555 11003 22003=",
"99725599999","2022-10-31T00:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","330,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0119,1","+0118,1","10124,1",,"5,99,0015,1,999","SYN068CMTI2 46/// /3302 10119 20118 40124 92342 333 91203 555 11002 22002=",
"99725599999","2022-10-31T01:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","350,1,N,0015,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10120,1",,"5,99,0021,1,999","SYN062CMTI2 46/// /3503 1//// 40120 90042 333 91204 555 11003 22004=",
"99725599999","2022-10-31T02:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","020,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0127,1","+0125,1","10116,1",,"5,99,0021,1,999","SYN068CMTI2 46/// /0202 10127 20125 40116 90230 333 91204 555 11002 22002=",
"99725599999","2022-10-31T03:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","330,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0126,1","+0124,1","10114,1","7,1,009,1,+999,9","5,99,0021,1,999","SYN074CMTI2 46/// /3303 10126 20124 40114 57009 90300 333 91204 555 11003 22003=",
"99725599999","2022-10-31T04:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","010,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0126,1","+0126,1","10109,1",,"5,99,0015,1,999","SYN068CMTI2 46/// /0102 10126 20126 40109 90354 333 91203 555 11002 22002=",
"99725599999","2022-10-31T05:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","030,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0125,1","+0125,1","10106,1",,"5,99,0026,1,999","SYN068CMTI2 46/// /0304 10125 20125 40106 90442 333 91205 555 11004 22004=",
"99725599999","2022-10-31T06:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","040,1,N,0021,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10105,1",,"5,99,0031,1,999","SYN062CMTI2 46/// /0404 1//// 40105 90542 333 91206 555 11004 22004=",
"99725599999","2022-10-31T07:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","060,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0125,1","+0125,1","10101,1","6,1,008,1,+999,9","5,99,0031,1,999","SYN074CMTI2 46/// /0604 10125 20125 40101 56008 90700 333 91206 555 11004 22005=",
"99725599999","2022-10-31T08:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","080,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0124,1","+0124,1","10097,1","8,1,008,1,+999,9","5,99,0026,1,999","SYN074CMTI2 46/// /0804 10124 20124 40097 58008 90800 333 91205 555 11004 22004=",
"99725599999","2022-10-31T09:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","070,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0125,1","+0125,1","10093,1","8,1,011,1,+999,9","5,99,0015,1,999","SYN074CMTI2 46/// /0702 10125 20125 40093 58011 90900 333 91203 555 11002 22002=",
"99725599999","2022-10-31T10:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0126,1","+0126,1","10094,1","6,1,007,1,+999,9","5,99,0005,1,999","SYN074CMTI2 46/// /0000 10126 20126 40094 56007 91000 333 91201 555 11001 22001=",
"99725599999","2022-10-31T11:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","040,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0127,1","+0127,1","10090,1","7,1,007,1,+999,9","5,99,0010,1,999","SYN074CMTI2 46/// /0401 10127 20127 40090 57007 91100 333 91202 555 11001 22002=",
"99725599999","2022-10-31T12:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0128,1","+0128,1","10091,1","4,1,000,1,+999,9","5,99,0005,1,999","SYN074CMTI2 46/// /0000 10128 20128 40091 54000 91200 333 91201 555 11001 22001=",
"99725599999","2022-10-31T13:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","330,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0126,1","+0126,1","10095,1","5,1,000,1,+999,9","5,99,0026,1,999","SYN074CMTI2 46/// /3304 10126 20126 40095 55000 91300 333 91205 555 11004 22004=",
"99725599999","2022-10-31T14:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","330,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0126,1","+0126,1","10098,1","3,1,008,1,+999,9","5,99,0026,1,999","SYN074CMTI2 46/// /3304 10126 20126 40098 53008 91400 333 91205 555 11004 22004=",
"99725599999","2022-10-31T15:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","010,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0128,1","+0128,1","10096,1","1,1,005,1,+999,9","5,99,0026,1,999","SYN074CMTI2 46/// /0103 10128 20128 40096 51005 91500 333 91205 555 11003 22004=",
"99725599999","2022-10-31T16:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","320,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0129,1","+0129,1","10096,1","9,9,000,1,+999,9","5,99,0031,1,999","SYN074CMTI2 46/// /3204 10129 20129 40096 50000 91600 333 91206 555 11004 22004=",
"99725599999","2022-10-31T17:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","320,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0125,1","+0125,1","10096,1",,"5,99,0051,1,999","SYN068CMTI2 46/// /3205 10125 20125 40096 91642 333 91210 555 11005 22006=",
"99725599999","2022-10-31T18:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","350,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0123,1","+0123,1","10093,1","8,1,003,1,+999,9","5,99,0046,1,999","SYN074CMTI2 46/// /3507 10123 20123 40093 58003 91800 333 91209 555 11007 22008=",
"99725599999","2022-10-31T19:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","330,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0121,1","+0121,1","10092,1","7,1,004,1,+999,9","5,99,0062,1,999","SYN074CMTI2 46/// /3309 10121 20121 40092 57004 91900 333 91212 555 11009 22010=",
"99725599999","2022-10-31T20:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","330,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0121,1","+0121,1","10089,1","7,1,007,1,+999,9","5,99,0057,1,999","SYN074CMTI2 46/// /3306 10121 20121 40089 57007 92000 333 91211 555 11006 22007=",
"99725599999","2022-10-31T21:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","340,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0125,1","+0125,1","10095,1","5,1,000,1,+999,9","5,99,0046,1,999","SYN074CMTI2 46/// /3406 10125 20125 40095 55000 92100 333 91209 555 11006 22006=",
"99725599999","2022-10-31T22:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","340,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0125,1","+0125,1","10100,1","3,1,008,1,+999,9","5,99,0026,1,999","SYN074CMTI2 46/// /3403 10125 20125 40100 53008 92200 333 91205 555 11003 22004=",
