,fips_code,county,state,customers_out,run_start_time,run_end_time
170,17007,Boone,Illinois,3.0,2014-11-01 17:00:00,2014-11-01 17:15:00
171,17007,Boone,Illinois,1.0,2014-11-21 11:15:00,2014-11-28 16:15:00
172,17007,Boone,Illinois,96.0,2014-11-20 18:30:00,2014-11-20 18:45:00
173,17007,Boone,Illinois,1.0,2014-11-28 16:15:00,2014-11-28 16:30:00
174,17007,Boone,Illinois,6.0,2014-11-24 16:30:00,2014-11-24 16:45:00
175,17007,Boone,Illinois,1.0,2014-11-19 13:15:00,2014-11-19 13:60:00
176,17007,Boone,Illinois,15.0,2014-11-24 23:30:00,2014-11-24 23:45:00
177,17007,Boone,Illinois,1.0,2014-11-21 11:00:00,2014-11-28 14:30:00
178,17007,Boone,Illinois,96.0,2014-11-20 20:00:00,2014-11-20 20:15:00
179,17007,Boone,Illinois,1.0,2014-11-28 14:30:00,2014-11-28 14:45:00
180,17007,Boone,Illinois,96.0,2014-11-20 20:15:00,2014-11-20 20:30:00
181,17007,Boone,Illinois,1.0,2014-11-28 14:45:00,2014-11-28 14:60:00
182,17007,Boone,Illinois,96.0,2014-11-20 19:30:00,2014-11-20 19:45:00
183,17007,Boone,Illinois,1.0,2014-11-01 23:00:00,2014-11-28 15:15:00
184,17007,Boone,Illinois,15.0,2014-11-24 23:45:00,2014-11-24 23:60:00
185,17007,Boone,Illinois,96.0,2014-11-20 19:15:00,2014-11-20 19:30:00
186,17007,Boone,Illinois,1.0,2014-11-19 23:00:00,2014-11-19 23:15:00
187,17007,Boone,Illinois,96.0,2014-11-20 18:45:00,2014-11-20 18:60:00
188,17007,Boone,Illinois,1.0,2014-11-28 15:30:00,2014-11-19 14:30:00
189,17007,Boone,Illinois,3.0,2014-11-01 17:15:00,2014-11-01 17:30:00
190,17007,Boone,Illinois,1.0,2014-11-19 16:30:00,2014-11-19 16:45:00
191,17007,Boone,Illinois,96.0,2014-11-20 18:00:00,2014-11-20 18:15:00
192,17007,Boone,Illinois,1.0,2014-11-19 16:45:00,2014-11-19 16:60:00
193,17007,Boone,Illinois,3.0,2014-11-01 17:30:00,2014-11-01 17:45:00
194,17007,Boone,Illinois,1.0,2014-11-19 17:00:00,2014-11-19 17:15:00
195,17007,Boone,Illinois,54.0,2014-11-24 17:45:00,2014-11-24 17:60:00
196,17007,Boone,Illinois,1.0,2014-11-01 23:15:00,2014-11-01 23:30:00
197,17007,Boone,Illinois,55.0,2014-11-24 18:00:00,2014-11-24 18:15:00
198,17007,Boone,Illinois,1.0,2014-11-19 23:30:00,2014-11-19 23:45:00
199,17007,Boone,Illinois,55.0,2014-11-24 18:15:00,2014-11-24 18:30:00
200,17007,Boone,Illinois,96.0,2014-11-20 17:45:00,2014-11-20 17:60:00
201,17007,Boone,Illinois,50.0,2014-11-24 18:30:00,2014-11-24 18:45:00
202,17007,Boone,Illinois,3.0,2014-11-01 16:30:00,2014-11-01 16:45:00
203,17007,Boone,Illinois,96.0,2014-11-20 19:45:00,2014-11-20 19:60:00
204,17007,Boone,Illinois,1.0,2014-11-19 17:15:00,2014-11-19 17:30:00
205,17007,Boone,Illinois,96.0,2014-11-20 17:30:00,2014-11-20 17:45:00
206,17007,Boone,Illinois,50.0,2014-11-24 18:45:00,2014-11-24 18:60:00
207,17007,Boone,Illinois,15.0,2014-11-24 23:00:00,2014-11-24 23:15:00
208,17007,Boone,Illinois,54.0,2014-11-24 17:30:00,2014-11-24 17:45:00
209,17007,Boone,Illinois,1.0,2014-11-19 16:15:00,2014-11-19 16:30:00
210,17007,Boone,Illinois,15.0,2014-11-24 23:15:00,2014-11-24 23:30:00
211,17007,Boone,Illinois,1.0,2014-11-19 14:30:00,2014-11-19 14:60:00
212,17007,Boone,Illinois,2.0,2014-11-28 17:45:00,2014-11-28 17:60:00
213,17007,Boone,Illinois,1.0,2014-11-28 18:00:00,2014-11-19 15:60:00
214,17007,Boone,Illinois,54.0,2014-11-24 17:00:00,2014-11-24 17:15:00
215,17007,Boone,Illinois,96.0,2014-11-20 18:15:00,2014-11-20 18:30:00
216,17007,Boone,Illinois,54.0,2014-11-24 17:15:00,2014-11-24 17:30:00
217,17007,Boone,Illinois,1.0,2014-11-22 09:15:00,2014-11-12 21:45:00
218,17007,Boone,Illinois,49.0,2014-12-04 09:30:00,2014-12-04 10:15:00
219,17007,Boone,Illinois,113.0,2014-11-01 08:15:00,2014-11-01 08:30:00
220,17007,Boone,Illinois,49.0,2014-12-04 07:30:00,2014-12-04 10:60:00
221,17007,Boone,Illinois,35.0,2014-11-06 07:45:00,2014-11-06 07:60:00
222,17007,Boone,Illinois,1.0,2014-11-02 20:00:00,2014-11-09 04:60:00
223,17007,Boone,Illinois,49.0,2014-12-04 11:15:00,2014-12-04 11:30:00
