,fips_code,county,state,customers_out,run_start_time
265,17001,Adams,Illinois,380.0,2014-11-21 20:15:00
266,17001,Adams,Illinois,1.0,2014-11-04 19:00:00
267,17001,Adams,Illinois,1.0,2014-11-04 18:45:00
268,17001,Adams,Illinois,2.0,2014-11-04 18:30:00
269,17001,Adams,Illinois,3.0,2014-11-04 18:00:00
270,17001,Adams,Illinois,1.0,2014-11-04 17:30:00
271,17001,Adams,Illinois,1.0,2014-11-04 17:15:00
272,17001,Adams,Illinois,380.0,2014-11-21 19:45:00
273,17001,Adams,Illinois,1.0,2014-11-04 17:00:00
274,17001,Adams,Illinois,550.0,2014-11-03 13:30:00
275,17001,Adams,Illinois,1.0,2014-11-05 20:45:00
276,17001,Adams,Illinois,1.0,2014-11-01 06:30:00
277,17001,Adams,Illinois,1.0,2014-11-06 21:45:00
278,17001,Adams,Illinois,1.0,2014-11-06 21:30:00
279,17001,Adams,Illinois,1.0,2014-11-06 18:30:00
280,17001,Adams,Illinois,5.0,2014-11-20 15:30:00
281,17001,Adams,Illinois,11.0,2014-11-20 16:15:00
282,17001,Adams,Illinois,7.0,2014-11-20 17:15:00
283,17001,Adams,Illinois,1.0,2014-11-06 16:30:00
284,17001,Adams,Illinois,7.0,2014-11-20 17:30:00
285,17001,Adams,Illinois,1.0,2014-11-05 20:30:00
286,17001,Adams,Illinois,7.0,2014-11-20 17:45:00
287,17001,Adams,Illinois,7.0,2014-11-20 18:15:00
288,17001,Adams,Illinois,7.0,2014-11-20 18:30:00
289,17001,Adams,Illinois,7.0,2014-11-20 18:45:00
290,17001,Adams,Illinois,8.0,2014-11-20 19:00:00
291,17001,Adams,Illinois,8.0,2014-11-20 19:15:00
292,17001,Adams,Illinois,23.0,2014-11-20 19:30:00
293,17001,Adams,Illinois,22.0,2014-11-20 19:45:00
294,17001,Adams,Illinois,1.0,2014-11-07 22:45:00
295,17001,Adams,Illinois,1.0,2014-11-05 21:00:00
296,17001,Adams,Illinois,7.0,2014-11-20 18:00:00
297,17001,Adams,Illinois,5.0,2014-11-20 15:15:00
298,17001,Adams,Illinois,1.0,2014-11-04 09:15:00
299,17001,Adams,Illinois,1.0,2014-11-04 08:45:00
300,17001,Adams,Illinois,1.0,2014-11-23 17:30:00
301,17001,Adams,Illinois,1.0,2014-11-03 19:30:00
302,17001,Adams,Illinois,1.0,2014-11-23 14:45:00
303,17001,Adams,Illinois,1.0,2014-11-03 18:45:00
304,17001,Adams,Illinois,1.0,2014-11-03 18:30:00
305,17001,Adams,Illinois,1.0,2014-11-23 14:30:00
306,17001,Adams,Illinois,1.0,2014-11-23 14:15:00
307,17001,Adams,Illinois,1.0,2014-11-03 16:15:00
308,17001,Adams,Illinois,1.0,2014-11-23 14:00:00
309,17001,Adams,Illinois,1.0,2014-11-23 17:45:00
310,17001,Adams,Illinois,1.0,2014-11-23 13:45:00
311,17001,Adams,Illinois,14.0,2014-11-03 15:45:00
312,17001,Adams,Illinois,15.0,2014-11-03 15:30:00
313,17001,Adams,Illinois,14.0,2014-11-03 15:15:00
314,17001,Adams,Illinois,14.0,2014-11-03 15:00:00
315,17001,Adams,Illinois,15.0,2014-11-03 14:45:00
316,17001,Adams,Illinois,15.0,2014-11-03 14:30:00
317,17001,Adams,Illinois,15.0,2014-11-03 14:15:00
318,17001,Adams,Illinois,15.0,2014-11-03 14:00:00
319,17001,Adams,Illinois,550.0,2014-11-03 13:45:00
320,17001,Adams,Illinois,1.0,2014-11-03 16:00:00
321,17001,Adams,Illinois,1.0,2014-11-04 09:00:00
322,17001,Adams,Illinois,1.0,2014-11-03 19:45:00
323,17001,Adams,Illinois,1.0,2014-11-23 18:00:00
324,17001,Adams,Illinois,1.0,2014-11-04 08:30:00
325,17001,Adams,Illinois,1.0,2014-11-04 08:15:00
326,17001,Adams,Illinois,1.0,2014-11-04 08:00:00
327,17001,Adams,Illinois,1.0,2014-11-04 06:15:00
328,17001,Adams,Illinois,1.0,2014-11-04 06:00:00
329,17001,Adams,Illinois,1.0,2014-11-04 05:45:00
330,17001,Adams,Illinois,1.0,2014-11-04 05:30:00
