Utility Characteristics,,,,,Number of,,,,,Types of Program,,,,,,,,,,,,,,,,,,,
,,,,,Customers Enrolled,,,,,Time of Use Pricing,,,,Real Time Pricing,,,,Variable Peak Pricing,,,,Critical Peak Pricing,,,,Critical Peak Rebate,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation
2018,5086,Delta Montrose Electric Assn,CO,WACM,"1,911",19,.,.,"1,930",Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5109,DTE Electric Company,MI,MISO,"5,375",1,.,.,"5,376",Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N
2018,5111,City of Detroit Lakes - (MN),MN,MISO,.,1,.,.,1,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5148,City of Dickson,TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5325,City of Douglas,GA,SOCO,.,2,.,.,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5327,Douglas Electric Coop - (OR),OR,BPAT,.,2,.,.,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5399,Duck River Elec Member Corp,TN,TVA,4,0,4,0,8,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5416,"Duke Energy Carolinas, LLC",NC,DUK,"1,966","16,460","1,108",.,"19,534",Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5416,"Duke Energy Carolinas, LLC",SC,DUK,305,"5,101",513,.,"5,919",Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5487,Duquesne Light Co,PA,PJM,.,55,20,.,75,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5509,City of Dyersburg,TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5551,City of Eagle River - (WI),WI,MISO,0,8,0,0,8,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5578,East Mississippi Elec Pwr Assn,MS,TVA,0,90,0,0,90,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5605,Eastern Iowa Light & Power Coop,IA,MISO,"21,900","1,928",16,.,"23,844",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5632,Eau Claire Electric Coop,WI,MISO,6,11,8,0,25,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2018,5701,El Paso Electric Co,NM,EPE,22,105,8,0,135,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5701,El Paso Electric Co,TX,EPE,19,717,40,0,776,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
