Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2022,1179,Versant Power,C,Delivery,O,ME,Investor Owned,NBSO,4.0,43,10,"3,362.0","40,270",340,"4,038.3","172,598",6,0.0,0,0,"7,404.3","212,911",356
2022,1179,Versant Power,C,Delivery,O,ME,Investor Owned,ISNE,"5,738.1","49,455","7,042","20,835.4","221,586","3,314","8,678.1","195,516",28,0.0,0,0,"35,251.6","466,557","10,384"
2022,1196,Village of Baraga - (MI),A,Bundled,O,MI,Municipal,MISO,402.5,"2,811",551,"1,986.3","14,947",220,0.0,0,0,0.0,0,0,"2,388.8","17,758",771
2022,1251,Barron Electric Coop,A,Bundled,O,WI,Cooperative,MISO,"28,148.0","206,748","18,917","2,594.0","27,139",214,"7,380.1","104,392",166,.,.,.,"38,122.1","338,279","19,297"
2022,1273,"Bartlett Electric Coop, Inc",A,Bundled,O,TX,Cooperative,ERCO,"27,884.1","183,823","9,854","9,102.0","58,073","3,717",.,.,.,.,.,.,"36,986.1","241,896","13,571"
2022,1283,Bartholomew County Rural E M C,A,Bundled,O,IN,Cooperative,MISO,"22,519.7","159,466","11,262","5,926.8","46,900",710,"19,044.1","212,798",12,.,.,.,"47,490.6","419,164","11,984"
2022,1300,City of Bartow - (FL),A,Bundled,O,FL,Municipal,FPC,"20,810.1","151,095","10,918","9,796.9","73,593","1,510","8,551.3","66,509",285,.,.,.,"39,158.3","291,197","12,713"
2022,1307,Basin Electric Power Coop,A,Bundled,O,ND,Cooperative,SWPP,.,.,.,.,.,.,"65,486.0","1,118,894",1,.,.,.,"65,486.0","1,118,894",1
2022,1325,City of Batavia - (IL),A,Bundled,O,IL,Municipal,PJM,"12,467.0","88,588","9,893","16,606.0","141,492","1,291","16,978.0","173,136",10,.,.,.,"46,051.0","403,216","11,194"
2022,1366,City of Bay City - (MI),A,Bundled,O,MI,Municipal,MISO,"20,821.3","130,071","17,936","19,312.0","129,258","2,222","6,744.7","53,404",137,0.0,0,0,"46,878.0","312,733","20,295"
2022,1456,Town of Bedford - (VA),A,Bundled,O,VA,Municipal,PJM,"10,797.0","84,268","5,911","4,747.0","38,025",963,"4,800.0","48,603",2,0.0,0,0,"20,344.0","170,896","6,876"
2022,1458,"Beauregard Electric Coop, Inc",A,Bundled,O,LA,Cooperative,MISO,"78,874.0","634,745","39,678","19,836.0","168,036","4,298","46,115.0","715,595",4,.,.,.,"144,825.0","1,518,376","43,980"
2022,1529,"Beltrami Electric Coop, Inc",A,Bundled,O,MN,Cooperative,MISO,"40,901.0","301,298","20,383","10,068.0","97,511","1,608",18.0,53,18,.,.,.,"50,987.0","398,862","22,009"
2022,1578,Benton County,A,Bundled,O,TN,Municipal,TVA,"15,832.0","116,769","8,590","7,932.0","54,917","1,844","2,956.0","30,335",3,0.0,0,0,"26,720.0","202,021","10,437"
2022,1579,PUD No 1 of Benton County,A,Bundled,O,WA,Political Subdivision,BPAT,"68,016.0","781,760","49,045","39,885.0","567,995","6,580","26,550.0","456,629",985,.,.,.,"134,451.0","1,806,384","56,610"
2022,1581,City of Benton - (AR),A,Bundled,O,AR,Municipal,MISO,"15,384.0","155,357","12,802","6,393.0","73,259","1,951","3,818.0","50,568",24,.,.,.,"25,595.0","279,184","14,777"
2022,1582,City of Benton - (KY),A,Bundled,O,KY,Municipal,TVA,"3,257.0","23,894","1,854","4,107.0","31,809",681,"1,125.0","12,339",1,0.0,0,0,"8,489.0","68,042","2,536"
2022,1586,City of Bentonville - (AR),A,Bundled,O,AR,Municipal,SWPP,"32,073.0","281,021","23,548","37,235.0","416,140","3,570",.,.,.,.,.,.,"69,308.0","697,161","27,118"
2022,1591,"Big Country Electric Coop, Inc",A,Bundled,O,TX,Cooperative,ERCO,"15,149.0","95,450","9,301","28,841.0","231,005","3,467","3,817.0","36,886",716,0.0,0,0,"47,807.0","363,341","13,484"
2022,1611,"Messer Energy Services, Inc.",B,Energy,O,DE,Retail Power Marketer,PJM,0.0,0,0,0.0,0,0,"7,415.0","182,503",1,0.0,0,0,"7,415.0","182,503",1
2022,1611,"Messer Energy Services, Inc.",B,Energy,O,IL,Retail Power Marketer,MISO,0.0,0,0,0.0,0,0,"11,120.0","171,267",3,0.0,0,0,"11,120.0","171,267",3
2022,1611,"Messer Energy Services, Inc.",B,Energy,O,ME,Retail Power Marketer,ISNE,0.0,0,0,0.0,0,0,"6,087.0","96,220",1,0.0,0,0,"6,087.0","96,220",1
2022,1611,"Messer Energy Services, Inc.",B,Energy,O,NY,Retail Power Marketer,NYIS,0.0,0,0,0.0,0,0,11.0,208,1,0.0,0,0,11.0,208,1
2022,1611,"Messer Energy Services, Inc.",B,Energy,O,OH,Retail Power Marketer,PJM,0.0,0,0,0.0,0,0,"9,699.0","188,258",4,0.0,0,0,"9,699.0","188,258",4
2022,1611,"Messer Energy Services, Inc.",B,Energy,O,PA,Retail Power Marketer,PJM,0.0,0,0,0.0,0,0,"35,790.0","597,905",3,0.0,0,0,"35,790.0","597,905",3
2022,1613,Berkeley Electric Coop Inc,A,Bundled,O,SC,Cooperative,SC,"200,359.0","1,494,448","104,645","187,006.0","2,795,766","14,454","4,153.0","37,030",10,0.0,0,0,"391,518.0","4,327,244","119,109"
2022,1625,Benton Rural Electric Assn,A,Bundled,O,WA,Cooperative,BPAT,"20,708.1","238,963","12,744","11,014.9","167,967","1,548","12,901.6","203,793","1,393",.,.,.,"44,624.6","610,723","15,685"
2022,1640,City of Bessemer Utilities,A,Bundled,O,AL,Municipal,TVA,"14,148.0","115,164","9,557","19,661.0","158,718","1,789",767.0,"9,747",1,0.0,0,0,"34,576.0","283,629","11,347"
2022,1708,Big Sandy Rural Elec Coop Corp,A,Bundled,O,KY,Cooperative,PJM,"22,501.0","164,357","11,712","4,338.0","34,396","1,043","1,632.0","17,029",9,.,.,.,"28,471.0","215,782","12,764"
2022,1723,"Big Bend Electric Coop, Inc",A,Bundled,O,WA,Cooperative,BPAT,"10,033.5","121,553","5,279","9,030.9","114,774","2,010","20,753.9","311,538","2,497",0.0,0,0,"39,818.3","547,865","9,786"
2022,1738,Bonneville Power Administration,A,Bundled,O,OR,Federal,BPAT,.,.,.,251.2,"6,013",1,.,.,.,.,.,.,251.2,"6,013",1
2022,1738,Bonneville Power Administration,A,Bundled,O,WA,Federal,BPAT,.,.,.,"31,505.7","713,011",7,"13,334.1","497,312",3,.,.,.,"44,839.8","1,210,323",10
2022,1763,"Black River Electric Coop, Inc - (SC)",A,Bundled,O,SC,Cooperative,SC,"56,343.6","469,454","29,778","15,553.0","125,632","4,186","8,423.7","107,272",13,.,.,.,"80,320.3","702,358","33,977"
2022,1764,Black Diamond Power Co,A,Bundled,O,WV,Investor Owned,PJM,"4,554.7","34,512","3,469","1,854.5","14,394",459,0.0,0,0,0.0,0,0,"6,409.2","48,906","3,928"
