Utility Characteristics,,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2019,20187,Watertown Municipal Utilities,,SD,SWPP,177,"1,037",815,0,"2,029",0.1,0.2,0.2,0.0,0.4,"2,759","12,949","10,174",0,"25,881",0.1,0.2,0.2,0.0,0.4,41,46,36,0,122,16,18,14,0,49,41,46,36,0,122,16,18,14,0,49,15.600,12.500,12.500,0.000,
2019,20214,Waverly Municipal Elec Utility,,IA,MISO,74,561,0,0,635,0.0,0.2,0.0,0.0,0.2,"1,103","8,418",0,0,"9,521",0.0,0.2,0.0,0.0,0.2,15,18,0,0,33,65,65,0,0,130,15,18,0,0,33,65,65,0,0,130,15.000,15.000,0.000,0.000,
2019,20259,City of Webster City - (IA),,IA,MISO,112,292,555,0,958,0.0,0.1,0.1,0.0,0.2,"1,798","5,132","10,845",0,"17,774",0.0,0.1,0.1,0.0,0.2,21,11,20,0,52,1,4,7,0,13,21,11,20,0,52,1,4,7,0,13,16.090,17.600,19.540,0.000,
2019,20313,Village of Wellington - (OH),Y,OH,PJM,133,220,218,0,571,0.0,0.0,0.0,0.0,0.1,887,"3,303","3,277",0,"7,467",0.0,0.0,0.0,0.0,0.1,6,6,6,0,18,52,15,15,0,82,6,6,6,0,18,52,15,15,0,82,6.650,15.000,15.000,0.000,
2019,20387,West Penn Power Company,,PA,PJM,"78,828","44,737","25,400",0,"148,965",10.4,6.0,3.0,0.0,19.5,"415,400","659,274","376,204",0,"1,450,878",10.4,6.0,3.0,0.0,19.5,"3,410","1,909","1,529",0,"6,847","7,835","2,276","1,149",0,"11,259","3,410","1,909","1,529",0,"6,847","7,835","2,276","1,149",0,"11,259",5.270,14.737,14.811,0.000,https://www.firstenergycorp.com/customer_choice/pennsylvania/pennsylvania_tariffs.html
2019,20401,West River Electric Assn Inc,,SD,SWPP,62,283,0,0,345,0.0,4.8,0.0,0.0,4.8,310,"1,415",0,0,"1,725",0.0,3.8,0.0,0.0,3.8,139,17,0,0,156,0,0,0,0,0,139,17,0,0,156,0,0,0,0,0,23.000,14.000,0.000,0.000,"Website not available.  In the event you need more data, please contact us.  Thank you."
2019,20404,AEP Texas North Company,,TX,ERCO,"3,357","8,866",0,0,"12,223",1.9,4.8,0.0,0.0,6.7,"72,143","133,688",0,0,"205,831",1.9,4.8,0.0,0.0,6.7,"1,354","1,404",0,0,"2,758",188,260,0,0,448,"1,354","1,404",0,0,"2,758",188,260,0,0,448,21.500,15.100,0.000,0.000,
2019,20430,City of Westbrook,Y,MN,MISO,2,39,0,0,41,0.0,0.0,0.0,0.0,0.0,24,620,0,0,645,0.0,0.0,0.0,0.0,0.0,0,2,0,0,2,0,1,0,0,1,0,2,0,0,2,0,1,0,0,1,12.000,16.100,0.000,0.000,energyOrbit
2019,20477,City of Westerville - (OH),,OH,PJM,0,367,0,0,367,0.0,0.1,0.0,0.0,0.1,0,"5,248",0,0,"5,248",0.0,0.1,0.0,0.0,0.1,0,50,0,0,50,0,57,0,0,57,0,693,0,0,693,0,0,0,0,0,0.000,14.300,0.000,0.000,
2019,20481,City of Westfield - (MA),,MA,ISNE,70,904,"2,324",0,"3,297",0.0,0.1,0.3,0.0,0.4,"4,992","12,095","36,221",0,"53,308",0.0,0.1,0.3,0.0,0.4,44,176,100,0,319,13,87,49,0,149,44,176,100,0,319,13,87,49,0,149,9.436,13.380,15.590,0.000,https://www.wgeld.org/pages/commercial/ways-to-save/
