Utility Characteristics,,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2019,15477,Public Service Elec & Gas Co,,NJ,PJM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2019,15619,City of Radford - (VA),,VA,PJM,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2019,15671,Randolph Electric Member Corp,,NC,CPLE,0,238,0,0,238,0,0,0,0,0,0.0,16.6,0.0,0.0,16.6,0.0,8.9,0.0,0.0,8.9,0,451,0,0,451,0,0,0,0,0,0
2019,15748,Town of Reading - (MA),,MA,ISNE,0,19,0,0,19,0,0,0,0,0,0.0,35.0,0.0,0.0,35.0,0.0,7.0,0.0,0.0,7.0,0,59,0,0,59,0,24,0,0,24,0
2019,15983,Richland Electric Coop,Y,WI,MISO,"1,147",134,0,0,"1,281",0,0,0,0,0,0.6,0.2,0.0,0.0,0.7,0.5,0.2,0.0,0.0,0.7,0,0,0,0,0,5,1,0,0,6,1
2019,16060,Riverland Energy Cooperative,,WI,MISO,"6,961",340,0,0,"7,301",0,0,0,0,0,10.4,4.9,0.0,0.0,15.3,6.4,3.0,0.0,0.0,9.4,"1,202",61,0,0,"1,263",44,2,0,0,46,0
2019,16101,Roanoke Electric Member Corp,,NC,PJM,629,0,0,0,629,0,0,0,0,0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,275,0,0,0,275,0,0,0,0,0,0
2019,16181,Rochester Public Utilities,,MN,MISO,"7,781",105,1,0,"7,887",25,206,40,0,271,2.8,5.4,1.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,139,130,194,0,463,0,0,0,0,0,0
2019,16183,Rochester Gas & Electric Corp,,NY,NYIS,"6,827",39,1,0,"6,867",158,123,1,0,282,6.1,5.2,0.1,0.0,11.4,0.0,0.0,0.0,0.0,0.0,222,124,1,0,347,349,19,0,0,368,0
2019,16195,City of Rock Hill - (SC),,SC,DUK,"3,122",0,0,0,"3,122",0,0,0,0,0,1.6,0.0,0.0,0.0,1.6,0.7,0.0,0.0,0.0,0.7,0,0,0,0,0,131,0,0,0,131,0
