,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
,,,,,,,,,for 1 hour or more.-Severe,,
2020,4,04/26/2020 1:38 AM,.,.,". Hours, . Minutes",Florida Power & Light,FRCC,Florida:,Weather,Unknown,49999
,,,,,,,,,Unexpected Transmission,,
,,,,,,,,,"loss within its area, contrary",,
,,,,,,,,,"to design, of three or more",,
,,,,,,,,,Bulk Electric System,,
,,,,,,,,,Facilities caused by a,,
,,,,,,,,,common disturbance,,
,,,,,,,,,(excluding successful,,
,,,,,,,,,automatic reclosing).-,,
2020,4,04/28/2020 8:01 PM,04/28/2020 11:21 PM,"3 Hours, 20 Minutes",,Entergy - Transmission Operations Engineering,TRE,Texas: Jefferson County;,Transmission Interruption,14,1
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,4,04/29/2020 5:55 AM,04/29/2020 7:00 PM,"13 Hours, 5 Minutes",,"CenterPoint Energy Houston Electric, LLC",TRE,Texas: Harris County;,Weather,Unknown,146660
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,4,04/29/2020 6:00 AM,04/29/2020 12:31 PM,"6 Hours, 31 Minutes",,Entergy Corp,SERC,Louisiana:,Weather,Unknown,77933
,,,,,,,,"Pennsylvania: Bucks County,",,,
,,,,,,,,"Chester County, Delaware",Loss of electric service to,,
,,,,,,,,"County, Montgomery County,","more than 50,000 customers",,
,,,,,,,,"Philadelphia County, York",for 1 hour or more.-Severe,,
2020,4,04/30/2020 3:00 PM,.,.,". Hours, . Minutes",Exelon Corporation/PECO,RF,County;,Weather,Unknown,78007
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,5,05/04/2020 11:59 AM,05/07/2020 8:00 PM,"80 Hours, 1 Minutes",,Tennessee Valley Authority,SERC,Tennessee: Davidson County;,Weather,500,130000
,,,,,,,,,Unexpected Transmission,,
,,,,,,,,,"loss within its area, contrary",,
,,,,,,,,,"to design, of three or more",,
,,,,,,,,,Bulk Electric System,,
,,,,,,,,,Facilities caused by a,,
,,,,,,,,,common disturbance,,
,,,,,,,,,(excluding successful,,
,,,,,,,,,automatic reclosing).-,,
2020,5,05/13/2020 5:12 AM,05/13/2020 2:07 PM,"8 Hours, 55 Minutes",,Bonneville Power Administration,WECC,Washington:,Transmission Interruption,0,0
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,Niagara Mohawk Power Corporation (dba National,,,for 1 hour or more.-Severe,,
2020,5,05/15/2020 5:55 PM,05/17/2020 6:00 PM,"48 Hours, 5 Minutes",,Grid),NPCC,New York: Saratoga County;,Weather,Unknown,52
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,North Carolina: South,for 1 hour or more.-Severe,,
2020,5,05/22/2020 4:35 PM,05/23/2020 3:29 PM,"22 Hours, 54 Minutes",,Duke Energy Carolinas,SERC,Carolina:,Weather,Unknown,108190
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,5,05/24/2020 4:45 PM,.,.,". Hours, . Minutes",Oklahoma Gas & Electric Co,SPP RE,Central Oklahoma,Weather,Unknown,54000
,,,,,,,,,Unexpected Transmission,,
,,,,,,,,,"loss within its area, contrary",,
,,,,,,,,,"to design, of three or more",,
,,,,,,,,,Bulk Electric System,,
,,,,,,,,,Facilities caused by a,,
,,,,,,,,,common disturbance,,
,,,,,,,,,(excluding successful,,
,,,,,,,,,automatic reclosing).-,,
2020,5,05/25/2020 10:58 AM,05/25/2020 1:00 PM,,"2 Hours, 2 Minutes",LCRA Transmission Services Corporation,TRE,Texas: Kerr County;,Transmission Interruption,8,3745
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,5,05/27/2020 5:15 PM,05/29/2020 6:30 AM,"37 Hours, 15 Minutes",,"CenterPoint Energy Houston Electric, LLC",TRE,Texas: Harris County;,Weather,Unknown,382000
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,5,05/27/2020 5:20 PM,.,.,". Hours, . Minutes",CenterPoint Energy,TRE,Texas:,Weather,Unknown,273269
,,,,,,,,,Unexpected Transmission,,
,,,,,,,,,"loss within its area, contrary",,
,,,,,,,,,"to design, of three or more",,
,,,,,,,,,Bulk Electric System,,
,,,,,,,,,Facilities caused by a,,
,,,,,,,,,common disturbance,,
,,,,,,,,,(excluding successful,,
,,,,,,,,Pennsylvania: Warren,automatic reclosing).-,,
2020,5,05/29/2020 5:01 PM,05/29/2020 6:57 PM,"1 Hours, 56 Minutes",,FirstEnergy Corp,RF,County;,Transmission Interruption,0,0
,,,,,,,,"Pennsylvania: Bucks County,",,,
,,,,,,,,"Chester County, Delaware",Loss of electric service to,,
,,,,,,,,"County, Montgomery County,","more than 50,000 customers",,
,,,,,,,,"Philadelphia County, York",for 1 hour or more.-Severe,,
2020,6,06/03/2020 12:30 PM,06/03/2020 6:00 PM,"5 Hours, 30 Minutes",,Exelon Corporation/PECO,RF,County;,Weather,Unknown,708000
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,6,06/03/2020 1:00 PM,06/06/2020 4:30 PM,"75 Hours, 30 Minutes",,Public Service Electric & Gas,RF,New Jersey:,Weather,80,87000
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,6,06/03/2020 1:36 PM,06/03/2020 4:30 PM,"2 Hours, 54 Minutes",,Jersey Central Power & Lt Co,RF,New Jersey:,Weather,Unknown,78079
,,,,,,,,,Unexpected Transmission,,
,,,,,,,,,"loss within its area, contrary",,
,,,,,,,,,"to design, of three or more",,
,,,,,,,,,Bulk Electric System,,
,,,,,,,,,Facilities caused by a,,
,,,,,,,,,common disturbance,,
,,,,,,,,,(excluding successful,,
,,,,,,,,,automatic reclosing).-,,
2020,6,06/09/2020 11:21 AM,06/09/2020 12:01 PM,"0 Hours, 40 Minutes",,Bonneville Power Administration,WECC,Washington:,Transmission Interruption,0,0
"Table B.2 Major Disturbances and Unusual Occurrences, 2020",,,,,,,,,,,
,,,,,,,,,,Number of,
Restoration Date and,,,,,,,NERC,,,Customers,
Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),Affected
,,,,,,,,"Michigan: Gratiot County,",,,
,,,,,,,,"Lake County, Missaukee",,,
,,,,,,,,"County, Benzie County,",,,
,,,,,,,,"Leelanau County, Manistee",,,
,,,,,,,,"County, Wexford County,",,,
,,,,,,,,"Montcalm County, Kent",,,
,,,,,,,,"County, Ottawa County, Van",,,
