"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","REM"
"99849799999","2019-03-14T12:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","190,1,N,0196,1","99999,9,9,N","999999,9,9,9","+0144,1","+9999,9","99999,9","SYN046FSTI2 46/// /1938 10144 91200 555 11038 22042="
"99849799999","2019-03-14T13:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","180,1,N,0144,1","99999,9,9,N","999999,9,9,9","+0147,1","+9999,9","99999,9","SYN046FSTI2 46/// /1828 10147 91300 555 11028 22031="
"99849799999","2019-03-14T14:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","150,1,N,0108,1","99999,9,9,N","999999,9,9,9","+0136,1","+9999,9","99999,9","SYN046FSTI2 46/// /1521 10136 91400 555 11021 22023="
"99849799999","2019-03-14T15:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","120,1,N,0088,1","99999,9,9,N","999999,9,9,9","+0093,1","+9999,9","99999,9","SYN046FSTI2 46/// /1217 10093 91500 555 11017 22018="
"99849799999","2019-03-14T18:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","240,1,N,0139,1","99999,9,9,N","999999,9,9,9","+0174,1","+9999,9","99999,9","SYN046FSTI2 46/// /2427 10174 91800 555 11027 22030="
"99849799999","2019-03-14T19:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","250,1,N,0180,1","99999,9,9,N","999999,9,9,9","+0142,1","+9999,9","99999,9","SYN046FSTI2 46/// /2535 10142 91900 555 11035 22038="
"99849799999","2019-03-14T20:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","280,1,N,0108,1","99999,9,9,N","999999,9,9,9","+0113,1","+9999,9","99999,9","SYN046FSTI2 46/// /2821 10113 92000 555 11021 22023="
"99849799999","2019-03-14T21:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","210,1,N,0216,1","99999,9,9,N","999999,9,9,9","+0092,1","+9999,9","99999,9","SYN046FSTI2 46/// /2142 10092 92100 555 11042 22046="
"99849799999","2019-03-14T22:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","220,1,N,0103,1","99999,9,9,N","999999,9,9,9","+0079,1","+9999,9","99999,9","SYN046FSTI2 46/// /2220 10079 92200 555 11020 22022="
"99849799999","2019-03-14T23:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","230,1,N,0103,1","99999,9,9,N","999999,9,9,9","+0069,1","+9999,9","99999,9","SYN046FSTI2 46/// /2320 10069 92300 555 11020 22022="
"99849799999","2019-03-15T00:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","210,1,N,0201,1","99999,9,9,N","999999,9,9,9","+0060,1","+9999,9","99999,9","SYN046FSTI2 46/// /2139 10060 90000 555 11040 22043="
"99849799999","2019-03-15T01:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","230,1,N,0144,1","99999,9,9,N","999999,9,9,9","+0051,1","+9999,9","99999,9","SYN046FSTI2 46/// /2328 10051 90100 555 11029 22031="
"99849799999","2019-03-15T02:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","240,1,N,0129,1","99999,9,9,N","999999,9,9,9","+0051,1","+9999,9","99999,9","SYN046FSTI2 46/// /2425 10051 90200 555 11026 22028="
"99849799999","2019-03-15T03:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","230,1,N,0196,1","99999,9,9,N","999999,9,9,9","+0054,1","+9999,9","99999,9","SYN046FSTI2 46/// /2338 10054 90300 555 11039 22042="
