Utility Characteristics,,,,,,Also operating in other NERC Regions,,,,,,,,Operating in these RTOs,,,,,,,,Other Activities,,,,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region,TRE,FRCC,MRO,NPCC,RFC,SERC,SPP,WECC,CAISO,ERCOT,PJM,NYISO,SPP,MISO,ISONE,Other,Generation,Transmission,Buying Transmission,Distribution,Buying Distribution,Wholesale Marketing,Retail Marketing,Bundled,Alt Fuel Vehicle,Alt Fuel Vehicle 2
2017,994,City of Auburn - (IN),IN,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,,Y,,Y,,,,,,
2017,998,City of Augusta - (KS),KS,Municipal,SPP,,,,,,,Y,,,,,,Y,,,,Y,,Y,Y,,,,Y,,
2017,1009,City of Austin - (MN),MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,N,N,,Y,N,,Y,Y,,
2017,1015,Austin Energy,TX,Municipal,TRE,Y,,,,,,,,,Y,,,,,,,Y,Y,N,Y,,Y,Y,,Y,Y
2017,1024,City of Ava - (MO),MO,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2017,1036,Town of Ayden - (NC),NC,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,Y,N,Y,,,,Y,,
2017,1050,City of Azusa,CA,Municipal,WECC,,,,,,,,Y,Y,,,,,,,,,Y,,Y,,Y,N,Y,Y,Y
2017,1062,BARC Electric Coop Inc,VA,Cooperative,SERC,,,,,,Y,,,,,Y,,,,,,Y,,,Y,,,,,,
2017,1101,Bagley Public Utilities Comm,MN,Municipal,MRO,,,,,,,,,,,,,,,,,,,,Y,,,,,,
2017,1148,City of Baldwin City- (KS),KS,Municipal,SPP,,,,,,,Y,,,,,,Y,,,,Y,N,Y,Y,,N,,,,
2017,1149,Baldwin County El Member Corp,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,Y,Y
2017,1167,Baltimore Gas & Electric Co,MD,Investor Owned,RFC,,,,,Y,,,,,,Y,,,,,,,Y,,Y,,,,,Y,Y
2017,1169,Bailey County Elec Coop Assn,TX,Cooperative,SPP,,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,,
2017,1175,"Bandera Electric Coop, Inc",TX,Cooperative,TRE,Y,,,,,,,,,Y,,,,,,,,Y,,Y,,,,,,Y
2017,1176,City of Bandon - (OR),OR,Municipal,WECC,,,,,,,,Y,,,,,,,,Y,,,,Y,,,,,N,
2017,1179,Emera Maine,ME,Investor Owned,NPCC,,,,Y,,,,,,,,,,,Y,,N,Y,,Y,,,,,Y,Y
2017,1181,Village of Bangor - (WI),WI,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,,,N,Y,,,,Y,,
2017,1192,City of Banning - (CA),CA,Municipal,WECC,,,,,,,,Y,Y,,,,,,,,Y,Y,N,Y,,Y,N,,Y,Y
2017,1196,Village of Baraga - (MI),MI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2017,1201,Barbourville Utility Comm,KY,Municipal,RFC,,,,,Y,,,,,,,,,,,,,Y,,Y,,,,,N,
2017,1233,City of Barnesville - (MN),MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,,,Y,Y,,,,,,
2017,1251,Barron Electric Coop,WI,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,Y,Y
2017,1273,"Bartlett Electric Coop, Inc",TX,Cooperative,TRE,Y,,,,,,,,,Y,,,,,,,,,,Y,,,,,,
2017,1276,"Barrow Utils & Elec Coop, Inc",AK,Cooperative,AK,,,,,,,,,,,,,,,,,Y,N,,Y,,,,Y,Y,Y
2017,1279,Barry Electric Coop,MO,Cooperative,SERC,,,,,,Y,,,,,,,,,,N,,,,Y,,,,,N,
2017,1283,Bartholomew County Rural E M C,IN,Cooperative,RFC,,,,,Y,,,,,,,,,Y,,,,,,Y,,,,,N,
