Data Year,Utility Number,Utility Name,State,Distribution Circuits,Circuits with Voltage Optimization
2022,5905,Excelsior Electric Member Corp,GA,37,0
2022,5929,"Fairfield Electric Coop, Inc",SC,65,0
2022,5930,Village of Fairport - (NY),NY,30,.
2022,5961,Town of Erwin - (TN),TN,9,9
2022,6008,City of Etowah,TN,7,0
2022,6022,City of Eugene - (OR),OR,163,0
2022,6043,City of Evansville,WI,9,0
2022,6149,City of Ellensburg - (WA),WA,18,0
2022,6169,Fall River Rural Elec Coop Inc,ID,64,0
2022,6169,Fall River Rural Elec Coop Inc,MT,10,0
2022,6169,Fall River Rural Elec Coop Inc,WY,5,0
2022,6181,"Farmers Electric Coop, Inc - (MO)",MO,64,0
2022,6182,"Farmers Electric Coop, Inc - (TX)",TX,73,0
2022,6183,"Fayette Electric Coop, Inc",TX,27,0
2022,6194,Farmers Rural Electric Coop Corp - (KY),KY,68,.
2022,6198,"Farmers Electric Coop, Inc - (NM)",NM,45,45
2022,6204,City of Farmington - (NM),NM,65,.
2022,6205,City of Farmington - (MO),MO,27,0
2022,6207,Farmington River Power Company,CT,1,.
2022,6234,City of Fayetteville,TN,39,0
2022,6235,Fayetteville Public Works Commission,NC,153,128
2022,6258,Federated Rural Electric Assn,IA,6,0
2022,6258,Federated Rural Electric Assn,MN,65,0
2022,6342,First Electric Coop Corp,AR,152,152
2022,6369,Fishers Island Utility Co Inc,NY,3,0
2022,6374,Fitchburg Gas & Elec Light Co,MA,39,4
2022,6395,Flathead Electric Coop Inc,MT,91,0
2022,6411,Flint Electric Membership Corp,GA,176,.
2022,6422,City of Florence - (AL),AL,137,0
2022,6424,Florence Utility Comm,WI,6,0
2022,6427,City of Floresville,TX,20,20
2022,6442,Fleming-Mason Energy Coop Inc,KY,45,.
2022,6443,"Florida Keys El Coop Assn, Inc",FL,25,23
2022,6452,Florida Power & Light Co,FL,"3,866","3,139"
2022,6455,"Duke Energy Florida, LLC",FL,"1,328","1,171"
2022,6457,Florida Public Utilities Co,FL,29,0
2022,6491,Foley Board of Utilities,AL,68,68
2022,6582,City of Forest Grove,OR,16,0
2022,6604,City of Fort Collins - (CO),CO,84,0
2022,6608,Fort Loudoun Electric Coop,TN,47,46
2022,6610,City of Fort Morgan,CO,19,19
2022,6612,Fort Payne Improvement Authority,AL,34,34
2022,6616,Fort Pierce Utilities Authority,FL,36,34
2022,6638,City of Fountain,CO,10,10
2022,6640,Four County Elec Member Corp,NC,102,0
2022,6641,4-County Electric Power Assn,MS,96,0
2022,6707,City of Frankfort - (IN),IN,10,6
2022,6708,City of Frankfort - (KY),KY,46,.
2022,6709,Easley Combined Utility System,SC,25,0
2022,6716,PUD No 1 of Franklin County,WA,92,0
2022,6717,Franklin Electric Coop - (AL),AL,13,0
2022,6718,City of Franklin - (KY),KY,12,0
2022,6775,Village of Freeport - (NY),NY,25,.
2022,6779,City of Fremont - (NE),NE,30,0
2022,6782,Freeborn Mower Electric Cooperative,IA,1,0
2022,6782,Freeborn Mower Electric Cooperative,MN,83,32
2022,6784,French Broad Elec Member Corp,NC,79,.
2022,6784,French Broad Elec Member Corp,TN,2,.
2022,6840,City of Fulton - (KY),KY,7,7
2022,6894,City of Gaffney - (SC),SC,14,14
2022,6909,Gainesville Regional Utilities,FL,70,59
2022,6923,City of Gallatin - (TN),TN,22,0
2022,6941,City of Garden City,KS,39,0
2022,6957,"Garkane Energy Coop, Inc",AZ,8,.
2022,6957,"Garkane Energy Coop, Inc",UT,48,.
2022,6958,City of Garland - (TX),TX,98,98
2022,7024,Gascosage Electric Coop,MO,35,.
2022,7027,City of Gastonia - (NC),NC,58,.
2022,7090,GreyStone Power Corporation,GA,139,.
2022,7096,City of Geneva- (IL),IL,33,.
2022,7129,City of Georgetown - (TX),TX,42,24
2022,7140,Georgia Power Co,GA,"2,736","2,224"
2022,7174,Gibson Electric Members Corp,KY,6,0
2022,7174,Gibson Electric Members Corp,TN,76,0
2022,7222,City of Gillette - (WY),WY,29,0
2022,7264,"Glades Electric Coop, Inc",FL,42,0
2022,7265,City of Gladstone,MI,5,0
2022,7270,City of Glasgow - (KY),KY,23,14
2022,7294,City of Glendale - (CA),CA,103,40
2022,7353,Golden Valley Elec Assn Inc,AK,72,0
2022,7450,Grady Electric Membership Corp,GA,44,.
2022,7483,City of Grand Haven - (MI),MI,13,13
2022,7490,Grand River Dam Authority,OK,23,0
2022,7548,PUD No 1 of Grays Harbor County,WA,87,0
2022,7558,Grayson Rural Electric Coop Corp,KY,43,0
2022,7559,"Grayson-Collin Elec Coop, Inc",TX,87,.
2022,7561,"Greenbelt Electric Coop, Inc",TX,28,26
2022,7563,Grand Valley Power,CO,29,.
2022,7601,Green Mountain Power Corp,VT,284,0
2022,7625,City of Greeneville - (TN),TN,71,0
2022,7627,City of Greenfield - (IN),IN,21,21
2022,7634,City of Greenville - (TX),TX,40,40
2022,7639,Greenville Utilities Comm,NC,114,87
2022,7646,Greenwood CPW,SC,24,0
2022,7651,Greenwood Utilities Comm,MS,19,18
2022,7654,Greer Commission of Public Wks,SC,30,0
2022,7679,City of Griffin - (GA),GA,26,0
2022,7716,Groton Dept of Utilities - (CT),CT,27,0
2022,7752,Guadalupe Valley Elec Coop Inc,TX,162,162
2022,7785,"Gulf Coast Electric Coop, Inc",FL,37,.
2022,7827,Guntersville Electric Board,AL,17,0
2022,7887,Habersham Electric Membership Corp,GA,58,0
2022,7891,Guernsey-Muskingum El Coop Inc,OH,38,0
2022,7908,Hagerstown Light Department,MD,23,.
2022,7977,City of Hamilton - (OH),OH,54,.
2022,7979,Hamilton County Elec Coop Assn,TX,29,.
2022,8000,NineStar Connect,IN,32,0
2022,8034,Hancock-Wood Electric Coop Inc,OH,60,0
2022,8055,City of Hannibal - (MO),MO,17,0
2022,8147,City of Harriman - (TN),TN,16,0
2022,8179,Harrison County Rural E M C,IN,53,53
2022,8198,City of Harrisonburg - (VA),VA,28,.
2022,8210,Hart Electric Member Corp,GA,77,77
2022,8212,Hartford Electric,WI,25,25
2022,8226,City of Hartselle,AL,12,0
2022,8245,City of Hastings - (NE),NE,42,28
2022,8287,Hawaii Electric Light Co Inc,HI,143,0
2022,8319,Heartland Power Coop,IA,60,1
2022,8319,Heartland Power Coop,MN,7,0
2022,8333,Haywood Electric Member Corp,GA,1,.
2022,8333,Haywood Electric Member Corp,NC,38,.
2022,8333,Haywood Electric Member Corp,SC,1,.
2022,8447,Hendricks County Rural E M C,IN,80,1
2022,8449,Henderson City Utility Comm,KY,38,0
2022,8548,City of Hickman,KY,3,0
2022,8566,High Plains Power Inc,WY,99,0
2022,8570,Highline Electric Assn,CO,67,67
2022,8570,Highline Electric Assn,NE,20,20
2022,8571,Town of High Point,NC,92,92
2022,8620,"HILCO Electric Cooperative, Inc.",TX,44,0
2022,8699,Inland Power & Light Company,ID,3,0
