|Data Year|,|Utility Number|,|Utility Name|,|Ownership|,|State|,|BA Code|,|Total Revenue (Thousand Dollars)|,|Total Sales (MWh)|,|Total Customers|,|w_heater|,|Net Metering|,|Demand Side Management|,|Time Based Programs|
2022,5327,Douglas Electric Coop - (OR),Cooperative,OR,BPAT,"18,000.0","156,798","10,480",.,Y,Y,Y
2022,5354,City of Drain - (OR),Municipal,OR,BPAT,"1,659.0","16,819",751,.,N,N,N
2022,8515,City of Hermiston,Municipal,OR,BPAT,"10,072.0","108,963","5,493",.,Y,N,N
2022,8830,Hood River Electric Coop,Cooperative,OR,BPAT,"9,507.5","129,955","3,968",.,Y,N,N
2022,11589,"Harney Electric Coop, Inc",Cooperative,OR,BPAT,"7,699.7","111,336","2,487",.,Y,N,N
2022,12615,City of Milton-Freewater- (OR),Municipal,OR,BPAT,"8,603.0","105,497","4,407",.,Y,Y,N
2022,12789,City of Monmouth - (OR),Municipal,OR,BPAT,"7,041.5","77,601","4,890",.,Y,N,N
2022,20138,"Wasco Electric Coop, Inc",Cooperative,OR,BPAT,"13,450.0","106,264","4,726",.,Y,N,N
2022,20385,West Oregon Electric Coop Inc,Cooperative,OR,BPAT,"14,104.1","70,592","4,454",.,Y,N,N
2022,1618,Borough of Berlin - (PA),Municipal,PA,PJM,"2,135.0","19,725","1,173",.,N,N,N
2022,1823,Borough of Blakely - (PA),Municipal,PA,PJM,"5,746.9","33,624","3,678",.,N,N,N
2022,3170,Borough of Catawissa,Municipal,PA,PJM,"1,520.6","8,939",856,.,Y,N,N
2022,5442,Borough of Duncannon - (PA),Municipal,PA,PJM,"1,206.2","11,501","1,002",.,N,N,N
2022,5586,Borough of East Conemaugh,Municipal,PA,PJM,643.0,"4,939",630,.,N,N,N
2022,5828,Borough of Ellwood City - (PA),Municipal,PA,PJM,"6,223.0","45,046","4,055",.,Y,N,N
2022,5935,Borough of Ephrata - (PA),Municipal,PA,PJM,"17,991.0","134,810","6,679",.,Y,N,N
2022,7256,Borough of Girard - (PA),Municipal,PA,PJM,"3,371.0","29,334","1,628",.,N,N,N
2022,7359,Borough of Goldsboro - (PA),Municipal,PA,PJM,682.0,"6,031",386,.,N,N,N
2022,7719,Borough of Grove City - (PA),Municipal,PA,PJM,"7,153.5","55,268","2,986",.,Y,N,N
2022,8254,Borough of Hatfield- (PA),Municipal,PA,PJM,"3,744.0","22,462","1,764",.,N,N,N
2022,8826,Hooversville Boro Elec Lgt Co,Municipal,PA,PJM,508.1,"3,316",366,.,N,N,N
2022,10494,Borough of Kutztown - (PA),Municipal,PA,PJM,"6,676.0","40,673","2,499",.,Y,N,N
2022,10702,Borough of Lansdale,Municipal,PA,PJM,"20,307.0","166,984","8,879",.,Y,N,Y
2022,10882,Borough of Lehighton - (PA),Municipal,PA,PJM,"7,279.5","45,745","3,281",.,N,N,N
2022,10959,Borough of Lewisberry - (PA),Municipal,PA,PJM,311.0,"2,329",194,.,N,N,N
2022,12474,Borough of Middletown - (PA),Municipal,PA,PJM,"8,715.1","69,634","4,265",.,Y,N,N
2022,12523,Borough of Mifflinburg - (PA),Municipal,PA,PJM,"5,662.0","43,029","1,883",.,N,N,N
2022,12817,Mont Alto Borough,Municipal,PA,PJM,"1,047.9","10,245",723,.,N,N,N
2022,13205,"New Enterprise R E C, Inc",Cooperative,PA,PJM,"8,256.0","75,283","3,754",.,Y,Y,N
2022,13489,Borough of New Wilmington - (PA),Municipal,PA,PJM,"2,679.0","18,799",744,.,N,N,N
2022,14124,Borough of Olyphant - (PA),Municipal,PA,PJM,"4,428.2","21,782","2,581",.,Y,N,N
2022,14792,Borough of Perkasie - (PA),Municipal,PA,PJM,"8,511.0","53,872","4,236",.,Y,N,N
2022,15104,Borough of Pitcairn - (PA),Municipal,PA,PJM,"2,032.0","12,820","1,782",.,N,N,N
2022,15541,Borough of Quakertown - (PA),Municipal,PA,PJM,"12,903.0","87,304","4,571",.,Y,N,N
2022,16375,Borough of Royalton - (PA),Municipal,PA,PJM,613.1,"4,835",546,.,N,N,N
2022,16780,Borough of Schuylkill Haven - (PA),Municipal,PA,PJM,"5,929.8","44,738","3,028",.,N,N,N
2022,16853,Borough of St Clair - (PA),Municipal,PA,PJM,"3,852.7","20,185","1,836",.,N,N,N
2022,17337,Borough of Smethport - (PA),Municipal,PA,PJM,"1,496.0","11,580","1,013",.,N,N,N
2022,18284,Borough of Summerhill - (PA),Municipal,PA,PJM,409.0,"2,986",296,.,N,N,N
2022,18456,Borough of Tarentum - (PA),Municipal,PA,PJM,"3,977.6","29,848","2,318",.,N,N,N
2022,20070,Borough of Wampum,Municipal,PA,PJM,517.0,"3,705",373,.,N,N,N
2022,20206,Borough of Watsontown - (PA),Municipal,PA,PJM,"2,086.6","11,251","1,198",.,N,N,N
2022,20232,Borough of Weatherly - (PA),Municipal,PA,PJM,"2,947.0","22,905","1,189",.,N,N,N
2022,21160,Borough of Zelienople - (PA),Municipal,PA,PJM,"5,166.0","28,504","2,307",.,Y,N,N
2022,40219,"United Electric Coop, Inc - (PA)",Cooperative,PA,PJM,"29,274.0","170,000","19,110",.,Y,Y,N
2022,40223,Warren Electric Coop Inc,Cooperative,PA,PJM,"9,770.0","55,569","8,709",.,Y,N,N
2022,40291,"Sullivan County R E C, Inc - (PA)",Cooperative,PA,PJM,"9,866.0","55,429","6,078",.,Y,Y,Y
2022,34,City of Abbeville - (SC),Municipal,SC,DUK,"8,224.5","58,822","3,487",.,N,N,N
2022,1170,Bamberg Board of Public Works,Municipal,SC,SC,"4,497.5","37,934","1,883",.,N,N,N
2022,1566,City of Bennettsville - (SC),Municipal,SC,SC,"8,794.0","77,145","4,426",.,N,N,N
2022,2890,City of Camden,Municipal,SC,CPLE,"22,912.9","170,215","11,524",.,Y,N,N
2022,3804,Clinton Combined Utility Sys,Municipal,SC,DUK,"14,650.0","100,994","4,163",.,Y,Y,N
2022,3844,"Coastal Electric Coop, Inc",Cooperative,SC,SC,"28,137.3","176,602","11,967",.,Y,Y,N
2022,5402,City of Due West - (SC),Municipal,SC,DUK,"1,321.4","13,920",493,.,N,N,N
2022,7128,City of Georgetown - (SC),Municipal,SC,SC,"10,796.6","124,761","5,386",.,Y,N,N
2022,11019,Little River Electric Coop Inc,Cooperative,SC,DUK,"30,421.6","194,193","14,991",.,Y,N,N
2022,12006,Town of McCormick - (SC),Municipal,SC,SCEG,"3,091.7","16,647","1,093",.,N,N,N
