Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
April,04/07/2017,04:33:00,04/07/2017,08:20:00,Oregon,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,100,64852
April,04/13/2017,07:50:00,04/13/2017,08:07:00,Washington: Pierce County,WECC,Physical attack that causes major interruptions or impacts to critical infrastructure facilities or to operations,Sabotage,53,10000
April,04/17/2017,09:25:00,04/17/2017,09:26:00,Utah: Emery County,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Sabotage,0,0
April,04/20/2017,16:00:00,04/20/2017,18:00:00,Wyoming: Converse County,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems, Vandalism,0,0
April,04/21/2017,10:34:00,04/21/2017,15:55:00,Kentucky: Bullitt County,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems, Vandalism,0,0
April,04/21/2017,09:06:00,04/21/2017,17:45:00,"California: San Francisco, City and County of[10]",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",System Operations,130,88000
April,04/23/2017,23:55:00,04/23/2017,23:56:00,Oregon: Multnomah County,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
April,04/24/2017,05:32:00,04/24/2017,06:33:00,North Carolina: Mecklenburg County,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,240,74698
April,04/30/2017,01:00:00,04/30/2017,17:45:00,"Arkansas, Louisiana, Mississippi",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,145174
May,05/01/2017,23:14:00,05/01/2017,23:34:00,Ohio,RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,92390
May,05/03/2017,19:05:00,05/03/2017,21:00:00,California,WECC,Load shedding of 100 Megawatts or more implemented under emergency operational policy,Generation Inadequacy,878,Unknown
May,05/03/2017,18:58:00,05/03/2017,21:15:00,California,WECC,Load shedding of 100 Megawatts or more implemented under emergency operational policy,Generation Inadequacy,572,0
May,05/03/2017,23:00:00,Unknown,Unknown,"Pennsylvania: Philadelphia County, Montgomery County",RFC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
May,05/04/2017,05:00:00,05/04/2017,22:00:00,Alabama: Georgia,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,200,60377
May,05/07/2017,23:30:00,05/08/2017,05:00:00,Kentucky: Daviess County,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,Generation Inadequacy,80,0
May,05/07/2017,05:15:00,Unknown,Unknown,California: Fresno County,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,0,0
May,05/11/2017,11:05:00,05/11/2017,13:05:00,Washington: Yakima County,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
May,05/19/2017,05:30:00,Unknown,Unknown,Missouri: St. Louis County,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,70696
May,05/21/2017,16:44:00,05/21/2017,17:43:00,"Idaho: Lincoln County, Jerome County",WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,21,9598
May,05/23/2017,05:02:00,05/23/2017,08:40:00,Tennessee: Davidson County,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,10,4700
May,05/27/2017,23:00:00,Unknown,Unknown,"Tennessee: Shelby County, Putnam County, Knox County, Davidson County, Hamilton County; Alabama: Madison County",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,116000
May,05/27/2017,23:10:00,Unknown,Unknown,Tennessee: Shelby County,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,391,188000
May,05/28/2017,19:30:00,05/29/2017,22:00:00,Louisiana: Texas,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,103000
May,05/28/2017,16:27:00,05/28/2017,16:28:00,Nevada: Clark County,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
May,05/28/2017,19:30:00,05/29/2017,22:00:00,Texas: Louisiana,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,103000
June,06/07/2017,13:12:00,06/07/2017,13:13:00,Washington: Yakima County,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism ,0,0
June,06/11/2017,13:25:00,06/11/2017,19:15:00,Wisconsin,MRO,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,53610
June,06/11/2017,14:39:00,06/11/2017,17:55:00,Michigan,RFC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Transmission Interruption,63,Unknown
June,06/11/2017,07:00:00,06/11/2017,11:22:00,Minnesota,MRO,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,70000
June,06/15/2017,17:00:00,06/15/2017,22:00:00,"Alabama, Georgia",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,275,82713
June,06/16/2017,20:00:00,06/17/2017,06:00:00,Arkansas,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,76000
June,06/16/2017,20:00:00,Unknown,Unknown,"Nebraska: Cass County, Douglas County, Sarpy County",MRO,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,76000
June,06/17/2017,21:00:00,06/18/2017,07:00:00,"Kansas, Missouri: Jackson County, Platte County, Clay County, Cass County",MRO,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,84737
June,06/21/2017,,06/21/2017,01:00:00,Oregon: Baker County,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Physical Attack,0,0
June,06/22/2017,18:00:00,06/25/2017,12:45:00,"Michigan: Wayne County, Monroe County",RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,118631
June,06/29/2017,04:00:00,Unknown,Unknown,Louisiana: Orleans Parish,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism ,130,6467
June,06/30/2017,07:45:00,06/30/2017,07:46:00,Idaho: Ada County,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism ,0,0
July,07/06/2017,,Unknown,Unknown,Idaho: Jerome County,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
